"Daily Weather Observations for Bankstown, New South Wales for March 2025"
"Prepared at 13:00 UTC on Monday 13 April 2026   IDCJDW2008.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,21.3,32.0,0,,,ENE,30,17:17,23.3,72,5,SW,9,1016.8,31.5,52,,E,13,1012.1
,2025-03-2,20.8,25.6,0,,,S,46,16:30,24.6,78,8,ESE,20,1013.4,25.0,73,8,SE,30,1013.0
,2025-03-3,20.3,25.9,0,,,S,39,15:41,22.7,70,8,SSE,20,1018.8,24.1,62,,S,28,1018.1
,2025-03-4,18.7,27.0,5.0,,,ESE,48,09:26,21.1,89,8,SE,26,1021.2,23.6,71,,S,30,1021.5
,2025-03-5,18.3,27.9,5.6,,,SE,41,12:16,22.1,77,5,SW,6,1021.7,26.0,53,3,ESE,28,1019.3
,2025-03-6,17.9,27.7,2.2,,,SE,48,15:04,20.9,90,8, ,Calm,1020.5,25.7,61,6,SE,26,1019.6
,2025-03-7,18.3,27.0,2.4,,,SE,50,13:33,21.2,81,8,SSE,13,1021.4,25.8,52,8,ESE,30,1020.3
,2025-03-8,18.1,25.6,1.2,,,NE,35,11:23,21.5,86,8,SSE,13,1022.7,22.6,78,7,SSE,19,1022.3
,2025-03-9,20.2,29.0,3.8,,,ENE,35,13:20,24.0,81,,WSW,6,1023.7,26.9,55,,E,20,1020.2
,2025-03-10,19.1,27.2,0.6,,,N,28,09:49,21.2,86,, ,Calm,1020.6,25.5,65,,NNE,15,1018.0
,2025-03-11,19.8,24.3,10.8,,,ESE,35,15:09,20.4,97,8, ,Calm,1020.7,23.2,84,,ENE,15,1020.7
,2025-03-12,19.2,27.5,9.0,,,SSE,30,10:23,24.6,63,,E,7,1022.6,25.0,67,,E,15,1019.0
,2025-03-13,17.6,32.3,0,,,ENE,28,16:24,19.6,98,, ,Calm,1019.8,30.9,42,,NNW,7,1016.7
,2025-03-14,19.0,36.2,0,,,NE,31,16:31,22.9,85,,NW,4,1019.5,35.7,24,,SE,7,1015.7
,2025-03-15,22.6,35.6,0,,,ESE,28,14:43,24.3,81,8,WNW,9,1019.9,34.9,40,,NNE,9,1014.3
,2025-03-16,21.5,37.9,0,,,WNW,39,12:08,24.5,80,, ,Calm,1011.4,35.7,24,,NNW,11,1005.3
,2025-03-17,15.8,22.0,0,,,S,65,02:02,18.6,51,,SSW,17,1019.1,21.1,38,,SSE,28,1020.8
,2025-03-18,12.9,24.1,0,,,E,30,15:44,16.5,62,,W,7,1024.7,23.3,49,8,ENE,19,1022.3
,2025-03-19,16.1,28.8,0,,,NE,39,17:48,19.1,80,1, ,Calm,1023.3,27.5,52,,ENE,24,1018.9
,2025-03-20,19.0,32.9,0,,,NE,37,18:00,22.6,76,2,NW,6,1020.3,32.1,43,,ENE,15,1015.3
,2025-03-21,19.1,28.9,0,,,SSE,31,18:45,20.4,88,, ,Calm,1014.1,26.2,67,,NNW,9,1012.5
,2025-03-22,19.6,26.8,0.6,,,ESE,33,15:36,20.5,81,8,SW,6,1017.6,26.0,60,,ESE,19,1015.9
,2025-03-23,20.4,22.3,1.4,,,SE,19,15:28,20.8,94,8,WSW,6,1021.1,21.7,83,,S,11,1019.5
,2025-03-24,19.8,27.1,5.6,,,NNE,26,12:49,20.6,97,8, ,Calm,1020.5,24.5,68,,NNE,13,1019.3
,2025-03-25,19.3,26.7,0,,,ESE,37,11:41,22.9,79,8,S,11,1023.0,25.3,63,,ENE,13,1020.7
,2025-03-26,18.9,28.3,3.6,,,NE,31,15:06,21.2,98,6, ,Calm,1022.6,26.6,51,,NE,13,1020.5
,2025-03-27,16.4,27.0,0,,,ESE,37,13:36,17.8,94,,SW,6,1022.9,25.7,61,,E,20,1021.8
,2025-03-28,18.1,25.7,2.6,,,ENE,33,13:39,20.4,94,8,ESE,2,1022.6,25.1,63,8,ENE,19,1019.6
,2025-03-29,18.4,22.6,26.6,,,WSW,37,22:50,19.2,98,,SSE,9,1012.5,22.4,77,,WSW,9,1006.4
,2025-03-30,18.6,25.2,13.6,,,S,48,12:06,20.2,88,8,SW,15,1008.2,21.4,83,,S,22,1008.2
,2025-03-31,18.1,24.7,11.0,,,SSW,50,13:36,21.2,69,,SW,19,1012.0,23.4,61,8,SSW,26,1011.7
