"Daily Weather Observations for Bankstown, New South Wales for May 2025"
"Prepared at 13:00 UTC on Saturday 11 April 2026   IDCJDW2008.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,12.3,20.4,4.0,,,S,50,12:56,15.8,70,,SW,15,1028.0,17.4,67,8,S,11,1027.2
,2025-05-2,11.2,20.9,7.6,,,SSE,31,15:03,12.8,86,,W,7,1032.8,20.2,58,1,SSE,17,1031.1
,2025-05-3,10.7,21.9,0,,,ESE,26,13:37,15.3,76,1,NW,6,1035.1,21.5,51,,SE,17,1033.0
,2025-05-4,9.9,22.8,0,,,NE,24,16:00,16.1,74,,WNW,7,1034.7,21.1,61,7,NE,15,1030.8
,2025-05-5,12.6,24.4,2.0,,,N,24,13:12,18.0,88,1,NW,7,1030.5,24.4,55,4,NE,15,1025.5
,2025-05-6,12.1,26.1,0,,,NNW,15,14:32,18.3,78,,WNW,7,1024.5,24.8,54,,N,7,1020.7
,2025-05-7,11.9,27.3,0,,,WNW,26,15:32,15.1,94,5, ,Calm,1020.0,26.9,42,,NNW,9,1015.2
,2025-05-8,10.7,20.6,0,,,SE,41,14:45,17.6,61,,SSW,11,1025.3,20.0,55,,S,26,1024.9
,2025-05-9,10.6,19.5,0,,,SE,33,13:49,12.1,71,,W,6,1032.8,17.3,75,,SSE,13,1030.6
,2025-05-10,10.4,22.1,0,,,ESE,26,14:46,13.8,92,, ,Calm,1032.7,20.4,57,7,E,17,1029.6
,2025-05-11,11.4,22.3,0,,,E,24,12:58,13.3,97,, ,Calm,1030.4,20.1,70,,ESE,11,1027.5
,2025-05-12,15.6,23.7,3.0,,,ESE,20,14:41,16.1,99,,WSW,9,1027.0,21.5,67,8,ESE,13,1024.6
,2025-05-13,14.1,21.8,0,,,ENE,22,12:38,17.7,93,7,WSW,2,1026.6,17.9,87,,ENE,6,1024.2
,2025-05-14,12.1,24.3,10.2,,,NE,19,16:47,14.8,99,8,NNW,2,1021.9,23.2,57,2,NW,4,1018.6
,2025-05-15,12.5,20.1,0,,,S,30,19:52,15.5,90,8,W,6,1022.3,19.5,81,8,S,13,1020.4
,2025-05-16,15.3,20.8,14.6,,,S,20,15:12,16.2,98,7,W,9,1019.1,19.9,80,,SE,11,1015.4
,2025-05-17,12.1,22.4,2.4,,,SE,28,15:16,13.4,99,,NW,7,1015.9,20.7,67,,SE,17,1014.0
,2025-05-18,12.9,16.4,1.4,,,S,37,16:21,13.8,85,7,WSW,9,1022.0,16.1,65,,SSW,13,1021.7
,2025-05-19,11.8,18.1,41.8,,,SSE,57,02:45,15.4,63,,SSE,24,1027.4,16.0,73,8,S,20,1028.1
,2025-05-20,13.2,20.1,1.2,,,SE,43,04:14,17.8,75,,S,22,1030.2,19.5,61,1,SE,22,1027.7
,2025-05-21,13.6,19.3,2.0,,,SE,30,14:13,16.7,93,8,S,13,1027.2,18.5,86,,NNW,2,1024.3
,2025-05-22,16.1,19.1,13.8,,,E,52,18:25,18.2,95,8,SE,20,1019.5,18.4,97,,E,20,1016.5
,2025-05-23,17.1,21.0,99.0,,,E,39,06:20,19.3,100,,NE,9,1015.0,20.1,97,,ENE,13,1012.0
,2025-05-24,10.8,21.8,2.4,,,WNW,39,12:16,15.2,78,,NNW,7,1014.9,20.9,50,,WNW,22,1013.0
,2025-05-25,9.9,19.5,0,,,WNW,24,12:38,11.8,91,7, ,Calm,1019.5,18.2,49,8,NNW,9,1017.3
,2025-05-26,7.8,17.8,0,,,SW,22,18:26,14.6,69,,WNW,7,1019.2,16.9,64,8,NW,7,1014.7
,2025-05-27,11.3,18.8,4.4,,,WNW,59,14:00,15.4,84,8,N,7,1009.2,16.9,45,,WNW,30,1006.6
,2025-05-28,10.2,19.8,0,,,W,35,01:27,13.4,65,,NW,7,1015.0,19.3,41,,SW,15,1013.4
,2025-05-29,10.7,18.4,0,,,WSW,26,09:33,14.0,64,8,WSW,7,1020.5,18.0,64,,SW,9,1019.3
,2025-05-30,7.0,21.2,0,,,ESE,19,15:37,8.0,90,,WNW,2,1024.3,18.7,60,,SE,15,1024.6
,2025-05-31,9.8,19.8,0,,,SE,19,15:07,15.9,74,,W,7,1029.3,18.6,64,8,ESE,13,1027.4
