"Daily Weather Observations for Bankstown, New South Wales for August 2025"
"Prepared at 13:00 UTC on Saturday  9 May 2026   IDCJDW2008.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,7.1,16.1,0.8,,,S,33,15:18,10.1,81,8,WSW,9,1024.0,14.8,68,8,S,15,1020.7
,2025-08-2,10.1,16.7,26.4,,,SSE,72,19:07,11.3,99,,SW,11,1020.8,15.6,79,8,SSE,28,1017.1
,2025-08-3,11.8,17.4,30.6,,,SE,56,02:17,16.6,75,8,SSE,19,1021.7,15.0,97,8,S,19,1021.7
,2025-08-4,9.2,19.3,12.8,,,S,20,11:26,12.6,99,8,S,2,1023.5,16.5,91,8,SW,6,1020.5
,2025-08-5,9.5,22.5,2.6,,,W,31,23:44,9.6,100,8,WNW,7,1018.9,21.4,55,,NNW,9,1015.1
,2025-08-6,5.8,19.2,0,,,WSW,37,10:12,15.1,52,,WSW,19,1021.2,18.2,43,,W,17,1019.4
,2025-08-7,7.8,16.9,0.2,,,SSE,35,12:18,12.7,82,8,WSW,7,1028.4,15.8,63,,SSE,20,1027.8
,2025-08-8,7.5,17.7,0,,,SE,30,12:10,12.1,81,,WSW,6,1033.3,15.0,69,,SSE,19,1031.3
,2025-08-9,10.5,16.8,16.8,,,S,37,13:56,12.1,99,8,NNW,6,1033.4,13.7,91,8,SSE,13,1029.8
,2025-08-10,9.2,16.6,12.4,,,SSE,41,15:53,13.2,95,8,SSW,11,1029.7,15.2,80,8,SSE,19,1027.4
,2025-08-11,7.6,16.4,1.6,,,SE,33,15:46,8.5,99,,WSW,7,1028.3,15.5,70,8,SE,19,1025.7
,2025-08-12,5.1,18.7,0.2,,,SE,28,16:54,11.0,84,,W,7,1026.7,17.4,61,1,S,11,1023.7
,2025-08-13,6.0,19.8,0,,,SE,26,15:43,11.3,90,,WNW,6,1025.8,18.8,48,,S,9,1023.0
,2025-08-14,9.9,16.1,4.6,,,S,31,11:51,12.5,72,8,WSW,15,1026.2,13.2,93,,S,15,1025.1
,2025-08-15,8.3,19.5,9.2,,,N,24,14:31,14.1,91,,NNW,7,1021.8,18.6,68,,NW,9,1017.2
,2025-08-16,7.4,18.5,0.2,,,SW,41,14:29,12.9,84,,N,4,1013.4,18.0,45,1,WSW,13,1010.5
,2025-08-17,2.9,16.7,0.4,,,W,30,10:29,12.3,53,,WSW,17,1019.0,15.9,40,2,SW,6,1017.4
,2025-08-18,2.8,14.8,0,,,SSE,31,11:09,7.3,79,,W,7,1025.8,10.6,90,7,WSW,2,1027.6
,2025-08-19,8.9,16.7,24.2,,,SSE,28,17:04,11.3,95,8,SW,7,1032.1,15.3,82,8,SE,19,1029.4
,2025-08-20,10.0,14.6,19.0,,,SE,30,10:53,13.4,99,,S,7,1032.5,12.9,99,,SSE,11,1029.5
,2025-08-21,11.7,15.6,44.4,,,E,35,10:40,13.6,100,8,SSW,7,1027.7,15.1,99,8,ENE,17,1024.3
,2025-08-22,10.5,17.1,32.8,,,ESE,19,16:27,14.4,100,,SW,11,1023.6,16.5,100,,ESE,9,1020.7
,2025-08-23,9.9,20.8,2.8,,,SSW,44,12:08,18.0,73,,WSW,17,1018.1,18.9,62,5,S,22,1018.0
,2025-08-24,9.0,18.5,0.2,,,WSW,35,10:22,14.1,60,,WSW,13,1022.0,17.2,63,,SSW,9,1018.0
,2025-08-25,10.6,22.7,0,,,W,26,10:09,16.0,74,7,W,15,1019.2,20.5,71,8,ESE,15,1016.5
,2025-08-26,9.4,25.5,0,,,NE,30,16:21,15.9,91,,NNW,7,1017.3,24.4,52,,N,15,1010.3
,2025-08-27,14.7,21.3,0,,,,,,19.0,71,8, ,Calm,1002.6,17.6,50,6,NW,20,1002.4
,2025-08-28,9.2,19.8,0,,,W,76,14:14,16.4,41,,WNW,13,1006.7,19.4,32,,WNW,28,1004.6
,2025-08-29,5.7,21.1,0,,,WNW,63,22:12,16.6,49,,WNW,19,1009.6,20.6,30,,WNW,19,1004.0
,2025-08-30,8.4,17.9,0.2,,,WSW,61,13:53,14.0,42,,WSW,19,1006.8,17.3,37,1,WSW,24,1014.1
,2025-08-31,4.6,21.3,0.2,,,WNW,20,11:53,12.4,56,,W,11,1026.4,20.6,33,,NNW,7,1021.8
