"Daily Weather Observations for Bankstown, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2008.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,17.6,26.9,0,,,WNW,44,14:36,22.5,29,,WSW,15,1007.6,25.8,19,,WNW,19,1006.7
,2025-10-2,8.3,25.9,0,,,W,67,17:28,21.7,28,,N,15,1008.0,24.6,23,,W,33,1006.9
,2025-10-3,9.1,25.3,0,,,W,50,14:00,18.1,35,,WSW,19,1017.2,23.3,28,,SW,26,1014.8
,2025-10-4,9.8,24.0,0,,,ESE,33,14:01,19.6,50,,SW,9,1024.9,21.8,53,,ESE,24,1022.0
,2025-10-5,13.1,31.2,0,,,NW,28,16:57,19.7,65,,WNW,7,1020.8,29.9,25,,NW,9,1014.7
,2025-10-6,16.9,32.3,0,,,SE,50,14:16,21.0,49,6,ESE,6,1010.8,31.7,20,7,W,20,1008.9
,2025-10-7,16.1,22.9,0.4,,,ENE,28,15:29,18.3,77,8,N,6,1017.7,22.8,62,8,ENE,15,1012.9
,2025-10-8,12.3,32.4,0,,,WNW,59,18:20,19.9,57,, ,Calm,1013.3,27.8,41,,NE,17,1005.7
,2025-10-9,19.2,29.2,0,,,NW,44,23:06,24.2,46,8,NNW,11,1010.0,28.8,34,8,NW,17,1009.1
,2025-10-10,14.3,31.4,0,,,W,37,11:25,20.9,66,,NW,7,1014.6,30.4,17,,WNW,17,1010.7
,2025-10-11,11.2,31.5,0,,,W,52,12:06,16.2,61,, ,Calm,1012.6,30.9,11,,W,20,1009.2
,2025-10-12,10.6,32.2,0,,,W,74,13:40,21.3,38,,WNW,2,1011.6,23.8,31,8,W,46,1011.1
,2025-10-13,10.0,23.9,0.2,,,SE,46,11:42,19.0,44,,SW,6,1016.5,19.9,49,,SE,28,1017.3
,2025-10-14,11.0,28.5,0.2,,,WNW,35,12:58,18.4,56,,NNW,17,1019.8,27.9,21,,WSW,13,1014.8
,2025-10-15,12.3,29.0,0,,,ENE,33,14:42,19.3,60,,NW,7,1022.7,26.2,44,,E,22,1017.8
,2025-10-16,13.3,32.8,0,,,ENE,37,17:02,17.5,98,8,SW,6,1020.8,31.1,38,,NNW,13,1014.4
,2025-10-17,15.8,35.6,0,,,SSE,54,16:41,28.3,44,,NNW,11,1012.3,33.4,31,,N,20,1007.9
,2025-10-18,14.7,23.4,0.8,,,ESE,39,15:16,18.8,64,6,SW,9,1016.1,21.9,52,2,ESE,26,1014.4
,2025-10-19,13.5,28.4,0,,,ENE,33,13:54,19.5,61,,NW,7,1018.1,26.7,45,,ENE,24,1011.6
,2025-10-20,14.7,37.6,0,,,ESE,39,20:14,22.9,62,,N,9,1011.7,35.7,19,,NW,13,1006.1
,2025-10-21,16.8,24.6,0,,,ESE,37,10:54,21.2,62,4,E,9,1016.0,20.5,59,,ESE,24,1012.3
,2025-10-22,16.9,39.8,0,,,WNW,70,17:06,21.4,74,6,NW,9,1003.6,38.0,20,8,WNW,31,995.3
,2025-10-23,16.0,23.2,0,,,ESE,39,09:34,19.6,42,,SSW,9,1014.4,19.9,53,,ESE,22,1013.4
,2025-10-24,17.1,25.6,0,,,SE,50,14:44,20.6,58,,WSW,11,1013.8,21.9,52,2,SE,33,1012.7
,2025-10-25,12.8,27.8,0,,,ENE,28,15:30,18.3,62,,N,11,1017.3,26.2,29,,NNW,11,1011.4
,2025-10-26,14.8,27.2,0,,,WSW,48,21:15,18.9,62,, ,Calm,1008.1,24.7,37,8,WNW,17,1002.0
,2025-10-27,14.4,26.7,0,,,SSE,69,14:50,24.5,39,,SW,20,1002.6,22.3,50,,S,31,1004.3
,2025-10-28,11.3,17.4,0,,,SSE,33,23:04,13.3,61,8,W,9,1021.9,15.9,43,8,ESE,15,1020.1
,2025-10-29,11.7,18.0,0.6,,,ESE,30,12:22,13.8,92,8,WSW,7,1019.0,16.2,86,,ESE,2,1016.2
,2025-10-30,13.5,23.9,14.0,,,ESE,35,14:57,17.4,78,3,SW,9,1017.4,23.3,58,1,E,20,1015.0
,2025-10-31,13.8,27.2,0,,,E,37,14:33,19.1,77,, ,Calm,1019.5,24.5,53,,ENE,24,1015.5
