"Daily Weather Observations for Bankstown, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2008.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,9.7,25.2,0,,,WNW,44,13:39,20.2,32,1,NW,13,1006.6,23.0,23,7,NW,19,1002.9
,2025-12-2,12.5,23.0,0,,,ESE,52,16:07,17.6,38,,SW,19,1011.2,22.5,36,1,SE,19,1012.2
,2025-12-3,11.3,29.8,0,,,ENE,35,14:42,19.4,53,,W,9,1020.2,27.3,36,,NE,26,1014.9
,2025-12-4,13.7,34.9,0,,,E,46,14:43,26.0,46,,W,9,1018.1,32.2,21,,ENE,30,1012.9
,2025-12-5,15.1,39.1,0,,,NE,43,16:06,30.1,22,,NW,9,1013.5,38.1,8,,W,11,1009.1
,2025-12-6,16.9,40.8,0,,,NNE,56,17:42,35.0,18,,NNW,19,1006.0,40.5,11,1,N,19,1001.3
,2025-12-7,19.8,23.6,0,,,SSE,41,10:29,20.3,68,7,SE,26,1009.8,21.2,54,,ESE,30,1011.8
,2025-12-8,17.5,29.2,0,,,ENE,39,13:54,24.1,54,,NNE,13,1014.1,27.5,39,,NNW,9,1011.0
,2025-12-9,17.2,36.3,0,,,SSE,46,18:04,25.2,56,,W,9,1013.3,34.0,27,,ESE,31,1010.8
,2025-12-10,19.2,27.5,0,,,S,35,23:19,24.2,53,,SSE,13,1020.1,26.2,52,2,ESE,19,1016.7
,2025-12-11,18.5,25.8,1.4,,,ESE,43,12:55,23.5,55,,SSE,28,1020.7,25.6,49,,SE,31,1020.3
,2025-12-12,18.2,23.4,13.2,,,ESE,37,13:47,19.3,93,,SW,13,1018.3,21.6,74,,ESE,26,1015.2
,2025-12-13,15.7,30.0,7.6,,,ENE,33,13:16,19.2,86,8,N,7,1013.1,24.4,63,,ENE,19,1007.3
,2025-12-14,18.8,34.7,6.2,,,SE,61,20:43,21.6,81,,NW,7,1006.0,33.3,32,1,WNW,11,1001.5
,2025-12-15,17.6,25.3,0,,,SE,43,15:19,21.3,64,8,NNE,4,1014.0,24.6,53,7,SE,24,1013.4
,2025-12-16,16.7,22.5,0,,,SE,30,00:21,20.2,57,7,ENE,11,1021.9,21.4,58,8,ESE,19,1022.3
,2025-12-17,17.0,28.9,0,,,E,39,13:10,22.1,64,4,N,13,1024.2,27.4,51,,E,28,1019.5
,2025-12-18,17.4,37.6,0.2,,,NNE,39,17:20,22.0,72,,NW,7,1018.3,37.2,32,,ENE,17,1011.0
,2025-12-19,19.4,42.0,0,,,ESE,44,15:36,26.6,56,,NW,7,1010.4,40.5,13,,W,9,1005.8
,2025-12-20,22.1,34.8,4.0,,,N,30,14:41,23.5,78,8,SW,6,1010.0,34.3,37,,NNW,17,1004.3
,2025-12-21,23.1,38.6,0.2,,,ESE,39,13:34,28.4,58,8,WNW,9,1005.5,31.9,48,8,SE,31,1000.6
,2025-12-22,22.6,32.1,3.2,,,,,,24.5,44,7,WSW,13,1005.7,31.6,29,,NW,9,1004.7
,2025-12-23,20.1,33.5,0.2,,,SE,57,15:28,24.3,67,1,NW,9,1008.5,29.5,41,,SE,37,1007.6
,2025-12-24,17.1,34.9,0,,,SSE,48,21:08,21.7,64,,N,11,1012.2,33.0,18,,NNW,11,1005.9
,2025-12-25,17.3,24.0,0,,,SE,48,13:56,22.2,59,8,SE,17,1011.6,21.1,52,,ESE,30,1010.3
,2025-12-26,13.9,19.9,0.4,,,SE,37,16:09,15.0,66,8,S,20,1015.4,15.9,64,8,SSE,22,1016.1
,2025-12-27,13.2,23.0,0,,,ESE,39,14:42,18.2,57,2,SSW,9,1018.0,22.4,43,4,ESE,24,1015.5
,2025-12-28,14.3,24.4,0,,,SSE,44,09:52,17.4,52,,SW,17,1020.0,22.3,40,,SSE,24,1020.3
,2025-12-29,12.2,25.2,0,,,ESE,39,12:46,17.0,68,,WSW,7,1021.5,23.3,39,,SE,24,1018.4
,2025-12-30,11.6,27.4,0,,,ESE,33,12:30,19.4,56,,NW,2,1015.6,25.7,40,,ENE,22,1009.3
,2025-12-31,14.3,25.3,0,,,ESE,37,18:41,21.1,65,5,SW,7,1010.9,23.4,53,8,ESE,15,1009.9
