"Daily Weather Observations for Bankstown, New South Wales for May 2026"
"Prepared at 00:36 UTC on Monday 11 May 2026   IDCJDW2008.202605"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-05-1,12.5,24.4,0,,,E,22,15:40,16.6,90,8,W,6,1030.6,23.7,52,7,ENE,11,1026.7
,2026-05-2,14.1,25.2,0.4,,,NE,37,11:52,16.7,95,,WNW,7,1026.3,23.7,62,8,NE,15,1022.7
,2026-05-3,13.5,26.3,0,,,E,31,15:33,19.1,82,, ,Calm,1023.1,26.0,49,,ENE,13,1018.2
,2026-05-4,14.7,21.3,0,,,NNE,22,12:40,17.8,85,8,NW,9,1018.3,21.1,75,5,NNW,9,1014.5
,2026-05-5,10.0,23.7,8.4,,,W,35,10:40,17.5,60,,WNW,15,1019.3,22.8,35,,SW,13,1017.2
,2026-05-6,10.4,23.4,0,,,ESE,24,14:41,15.4,67,2,WNW,9,1021.1,23.0,48,,WNW,9,1017.2
,2026-05-7,9.0,18.5,0,,,W,57,11:21,14.0,62,,N,9,1014.0,16.1,30,,WSW,30,1015.5
,2026-05-8,8.0,21.0,0,,,W,46,11:28,8.5,69,,N,9,1018.4,20.6,37,,W,20,1016.1
,2026-05-9,9.3,22.5,0,,,ESE,30,14:34,15.4,65,,W,11,1025.4,20.3,49,,ESE,20,1023.1
,2026-05-10,8.5,23.5,0,,,SE,31,15:54,14.5,72,,WNW,11,1029.5,21.5,56,,SE,20,1027.8
,2026-05-11,10.4,,0,,,,,,17.0,81,3,W,7,1033.7,,,,,,
