"Daily Weather Observations for Bathurst, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2012.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Ag Station Comparison {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,,18.4,0,,,W,44,11:04,,,,W,20,1011.5,,,,WNW,28,1009.8
,2025-10-2,0.5,17.0,0,11.0,,WSW,67,15:35,14.4,50,1,NW,24,1010.2,,,,W,31,1011.8
,2025-10-3,1.5,,0.4,,,SW,50,13:31,10.7,62,1,WSW,24,1019.8,,,,SW,24,1018.4
,2025-10-4,,21.8,,,,SW,24,13:28,,,,WNW,7,1025.5,,,,N,7,1023.7
,2025-10-5,,,0,8.0,,WNW,37,13:12,10.5,82,7,WNW,4,1023.2,,,,NW,19,1018.8
,2025-10-6,,24.0,,,,WNW,48,13:39,,,,NW,26,1014.6,,,,W,33,1013.2
,2025-10-7,9.3,19.2,0.2,6.2,,WNW,37,14:50,14.5,71,7,W,6,1017.3,,,,NW,22,1014.9
,2025-10-8,6.2,,0,,,WNW,72,16:57,15.2,65,3,SW,6,1014.5,26.0,39,7,NNW,31,1010.5
,2025-10-9,,,,,,NNW,63,11:46,,,,N,11,1013.4,,,,NNW,37,1013.4
,2025-10-10,,,,,,NW,41,13:59,,,,WNW,17,1017.6,,,,WNW,22,1014.5
,2025-10-11,,,,,,W,56,11:59,,,,SW,6,1015.8,,,,WSW,31,1014.4
,2025-10-12,,24.0,,,,SW,65,13:03,,,,SW,9,1014.7,,,,WNW,13,1015.7
,2025-10-13,5.5,18.0,7.8,15.8,,W,41,10:14,12.0,,2,W,24,1018.3,16.9,45,1,SW,17,1017.7
,2025-10-14,0.8,,0,4.0,,SW,43,11:19,9.0,84,0, ,Calm,1020.2,,,,W,24,1018.9
,2025-10-15,,,0,,,WNW,28,11:51,,,,WSW,4,1023.7,,,,WNW,9,1020.1
,2025-10-16,,28.0,0,,,W,41,14:07,,,, ,Calm,1021.9,,,,WNW,26,1017.9
,2025-10-17,13.8,,0,7.8,,WNW,61,15:19,22.0,81,6,NNW,31,1016.5,,,,NW,28,1012.4
,2025-10-18,,,0,,,W,31,15:10,,,,S,2,1015.0,,,,SW,19,1014.1
,2025-10-19,,27.2,0,,,W,28,11:24,,,, ,Calm,1017.8,,,,WSW,11,1013.7
,2025-10-20,9.9,,0,10.0,,WNW,44,14:13,17.9,83,1,NE,15,1015.3,,,,NW,28,1011.5
,2025-10-21,,,,,,NNW,30,12:34,,,, ,Calm,1015.7,30.0,63,7,W,15,1011.2
,2025-10-22,,31.3,,,,N,69,08:06,,,,N,46,1005.0,28.0,67,7,NW,37,1002.6
,2025-10-23,4.8,,0.8,5.8,,SW,37,23:21,12.8,82,2,S,11,1013.8,,,,NNW,13,1011.9
,2025-10-24,,,,,,SW,46,14:58,,,,SSW,9,1015.3,,,,WSW,26,1014.7
,2025-10-25,,,,,,SW,35,13:51,,,,NNW,2,1017.4,,,,SW,24,1014.3
,2025-10-26,,,,,,NW,46,14:54,,,,N,11,1009.7,,,,N,13,1005.7
,2025-10-27,,19.0,,,,WSW,44,10:33,,,,W,11,1004.9,,,,WSW,28,1006.3
,2025-10-28,7.0,11.8,0.4,1.6,,ENE,46,09:15,11.0,70,7,E,17,1017.6,,,,E,17,1016.7
,2025-10-29,5.9,15.7,5.4,1.2,,ENE,31,00:42,10.0,70,8,ESE,11,1016.7,15.0,79,7,ESE,9,1014.5
,2025-10-30,4.5,22.7,3.2,1.2,,W,26,12:48,10.8,95,6,NNW,4,1017.1,21.0,63,4,SW,13,1014.8
,2025-10-31,9.8,,0,6.0,,ENE,52,22:05,19.0,76,6, ,Calm,1019.1,24.5,65,8,WNW,19,1016.1
