"Daily Weather Observations for Bathurst, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2012.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Ag Station Comparison {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,,25.8,,,,WSW,46,09:28,,,,SSW,6,1016.9,,,,E,15,1013.4
,2025-11-2,11.3,28.3,15.6,147.2,,E,24,23:01,,,0,N,2,1013.3,,,,WNW,4,1009.2
,2025-11-3,10.8,30.0,0,6.4,,WSW,59,18:45,21.0,70,7,W,4,1005.7,27.8,53,8,NW,31,1002.1
,2025-11-4,8.0,15.4,3.8,6.8,,NW,67,13:43,12.1,76,5,NNW,33,1005.6,14.1,57,5,WNW,43,1006.8
,2025-11-5,4.8,18.4,0.8,5.8,,W,35,08:04,10.5,75,3,W,24,1014.6,17.0,60,0,SW,19,1014.0
,2025-11-6,0.9,,0,4.0,,NW,30,13:41,12.0,73,3,SSE,6,1018.3,,,,W,15,1014.2
,2025-11-7,,,0,,,NNW,46,11:25,,,,NW,2,1013.3,,,,NNW,20,1010.0
,2025-11-8,,,0,,,NNW,52,09:15,,,,N,31,1005.7,,,,W,37,1002.4
,2025-11-9,,,0,,,SW,39,15:29,,,,SW,20,1011.1,,,,SW,28,1010.4
,2025-11-10,2.0,21.0,0,22.0,,WNW,37,15:15,12.1,76,0,WNW,6,1014.9,20.0,32,2,SSW,15,1012.0
,2025-11-11,,,0,,,W,65,14:34,,,,NW,7,1012.7,,,,WSW,46,1010.0
,2025-11-12,,19.1,0,,,WSW,43,12:44,,,,S,4,1018.4,18.1,29,0,WSW,17,1015.9
,2025-11-13,0.0,25.5,0,6.0,,SW,44,12:17,12.0,48,5,NW,6,1015.0,,,,W,19,1009.6
,2025-11-14,7.0,,0,7.0,,SW,43,12:50,14.1,45,6,WSW,6,1009.6,26.8,31,5,WSW,26,1006.8
,2025-11-15,,,0,,,WNW,65,13:15,,,,ENE,11,1010.4,,,,NE,26,1005.1
,2025-11-16,,25.8,0,,,WNW,52,16:48,,,,WNW,19,1006.1,,,,W,31,1003.2
,2025-11-17,9.4,18.7,0,23.0,,W,56,08:58,12.0,75,2,WSW,31,1003.8,17.0,62,4,W,31,1003.5
,2025-11-18,4.5,,0,8.0,,WSW,37,14:57,14.6,49,1,SW,11,1010.2,,,,SW,22,1008.1
,2025-11-19,,,,,,W,39,12:12,,,,SW,4,1012.3,,,,W,22,1008.6
,2025-11-20,,,,,,WNW,56,13:45,,,,SW,2,1011.5,,,,NW,31,1009.2
,2025-11-21,,,,,,E,44,12:50,,,,E,17,1016.8,,,,ENE,31,1015.4
,2025-11-22,,,,,,E,39,01:18,,,,E,17,1017.0,,,,NNE,19,1014.2
,2025-11-23,,,,,,WSW,48,12:49,,,,NNW,13,1009.7,,,,WSW,31,1006.9
,2025-11-24,,,,,,WSW,46,13:28,,,,WSW,2,1007.3,,,,W,24,1004.5
,2025-11-25,,32.0,,,,WNW,67,13:10,,,,N,20,1003.0,,,,WNW,35,1001.8
,2025-11-26,16.0,29.4,,8.2,,NW,89,11:06,24.3,68,3,NNW,35,1002.5,26.7,51,4,WNW,31,998.3
,2025-11-27,8.9,,5.8,9.6,,WNW,54,09:37,19.5,36,0,WNW,11,1005.0,,,,W,30,1004.7
,2025-11-28,,,0,,,W,39,10:09,,,,WNW,4,1010.5,,,,W,31,1006.1
,2025-11-29,,,0,,,SW,69,13:03,,,,N,20,1003.1,,,,WSW,28,1004.4
,2025-11-30,,,0,,,WSW,57,15:38,,,,WNW,11,1006.7,,,,W,37,1005.9
