"Daily Weather Observations for Bathurst, New South Wales for February 2026"
"Prepared at 13:00 UTC on Sunday  3 May 2026   IDCJDW2012.202602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Ag Station Comparison {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-02-1,,,,,,SSW,65,14:23,,,,W,13,1007.1,,,,SW,33,1004.4
,2026-02-2,,,,,,E,46,16:38,,,,SE,26,1015.4,,,,SE,22,1017.4
,2026-02-3,,,,,,ENE,39,01:53,,,,E,24,1022.5,,,,N,20,1020.1
,2026-02-4,,,,,,W,46,14:19,,,,W,2,1019.6,,,,W,22,1016.0
,2026-02-5,,,,,,N,43,14:41,,,,NNW,9,1018.3,,,,N,26,1015.4
,2026-02-6,,,,,,,,,,,,SSW,2,1019.6,,,,SSW,19,1020.3
,2026-02-7,,,,,,ENE,48,17:45,,,,WSW,6,1018.9,,,,WNW,13,1015.0
,2026-02-8,,,,,,ENE,31,09:42,,,,SE,20,1015.6,,,,NE,6,1014.2
,2026-02-9,,,,,,,,,,,,N,9,1013.2,,,,NNW,15,1012.2
,2026-02-10,,,,,,SSE,35,16:39,,,,E,6,1016.4,,,,SW,9,1013.3
,2026-02-11,,,,,,WSW,39,12:33,,,,N,6,1013.3,,,,S,9,1008.1
,2026-02-12,,,,,,SSW,48,04:21,,,,SSW,9,1003.9,,,,WNW,13,1002.9
,2026-02-13,,,,,,ENE,41,14:53,,,,ENE,17,1013.2,,,,E,24,1012.7
,2026-02-14,,,,,,ENE,37,09:59,,,,ENE,22,1018.4,,,,ENE,24,1016.7
,2026-02-15,,,,,,NE,35,13:27,,,,N,11,1017.4,,,,E,19,1014.8
,2026-02-16,,,,,,E,33,16:37,,,,E,15,1015.8,,,,ESE,15,1012.5
,2026-02-17,,,,,,ENE,30,00:07,,,, ,Calm,1012.6,,,,NW,15,1008.2
,2026-02-18,,,,,,NW,59,11:48,,,,NNW,20,1009.0,,,,W,26,1007.6
,2026-02-19,,,,,,SW,41,14:37,,,,NNW,6,1013.5,,,,W,24,1012.6
,2026-02-20,,,,,,NNW,67,17:41,,,,E,13,1016.0,,,,N,13,1012.3
,2026-02-21,,,,,,NW,48,14:32,,,,N,6,1013.1,,,,WNW,20,1009.4
,2026-02-22,,,,,,NNW,35,11:14,,,,NE,9,1011.9,,,,WNW,20,1008.3
,2026-02-23,,,,,,ENE,46,20:02,,,,NE,4,1011.8,,,,N,13,1011.5
,2026-02-24,,,,,,ENE,37,00:36,,,,SE,9,1016.4,,,,NE,15,1013.2
,2026-02-25,,,,,,ENE,41,16:16,,,,NNE,6,1014.8,,,,SSW,28,1012.5
,2026-02-26,,,,,,E,43,13:06,,,,SE,15,1016.2,,,,ESE,24,1015.0
,2026-02-27,,,,,,ENE,43,15:13,,,,SE,13,1015.6,,,,ESE,24,1014.9
,2026-02-28,,,,,,ENE,39,13:31,,,,ENE,24,1017.0,,,,ENE,24,1014.5
