"Daily Weather Observations for Bellambi, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2014.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,18.5,25.4,0,,,NNW,63,00:05,22.3,32,,W,24,,25.0,24,,W,30,
,2025-10-2,12.0,24.9,0,,,W,83,20:39,20.0,47,,NNE,26,,19.1,35,,SSE,37,
,2025-10-3,13.9,24.5,0,,,W,54,00:05,18.1,38,,SW,30,,23.7,30,,SW,26,
,2025-10-4,13.8,20.8,0,,,SW,26,23:37,19.7,59,,ESE,13,,19.8,67,,E,13,
,2025-10-5,15.5,29.8,0,,,W,41,06:54,19.5,66,,NW,13,,29.8,23,,SW,19,
,2025-10-6,18.6,30.4,0,,,S,59,11:49,22.4,37,,WNW,15,,19.6,80,,SSE,22,
,2025-10-7,14.6,20.4,1.2,,,,,,17.5,77,,S,4,,19.5,83,,ENE,39,
,2025-10-8,14.0,26.5,0,,,S,98,18:09,19.8,50,,NE,6,,22.6,74,,ENE,15,
,2025-10-9,19.2,28.2,0.4,,,W,91,02:46,23.5,54,,NNW,17,,27.5,42,,WNW,22,
,2025-10-10,15.8,30.1,0,,,WSW,46,12:17,21.2,66,,NE,6,,29.4,20,,SW,24,
,2025-10-11,15.6,29.7,0,,,SSE,52,09:52,23.6,24,,SSW,19,,29.0,18,,WSW,26,
,2025-10-12,16.1,29.1,0,,,W,83,17:54,24.3,32,,ESE,7,,23.3,37,,WSW,48,
,2025-10-13,13.0,20.1,0.2,,,W,50,01:09,18.7,51,,ENE,11,,16.5,63,,SSE,28,
,2025-10-14,12.2,26.1,0,,,ENE,37,10:51,17.5,63,,N,17,,22.9,57,,NE,17,
,2025-10-15,14.0,23.3,0,,,SW,24,23:05,20.1,65,,SE,7,,22.3,71,,NNE,17,
,2025-10-16,15.3,25.4,0,,,NE,39,15:31,20.0,83,,NE,9,,21.9,83,,NNE,28,
,2025-10-17,18.7,31.7,0,,,SSE,74,15:07,23.7,57,,NNE,13,,23.5,70,,ESE,22,
,2025-10-18,13.8,20.9,0.2,,,SSE,39,23:17,18.4,62,,SSE,9,,20.0,66,,E,17,
,2025-10-19,15.6,24.5,0,,,NNE,57,13:26,19.8,66,,NNW,28,,21.2,72,,NNE,43,
,2025-10-20,18.7,27.1,0,,,SSE,65,19:03,20.2,79,,NNE,13,,21.4,80,,N,15,
,2025-10-21,17.8,21.6,0,,,S,37,02:02,19.8,69,,E,11,,18.6,71,,ENE,17,
,2025-10-22,17.5,35.0,0,,,NW,76,14:30,20.3,84,,N,7,,22.7,81,,NE,11,
,2025-10-23,15.3,20.9,0,,,SSW,52,23:16,19.1,53,,ESE,24,,18.8,62,,ESE,15,
,2025-10-24,15.8,20.5,0,,,SSE,52,11:43,20.0,64,,SE,13,,18.4,67,,SSE,35,
,2025-10-25,14.0,21.6,0,,,NNE,46,15:18,18.5,65,,NNE,13,,20.1,73,,NE,31,
,2025-10-26,16.4,25.8,0,,,W,52,21:13,20.8,52,,ENE,20,,19.4,73,,N,4,
,2025-10-27,18.2,24.5,0.8,,,S,76,20:33,21.5,44,,WSW,22,,16.6,71,,SE,54,
,2025-10-28,10.3,15.7,2.4,,,SSE,57,23:04,12.2,70,,S,20,,15.3,55,,ESE,13,
,2025-10-29,11.7,17.0,14.2,,,NE,43,21:41,13.3,94,,SW,15,,15.5,90,,E,9,
,2025-10-30,13.3,20.1,23.0,,,SSE,33,12:21,16.7,90,,SSE,17,,19.0,83,,SE,20,
,2025-10-31,14.9,22.7,0,,,NNE,35,19:19,19.4,81,,SSE,7,,22.1,73,,NE,22,
