"Daily Weather Observations for Bellambi, New South Wales for March 2026"
"Prepared at 16:00 UTC on Saturday  2 May 2026   IDCJDW2014.202603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-03-1,19.6,24.9,3.2,,,ENE,39,23:32,20.8,85,,SW,15,,24.3,74,,E,7,
,2026-03-2,20.8,25.1,0.2,,,NNE,44,16:01,23.8,72,,N,19,,24.8,78,,NNE,28,
,2026-03-3,20.2,23.3,5.8,,,N,41,00:15,20.9,91,,NNW,11,,21.5,87,,N,7,
,2026-03-4,20.8,26.3,3.0,,,SSW,48,19:25,23.3,95,,SSW,7,,25.0,84,,N,15,
,2026-03-5,21.6,26.7,1.0,,,S,48,23:20,23.2,90,,S,7,,25.7,79,,N,7,
,2026-03-6,21.4,26.4,0.2,,,SSE,41,13:02,23.2,96,,SSW,7,,24.8,85,,S,30,
,2026-03-7,21.8,27.1,0,,,S,59,19:35,23.7,88,,SSW,13,,24.7,86,,N,9,
,2026-03-8,19.5,24.2,2.8,,,S,63,12:55,19.9,85,,SSW,26,,20.5,91,,S,39,
,2026-03-9,18.4,22.9,2.2,,,S,43,16:35,20.5,86,,SSW,22,,21.1,85,,S,31,
,2026-03-10,19.6,25.8,3.6,,,SSE,26,11:22,22.8,81,,SSW,15,,25.0,82,,SSE,20,
,2026-03-11,20.6,26.9,0,,,NNE,50,15:38,24.0,74,,N,17,,24.9,81,,NNE,37,
,2026-03-12,21.3,23.6,0,,,S,59,03:35,21.7,76,,S,28,,23.0,64,,S,26,
,2026-03-13,18.0,21.0,0,,,S,63,11:36,19.2,69,,SSW,31,,20.4,56,,S,46,
,2026-03-14,17.2,23.4,0,,,SSW,44,08:49,19.2,57,,WSW,7,,22.7,58,,ENE,11,
,2026-03-15,18.5,26.2,0,,,NNE,46,13:14,21.6,62,,NW,20,,24.1,64,,NNE,37,
,2026-03-16,18.1,25.5,0,,,NNE,50,15:26,22.5,78,,W,7,,24.8,74,,N,22,
,2026-03-17,21.2,28.6,0,,,SSE,41,14:32,24.9,68,,NNW,6,,24.9,74,,SSE,22,
,2026-03-18,19.2,22.4,11.6,,,SSW,46,04:43,19.2,93,,SW,17,,21.9,83,,S,17,
,2026-03-19,19.1,25.7,6.6,,,SE,46,17:29,21.4,90,,SW,7,,23.7,83,,E,6,
,2026-03-20,17.7,24.6,6.4,,,E,44,02:09,21.4,89,,SSW,13,,24.1,79,,SSE,24,
,2026-03-21,19.6,25.6,0.2,,,E,26,13:13,21.9,88,,SSW,6,,23.4,84,,N,11,
,2026-03-22,19.7,24.9,1.4,,,ESE,41,08:55,21.8,86,,SW,11,,24.3,74,,SSW,13,
,2026-03-23,19.5,25.4,12.2,,,SSE,22,10:06,20.8,92,,SW,9,,24.5,79,,SSE,11,
,2026-03-24,20.1,25.5,2.6,,,NNE,41,01:07,22.4,80,,N,13,,25.2,72,,NE,17,
,2026-03-25,19.3,26.2,0,,,NW,28,10:19,22.3,72,,NNW,11,,25.0,73,,N,15,
,2026-03-26,18.3,26.5,0,,,WSW,52,16:38,21.4,74,,N,9,,22.5,83,,S,15,
,2026-03-27,13.3,17.7,3.6,,,WSW,87,17:20,13.3,58,,W,41,,15.3,71,,W,33,
,2026-03-28,12.9,21.7,7.6,,,SSW,65,10:37,16.3,50,,SW,28,,21.0,51,,SSW,33,
,2026-03-29,15.9,22.1,0,,,S,35,09:30,18.8,59,,SSW,19,,21.5,67,,SSE,28,
,2026-03-30,14.8,23.6,0,,,NE,24,18:32,18.1,82,,W,6,,23.1,62,,E,15,
,2026-03-31,16.6,24.1,0,,,NNE,35,16:34,20.1,70,,NW,11,,23.6,65,,NE,24,
