"Daily Weather Observations for Bellambi, New South Wales for April 2026"
"Prepared at 13:00 UTC on Thursday  7 May 2026   IDCJDW2014.202604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-04-1,19.1,24.6,0,,,NE,43,16:05,21.9,68,,NW,17,,24.1,71,,NE,33,
,2026-04-2,19.5,26.5,0,,,NNE,37,16:29,21.7,73,,NNW,7,,24.4,71,,NE,26,
,2026-04-3,18.8,23.4,0,,,S,48,12:00,21.1,79,,S,15,,22.2,76,,SSE,35,
,2026-04-4,16.2,20.0,11.4,,,SSW,48,02:30,16.6,91,,SW,17,,19.4,73,,S,33,
,2026-04-5,15.1,21.2,24.4,,,SE,44,01:26,17.7,80,,SW,11,,19.6,73,,SE,26,
,2026-04-6,14.1,21.9,0.2,,,NW,52,19:57,19.7,70,,N,6,,17.4,84,,N,7,
,2026-04-7,17.0,26.6,1.6,,,NE,26,13:50,21.4,62,,W,13,,24.8,72,,NNE,9,
,2026-04-8,19.0,24.8,0,,,SSW,31,04:43,22.7,79,,S,15,,24.0,74,,E,11,
,2026-04-9,18.9,27.2,0,,,NNE,39,15:03,23.4,71,,SSE,6,,24.5,79,,NNE,31,
,2026-04-10,21.0,30.0,0,,,NW,63,13:04,24.8,52,,WNW,28,,28.4,47,,NNW,26,
,2026-04-11,17.0,23.6,0,,,WSW,61,03:08,20.3,41,,WSW,15,,22.1,31,,WSW,24,
,2026-04-12,12.6,20.6,0,,,W,74,07:57,16.5,42,,WSW,28,,19.6,32,,WSW,26,
,2026-04-13,14.3,22.6,0,,,WSW,54,01:03,18.0,49,,SW,17,,21.6,45,,ENE,13,
,2026-04-14,14.4,22.5,0,,,WSW,24,00:06,20.1,41,,SSW,9,,22.1,44,,ENE,9,
,2026-04-15,15.1,23.5,0,,,W,35,04:27,21.3,52,,ESE,7,,22.2,57,,SE,15,
,2026-04-16,16.5,26.9,0,,,NW,37,10:55,21.7,66,,WNW,20,,23.8,65,,NNE,22,
,2026-04-17,17.1,24.5,0,,,S,63,21:49,22.3,41,,SSW,15,,22.6,66,,NE,7,
,2026-04-18,10.8,18.9,1.8,,,S,41,14:41,16.2,47,,SSW,19,,18.4,58,,SSE,30,
,2026-04-19,12.9,20.3,0,,,S,39,16:28,16.6,51,,SSW,24,,19.2,51,,SSE,26,
,2026-04-20,14.9,20.9,0,,,S,46,16:44,18.5,65,,SSW,22,,20.2,62,,S,35,
,2026-04-21,16.1,20.7,0,,,SSE,56,13:33,17.9,68,,SW,19,,18.7,72,,S,28,
,2026-04-22,15.6,20.6,0.8,,,SE,44,03:53,17.2,81,,SSW,15,,19.5,62,,SE,24,
,2026-04-23,15.6,21.2,0,,,ESE,41,05:34,20.4,56,,SSW,13,,20.2,57,,SE,19,
,2026-04-24,15.0,22.4,0,,,ENE,26,00:35,20.7,59,,S,9,,21.4,58,,ENE,9,
,2026-04-25,15.5,23.2,0.8,,,NW,50,23:19,21.2,68,,NNW,11,,22.8,73,,NNE,22,
,2026-04-26,17.6,24.4,0,,,NW,39,10:34,20.3,57,,NNW,24,,21.8,62,,NE,31,
,2026-04-27,16.6,24.9,0,,,NW,33,06:44,21.0,53,,W,9,,22.5,64,,NNE,20,
,2026-04-28,15.4,23.7,0,,,NNE,31,16:02,20.7,53,,NNW,20,,22.0,58,,NE,22,
,2026-04-29,16.7,23.0,0,,,WNW,28,01:57,22.4,57,,WNW,6,,22.7,64,,ENE,9,
,2026-04-30,16.6,22.7,1.8,,,NNE,30,17:26,19.7,83,,S,11,,22.3,74,,ENE,13,
