"Daily Weather Observations for Camden, New South Wales for March 2025"
"Prepared at 13:00 UTC on Monday 13 April 2026   IDCJDW2024.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,16.9,34.6,0,,,NNE,31,15:32,20.8,88,8, ,Calm,1017.1,33.0,40,,NNE,13,1012.0
,2025-03-2,18.6,29.7,0,,,SSE,31,15:49,22.4,99,8, ,Calm,1013.8,27.7,59,8,ESE,20,1012.3
,2025-03-3,18.4,25.8,0,,,S,33,14:19,22.2,66,8,SSW,17,1019.1,24.7,56,8,S,17,1017.6
,2025-03-4,18.7,26.0,10.6,,,SSE,46,13:17,19.9,100,8,WSW,7,1021.6,25.0,56,8,SSE,20,1021.4
,2025-03-5,15.8,28.1,1.6,,,SE,28,11:06,21.5,74,,S,9,1022.0,26.1,45,6,SE,13,1019.2
,2025-03-6,15.3,27.5,0,,,SSE,48,13:53,22.0,76,5,SSE,15,1020.7,23.7,65,8,SSE,30,1020.1
,2025-03-7,17.0,25.1,1.0,,,ESE,35,16:11,19.9,87,7,S,11,1021.7,24.5,54,8,E,20,1020.4
,2025-03-8,16.5,24.6,5.6,,,ENE,30,13:32,21.0,80,8,SSW,6,1023.1,23.3,69,8,ENE,13,1022.5
,2025-03-9,19.4,26.9,4.4,,,ENE,30,16:15,20.3,99,8,SE,9,1023.8,26.6,54,8,NNE,11,1020.5
,2025-03-10,17.2,25.6,0,,,NNE,26,11:31,21.1,87,8,SSW,6,1021.1,24.9,65,8,N,15,1018.7
,2025-03-11,19.5,22.0,2.2,,,E,22,16:13,20.0,100,7,SSE,9,1020.9,21.4,99,8,ESE,9,1020.5
,2025-03-12,18.2,27.1,12.8,,,NE,20,17:37,20.9,94,8,SSW,6,1022.9,26.1,60,2,NNE,6,1019.7
,2025-03-13,17.7,31.9,0,,,N,22,11:02,20.3,98,8, ,Calm,1020.1,30.7,46,,NE,9,1016.6
,2025-03-14,17.7,35.7,0,,,NNE,24,14:40,21.2,97,, ,Calm,1019.6,35.0,34,,NNW,7,1016.1
,2025-03-15,20.6,36.5,0,,,ENE,28,16:03,23.7,85,,N,7,1019.7,34.5,41,,NNE,9,1014.3
,2025-03-16,19.6,35.3,0,,,W,56,12:50,22.6,94,,SE,2,1011.5,34.4,28,5,WNW,26,1006.8
,2025-03-17,14.6,22.9,0,,,SW,41,00:05,17.8,47,,SSW,15,1018.9,22.5,27,,S,15,1020.2
,2025-03-18,9.0,24.4,0,,,N,28,10:49,15.7,74,, ,Calm,1024.6,22.8,51,8,ENE,19,1022.2
,2025-03-19,13.9,30.1,0,,,N,30,13:52,16.6,91,1, ,Calm,1023.2,29.7,44,,NE,11,1018.8
,2025-03-20,16.6,33.3,0,,,,,,20.9,87,7,SSW,2,1020.2,32.3,40,2,N,13,1015.3
,2025-03-21,16.9,29.0,0,,,SSE,33,19:19,19.2,97,8, ,Calm,1014.8,27.4,59,,N,7,1012.4
,2025-03-22,18.8,27.8,13.0,,,ENE,24,15:04,20.0,82,8,SSW,7,1017.8,26.4,57,8,NE,11,1015.5
,2025-03-23,18.9,20.9,0.2,,,S,20,05:01,19.1,99,8,SSW,7,1021.4,20.2,99,8,S,9,1020.0
,2025-03-24,18.7,25.6,2.2,,,NE,20,13:43,20.4,100,8,SSW,6,1020.5,23.2,76,8,ENE,13,1018.9
,2025-03-25,19.9,26.1,0,,,NE,24,14:09,22.5,83,8,SSE,7,1023.3,25.2,61,8,ENE,11,1021.1
,2025-03-26,18.4,28.2,1.4,,,NE,24,14:57,19.7,100,, ,Calm,1022.7,26.7,51,5,NE,9,1020.3
,2025-03-27,13.8,27.2,0,,,,,,17.5,99,2,S,6,1023.7,26.7,55,7,ESE,15,1021.6
,2025-03-28,16.7,25.0,2.2,,,ENE,28,13:32,19.0,100,8,ENE,7,1022.9,24.5,60,8,ENE,19,1019.5
,2025-03-29,17.4,22.3,21.8,,,SW,41,21:38,18.2,100,8,SSW,11,1012.9,19.5,97,7,WSW,19,1007.9
,2025-03-30,18.2,25.5,9.4,,,SSW,52,00:48,22.3,68,8,SW,20,1008.3,24.3,61,8,S,26,1008.3
,2025-03-31,18.1,24.9,4.0,,,SW,46,12:01,20.1,69,6,SSW,24,1012.1,23.4,54,8,S,26,1011.9
