"Daily Weather Observations for Camden, New South Wales for April 2025"
"Prepared at 13:00 UTC on Sunday 12 April 2026   IDCJDW2024.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,16.4,23.3,0,,,SSW,37,08:59,18.7,62,2,SSW,22,1015.4,21.1,57,8,SSW,20,1013.6
,2025-04-2,12.6,25.7,0,,,ENE,28,17:08,14.9,84,7, ,Calm,1012.5,24.7,34,,NW,7,1007.6
,2025-04-3,9.0,27.0,0,,,WSW,35,10:59,13.7,99,, ,Calm,1011.3,26.4,29,1,WNW,9,1009.6
,2025-04-4,10.9,26.6,0,,,E,24,16:04,16.7,88,4, ,Calm,1016.7,24.6,52,8,ESE,13,1014.0
,2025-04-5,14.2,26.9,,,,W,39,09:24,18.2,44,,WSW,15,1015.1,26.2,18,,SSW,20,1013.9
,2025-04-6,8.1,26.3,0,,,WSW,30,19:09,16.5,75,, ,Calm,1018.8,23.7,24,7,SW,6,1013.9
,2025-04-7,8.9,26.9,0,,,WSW,43,11:17,19.9,47,,N,7,1018.1,26.6,23,,WSW,17,1015.8
,2025-04-8,11.7,22.8,0,,,NNW,22,12:22,17.2,75,8,WSW,4,1025.4,21.3,56,7,SE,9,1022.7
,2025-04-9,14.2,26.0,1.0,,,ENE,31,15:18,19.5,82,7,ENE,2,1025.5,22.7,56,4,NE,19,1020.9
,2025-04-10,12.3,25.4,0,,,NNE,19,13:12,16.7,96,8,SSW,2,1023.2,24.0,53,8,N,13,1019.9
,2025-04-11,11.1,30.6,0,,,SE,28,16:21,19.2,78,, ,Calm,1023.9,26.6,41,8,NNW,4,1022.8
,2025-04-12,12.4,28.1,0,,,ENE,26,12:21,22.0,67,,S,11,1031.0,26.2,46,1,ESE,13,1028.4
,2025-04-13,12.9,27.4,0,,,N,28,15:41,19.4,94,,SSW,6,1030.3,27.0,36,,NE,11,1025.6
,2025-04-14,11.3,29.3,0,,,SSE,39,13:51,18.8,86,, ,Calm,1025.6,26.1,43,,S,24,1023.2
,2025-04-15,16.9,24.1,0,,,S,41,09:55,19.9,63,8,SSE,13,1028.0,22.6,39,3,S,15,1025.3
,2025-04-16,14.8,23.7,0,,,WSW,31,08:56,19.4,50,5,SW,22,1023.0,23.2,44,1,SSW,11,1018.2
,2025-04-17,14.7,25.4,0,,,SSE,39,12:06,19.4,61,1,SW,19,1017.2,24.2,37,1,SSW,13,1014.1
,2025-04-18,9.1,26.6,0,,,E,20,16:36,18.1,71,,S,4,1015.2,26.1,31,,SW,6,1011.7
,2025-04-19,9.0,30.4,0,,,N,22,12:13,16.9,82,,NNW,2,1013.6,29.4,26,,N,13,1009.6
,2025-04-20,7.9,30.3,0,,,NNE,28,14:45,16.7,75,,S,6,1013.5,30.3,27,2,NE,15,1009.4
,2025-04-21,12.2,26.7,0,,,W,44,14:50,21.6,61,,SE,6,1011.5,25.2,28,2,W,20,1009.8
,2025-04-22,11.1,24.8,0.4,,,S,46,13:24,19.7,70,7,SSW,17,1015.4,21.7,71,5,SSW,24,1014.2
,2025-04-23,15.7,25.7,6.4,,,E,43,12:23,20.3,83,8,S,9,1023.0,22.4,64,8,ESE,19,1021.6
,2025-04-24,11.4,24.9,2.2,,,SE,24,12:01,17.5,96,8,SE,9,1024.4,23.5,56,7,ESE,11,1020.4
,2025-04-25,11.8,24.2,0.4,,,ENE,28,14:31,16.6,100,8,WSW,2,1021.0,21.6,73,8,ENE,15,1016.8
,2025-04-26,12.1,24.2,0.2,,,N,24,13:02,15.9,100,7, ,Calm,1017.0,22.9,65,8,N,7,1013.5
,2025-04-27,15.9,20.4,,,,S,28,11:58,17.9,98,8,SSW,9,1012.6,19.6,81,8,SSW,17,1010.0
,2025-04-28,16.4,24.7,,,,S,37,15:16,20.2,65,1,SSW,17,1015.2,23.0,54,1,SSE,20,1014.3
,2025-04-29,10.8,25.0,0,,,SE,31,13:56,17.4,85,,S,6,1017.9,17.3,96,8,SSE,11,1016.6
,2025-04-30,13.7,18.4,,,,,,,16.2,82,8,S,19,1022.6,14.1,89,7,SW,13,1023.2
