"Daily Weather Observations for Camden, New South Wales for May 2025"
"Prepared at 13:00 UTC on Saturday 11 April 2026   IDCJDW2024.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,11.5,20.0,,,,S,46,15:07,15.6,65,,SSW,22,1028.4,18.6,40,6,S,22,1027.6
,2025-05-2,10.2,20.5,,,,SSW,33,11:12,15.5,69,6,SW,11,1033.2,19.3,56,8,SSE,17,1031.5
,2025-05-3,6.8,22.5,0,,,SW,17,09:16,15.7,78,,WSW,9,1035.4,20.2,52,5,ESE,7,1032.7
,2025-05-4,7.1,22.8,0,,,NE,30,14:01,13.4,91,,S,6,1034.9,22.0,51,,NNE,20,1030.6
,2025-05-5,10.4,24.7,0,,,NNE,26,11:14,14.7,100,8,SSW,4,1030.8,23.4,54,3,NNE,11,1025.5
,2025-05-6,9.6,24.9,0,,,NNE,20,15:19,14.0,100,8,ESE,6,1024.9,24.1,51,,NNE,13,1020.3
,2025-05-7,10.7,27.0,0,,,WSW,24,23:49,17.2,85,,E,2,1020.0,26.5,35,1,NW,15,1015.4
,2025-05-8,9.0,21.4,0,,,SE,26,15:18,17.2,54,,SW,9,1024.8,18.8,54,4,ESE,17,1025.0
,2025-05-9,6.6,20.0,0,,,ENE,22,15:58,12.7,74,1,SE,9,1033.2,18.6,57,8,E,6,1030.5
,2025-05-10,8.2,22.3,0,,,ENE,26,15:55,15.1,82,,SSE,7,1033.1,21.1,50,6,NE,11,1029.4
,2025-05-11,9.4,21.5,0,,,E,19,14:15,13.9,99,8, ,Calm,1030.9,17.5,87,8, ,Calm,1027.7
,2025-05-12,13.9,23.4,3.4,,,ENE,17,16:03,17.8,99,8, ,Calm,1027.9,21.4,66,8,E,6,1024.6
,2025-05-13,12.4,21.5,0,,,NE,24,14:29,16.6,100,8, ,Calm,1026.8,19.0,72,8,E,13,1024.0
,2025-05-14,10.1,23.6,3.8,,,NNE,17,12:45,14.0,100,,SE,4,1022.4,22.1,58,8,WSW,2,1018.8
,2025-05-15,9.7,21.1,0,,,S,20,13:27,14.4,100,8, ,Calm,1022.5,20.0,67,8,ESE,11,1020.6
,2025-05-16,14.4,21.4,0,,,SW,20,12:59,16.6,91,8,WSW,7,1019.5,20.5,65,8,SSW,7,1015.3
,2025-05-17,9.8,23.0,0.6,,,SE,20,16:29,13.7,100,,SE,4,1016.4,21.4,54,1,E,9,1013.8
,2025-05-18,11.8,17.3,0,,,SSW,52,16:28,14.6,67,8,SW,11,1022.3,15.7,56,8,SSW,15,1022.3
,2025-05-19,12.6,18.7,0,,,SSE,48,14:12,14.5,63,8,SSW,17,1028.9,15.9,56,8,S,24,1028.7
,2025-05-20,10.8,19.7,0.4,,,SSE,31,12:36,15.0,77,8,SSW,11,1031.1,19.4,51,7,SE,13,1028.1
,2025-05-21,12.2,18.6,5.0,,,SSE,26,13:36,15.6,99,8,SW,9,1027.8,17.2,88,8,SSE,6,1024.6
,2025-05-22,14.7,18.2,13.6,,,ENE,31,19:10,16.7,99,8,SSW,7,1020.1,17.6,99,8,SSE,9,1016.6
,2025-05-23,15.9,21.5,75.4,,,ENE,35,05:20,18.2,100,8,ENE,9,1015.2,20.3,89,8,E,7,1010.6
,2025-05-24,7.9,21.6,4.6,,,W,30,13:17,12.7,92,, ,Calm,1015.9,20.9,44,,WNW,17,1012.9
,2025-05-25,5.9,18.3,0,,,N,17,14:43,9.2,99,8,NE,4,1019.5,17.1,61,7,N,11,1017.4
,2025-05-26,5.1,17.9,0,,,N,19,20:48,9.6,99,1, ,Calm,1019.6,14.8,66,8,N,6,1014.8
,2025-05-27,9.6,17.9,13.4,,,WNW,70,15:04,14.1,67,8,W,9,1009.2,16.3,41,,WNW,33,1005.4
,2025-05-28,9.8,19.6,0,,,W,37,03:06,15.3,51,,WSW,15,1015.4,19.1,36,,WSW,17,1013.7
,2025-05-29,7.7,19.2,0,,,WSW,26,11:02,13.4,63,,W,15,1020.7,18.1,53,8,S,11,1019.8
,2025-05-30,3.4,20.5,0,,,N,17,13:41,9.7,99,,SE,7,1025.5,20.1,47,,N,4,1024.5
,2025-05-31,6.0,20.5,0,,,ENE,19,16:19,11.1,99,,SE,6,1029.5,19.9,47,,NW,9,1027.2
