"Daily Weather Observations for Camden, New South Wales for June 2025"
"Prepared at 13:00 UTC on Friday 10 April 2026   IDCJDW2024.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,3.9,19.9,0,,,NE,20,13:35,9.4,99,, ,Calm,1027.5,19.4,52,,N,13,1023.9
,2025-06-2,4.8,17.4,0,,,E,17,10:59,10.0,99,, ,Calm,1020.8,17.0,70,4, ,Calm,1014.9
,2025-06-3,5.2,20.3,0,,,SSW,28,10:59,9.9,99,8, ,Calm,1010.8,19.2,33,,SSE,15,1008.2
,2025-06-4,6.3,15.6,0.8,,,SSW,48,11:03,10.9,66,8,SSW,13,1016.3,14.9,44,5,SSW,30,1017.3
,2025-06-5,6.1,17.4,0,,,WSW,31,11:43,11.9,53,,W,13,1024.6,17.2,36,,WNW,9,1022.8
,2025-06-6,0.4,15.2,0,,,NNW,15,13:21,5.2,99,7, ,Calm,1022.3,14.4,59,8,NNE,6,1016.0
,2025-06-7,2.2,19.7,0,,,WNW,61,13:48,7.0,99,2,SSE,7,1011.2,17.6,31,,WNW,33,1005.8
,2025-06-8,1.4,16.0,0,,,WNW,54,10:54,13.2,48,,NW,24,1005.1,14.4,39,1,NW,26,1003.4
,2025-06-9,-0.5,14.9,0,,,WNW,46,11:35,6.1,88,,WSW,2,1002.8,11.7,53,8,WSW,20,1000.3
,2025-06-10,6.0,17.1,0,,,WSW,46,14:55,14.0,53,,WSW,24,1008.0,15.9,44,,WSW,31,1007.8
,2025-06-11,1.4,16.3,0,,,W,41,13:09,11.5,63,,SW,15,1013.8,15.8,40,,WSW,19,1012.5
,2025-06-12,0.4,17.6,0,,,WSW,24,12:21,7.3,84,,SE,6,1019.5,17.4,42,5,WNW,11,1017.8
,2025-06-13,4.4,16.7,0,,,SSW,43,11:53,9.9,68,,SW,13,1023.1,14.5,55,8,S,17,1021.8
,2025-06-14,5.4,18.7,0,,,SSW,24,10:40,12.8,68,8,SW,11,1024.1,17.2,53,8,E,11,1021.5
,2025-06-15,3.0,19.1,0,,,WSW,39,15:49,7.6,99,7, ,Calm,1023.5,16.8,51,8,WNW,2,1020.2
,2025-06-16,-0.3,16.9,1.6,,,N,17,14:28,5.0,99,, ,Calm,1025.2,16.2,39,,NE,9,1021.5
,2025-06-17,-1.5,18.9,0.2,,,WSW,35,13:57,3.7,99,,SSE,2,1023.4,18.0,35,,WSW,20,1019.0
,2025-06-18,0.2,17.4,0,,,WNW,20,00:12,7.3,80,, ,Calm,1026.1,16.5,33,,N,9,1024.3
,2025-06-19,-1.1,17.7,0,,,NNE,22,13:38,3.8,99,1,S,6,1028.6,16.7,50,1,N,11,1025.1
,2025-06-20,-0.5,18.4,0,,,N,15,14:13,4.9,99,, ,Calm,1030.2,17.7,45,,NNW,7,1027.9
,2025-06-21,-1.2,18.7,0.2,,,N,15,12:44,5.2,99,,SE,6,1032.3,17.9,45,,NE,6,1028.7
,2025-06-22,-1.5,20.4,0.2,,,N,13,15:52,3.9,99,, ,Calm,1029.8,19.4,33,,NNW,7,1025.4
,2025-06-23,-0.3,21.2,0,,,NNE,19,12:55,4.8,99,, ,Calm,1024.2,20.9,49,,N,9,1018.7
,2025-06-24,3.3,21.8,0.2,,,NW,48,22:04,10.0,100,8,E,6,1011.3,20.8,37,,NW,33,1006.3
,2025-06-25,9.7,15.9,0.6,,,W,74,19:12,14.0,39,,WNW,17,1007.4,15.3,46,,WNW,30,1006.2
,2025-06-26,2.5,15.0,0.2,,,WSW,43,01:01,10.1,49,,SW,9,1025.0,14.5,32,,SSW,17,1026.5
,2025-06-27,-0.3,16.9,0,,,SW,19,10:40,9.3,69,7, ,Calm,1032.0,15.7,51,7,N,7,1029.4
,2025-06-28,1.9,18.6,0,,,N,15,15:16,7.7,99,,SE,4,1029.8,17.9,45,,NNW,6,1026.3
,2025-06-29,0.5,19.1,0.2,,,WNW,26,12:47,5.8,99,,SSE,6,1026.4,18.3,41,,SW,9,1023.4
,2025-06-30,1.8,17.7,0,,,SW,20,21:17,5.6,99,2, ,Calm,1027.5,16.5,44,1,SE,9,1023.6
