"Daily Weather Observations for Camden, New South Wales for July 2025"
"Prepared at 13:00 UTC on Sunday 10 May 2026   IDCJDW2024.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,5.5,15.0,5.6,,,SW,63,22:56,11.4,88,8,SW,22,1014.5,11.0,87,7,WSW,33,1004.8
,2025-07-2,10.7,18.1,56.6,,,SW,61,17:53,14.9,73,7,SW,30,1001.5,16.2,63,8,SW,22,1002.4
,2025-07-3,12.7,18.3,0.4,,,SW,50,08:56,15.2,53,,SW,30,1010.2,17.7,41,,WSW,26,1010.1
,2025-07-4,5.0,18.9,0,,,SSW,26,13:10,11.5,70,,ESE,9,1020.6,18.2,39,,S,6,1019.1
,2025-07-5,1.4,17.4,0,,,NNE,15,13:40,5.6,99,8, ,Calm,1025.5,16.6,61,3,NNE,9,1021.5
,2025-07-6,5.6,21.0,0,,,W,65,17:41,11.0,99,, ,Calm,1019.6,20.5,53,6,N,6,1013.3
,2025-07-7,3.8,16.5,1.8,,,WSW,37,11:48,9.3,99,,N,4,1016.3,15.2,55,8,W,15,1014.0
,2025-07-8,1.8,15.5,0,,,N,20,18:24,6.4,99,1, ,Calm,1013.5,13.2,74,7,NW,2,1007.4
,2025-07-9,0.5,19.2,0,,,W,15,04:55,6.6,99,, ,Calm,1010.6,18.7,43,,ESE,4,1006.3
,2025-07-10,2.3,15.2,0,,,NW,76,11:02,13.8,39,,NW,33,1003.9,14.9,37,,W,31,1003.9
,2025-07-11,8.8,17.1,0,,,WSW,57,11:16,13.6,52,,W,13,1017.9,16.6,44,1,W,26,1017.2
,2025-07-12,4.7,19.1,0,,,SW,30,03:36,10.9,73,,E,6,1023.9,18.4,31,1,W,19,1022.9
,2025-07-13,0.4,16.8,0,,,NW,22,23:50,5.1,99,, ,Calm,1021.9,15.4,49,,NNE,9,1014.8
,2025-07-14,3.4,18.3,0,,,W,48,02:12,14.8,35,,SW,13,1013.0,17.9,25,,WSW,11,1012.0
,2025-07-15,0.5,14.4,0,,,SW,69,10:02,5.4,89,8, ,Calm,1012.6,13.2,49,6,ENE,19,1010.6
,2025-07-16,-0.4,18.1,0.2,,,WSW,22,12:57,6.5,86,, ,Calm,1018.3,17.7,35,,NNW,7,1016.4
,2025-07-17,-1.1,17.4,0,,,N,17,12:37,4.4,99,, ,Calm,1019.6,17.1,39,,NNW,4,1015.4
,2025-07-18,1.4,15.3,0,,,S,26,11:44,7.7,92,6, ,Calm,1019.9,14.3,55,8,S,13,1018.2
,2025-07-19,-0.6,18.5,0,,,NNW,19,13:32,6.2,99,,ESE,2,1020.3,18.3,31,,NNW,7,1016.8
,2025-07-20,-2.1,18.8,0.2,,,SE,31,14:43,6.1,93,, ,Calm,1023.1,17.4,51,,SE,17,1021.7
,2025-07-21,4.0,19.9,0,,,NNE,20,13:46,9.5,99,2, ,Calm,1025.8,18.5,53,8,NNE,9,1021.1
,2025-07-22,5.9,18.1,0,,,NNE,35,13:52,8.7,99,8,WSW,6,1019.6,16.9,64,8,N,19,1013.7
,2025-07-23,8.0,18.3,3.8,,,WSW,37,16:33,11.6,100,, ,Calm,1013.7,16.8,34,1,SW,22,1012.7
,2025-07-24,3.8,17.3,0,,,WSW,37,09:18,10.9,58,,SW,13,1021.2,16.8,29,,WSW,17,1019.1
,2025-07-25,-1.5,17.0,0,,,NNW,24,13:13,4.8,99,,S,2,1024.3,16.3,36,2,NNE,15,1019.8
,2025-07-26,4.8,19.2,1.6,,,NW,31,16:05,9.4,97,8,WNW,6,1010.9,18.4,61,2,NNE,13,1005.0
,2025-07-27,7.3,19.2,0,,,WNW,41,10:42,14.7,58,1,N,19,1004.7,15.7,54,8,NNW,20,1002.7
,2025-07-28,2.6,18.2,0,,,SW,44,13:38,11.3,82,1, ,Calm,1007.5,15.9,43,7,WSW,22,1007.9
,2025-07-29,5.9,16.4,0,,,WNW,35,10:05,11.1,72,8,E,7,1016.2,15.1,50,8,SW,9,1012.6
,2025-07-30,7.2,11.0,1.2,,,SSW,24,14:47,9.6,92,8,SW,9,1014.7,10.7,90,8,SSW,15,1013.3
,2025-07-31,9.0,15.6,11.8,,,SSW,41,11:51,11.0,84,8,SSW,13,1020.8,14.7,52,1,SSW,20,1020.5
