"Daily Weather Observations for Camden, New South Wales for August 2025"
"Prepared at 13:00 UTC on Saturday  9 May 2026   IDCJDW2024.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,7.8,15.6,0,,,S,28,11:09,10.9,76,8,SSW,9,1024.2,15.2,56,8,SSE,13,1021.1
,2025-08-2,10.2,15.2,16.6,,,SSE,41,16:07,11.5,99,8,SW,6,1021.4,13.1,94,8,S,15,1018.3
,2025-08-3,11.2,17.7,26.6,,,SSE,41,10:46,15.2,78,,S,17,1022.7,16.3,72,8,S,19,1021.9
,2025-08-4,9.7,17.6,3.6,,,E,19,10:56,14.2,92,,SSW,4,1023.6,16.4,74,8,SW,7,1020.9
,2025-08-5,5.3,21.1,1.0,,,WNW,20,23:59,7.9,99,8,SSE,6,1018.9,19.4,55,8,N,7,1015.2
,2025-08-6,4.0,18.9,0,,,WSW,43,09:30,13.4,51,,SW,17,1021.4,18.3,32,,SW,20,1019.6
,2025-08-7,3.8,17.5,0,,,S,28,10:55,12.7,75,8,SW,11,1028.7,15.6,54,8,SSE,11,1028.2
,2025-08-8,6.7,16.6,0,,,S,24,09:56,11.3,78,8,SE,7,1033.6,16.2,48,8,ESE,11,1031.5
,2025-08-9,10.6,17.4,0,,,SSE,39,15:26,13.9,72,8,SSW,15,1033.5,14.3,80,8,ESE,13,1030.1
,2025-08-10,10.0,16.5,2.0,,,SSE,33,15:27,12.5,79,8,S,9,1030.4,15.4,60,8,SSE,17,1027.4
,2025-08-11,4.9,17.6,2.6,,,S,20,09:10,11.9,84,2,SSW,4,1028.8,15.8,53,5,ESE,13,1025.5
,2025-08-12,2.2,19.2,4.0,,,WSW,20,12:25,10.6,93,, ,Calm,1026.9,19.0,41,,NNE,6,1023.6
,2025-08-13,2.3,19.5,0,,,SW,19,14:00,8.7,99,,SSW,6,1026.0,18.3,40,6,WSW,11,1023.1
,2025-08-14,8.0,16.8,0.2,,,S,39,11:57,12.8,59,,SW,20,1026.7,15.7,65,8,SSW,15,1025.0
,2025-08-15,7.1,19.9,0.8,,,NNE,28,15:27,11.9,89,5,SE,6,1022.4,19.0,53,,NNE,11,1016.2
,2025-08-16,5.1,18.7,0,,,WSW,44,14:13,11.6,97,1,ESE,7,1013.3,17.0,34,,WSW,24,1011.3
,2025-08-17,1.3,16.9,0,,,WSW,31,09:36,9.8,63,,S,6,1019.2,15.9,30,,WSW,19,1017.5
,2025-08-18,0.8,15.6,0,,,SE,33,12:22,11.3,55,3,SSW,17,1026.0,11.7,71,8,ESE,9,1027.0
,2025-08-19,8.4,15.9,10.8,,,SSW,24,09:44,12.1,80,7,SSW,11,1031.8,14.8,79,8,WSW,9,1029.4
,2025-08-20,8.5,13.9,9.6,,,SE,30,11:10,11.6,95,8,S,6,1032.9,13.1,89,8,SE,6,1029.8
,2025-08-21,10.8,14.7,35.6,,,ESE,20,15:04,12.9,99,8,S,7,1028.4,14.3,99,8,ESE,13,1024.7
,2025-08-22,9.8,17.2,27.2,,,SSW,15,09:09,13.3,100,8,SSW,9,1024.6,16.8,80,8,NNE,2,1020.2
,2025-08-23,10.0,21.2,0.8,,,SW,41,10:17,16.6,60,,SW,17,1018.3,20.5,42,2,S,19,1018.1
,2025-08-24,7.2,19.2,0,,,SW,35,11:30,14.5,49,,SW,19,1022.3,18.4,45,8,SW,17,1017.7
,2025-08-25,8.3,22.9,0,,,SW,30,14:18,17.2,66,8,W,11,1019.3,22.2,49,,WSW,15,1016.5
,2025-08-26,9.7,24.5,0,,,,,,12.7,100,8,SSW,2,1017.5,23.8,50,1,NNW,9,1009.5
,2025-08-27,11.3,20.1,0,,,W,46,23:52,19.2,52,8,NW,26,1002.9,17.6,44,1,NW,24,1002.3
,2025-08-28,10.5,19.4,0,,,W,67,12:57,15.3,41,,W,30,1006.5,18.6,30,,W,30,1005.3
,2025-08-29,4.8,20.8,0,,,W,74,21:35,16.2,42,,WNW,22,1009.1,19.9,29,1,NW,24,1004.4
,2025-08-30,6.7,17.1,0.4,,,WSW,61,07:59,12.8,44,,WSW,20,1006.8,16.2,39,,WSW,30,1014.4
,2025-08-31,1.9,21.3,0,,,N,19,16:17,11.4,63,,NW,4,1026.4,20.8,35,,NNE,9,1021.8
