"Daily Weather Observations for Camden, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2024.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,14.5,23.8,9.4,,,WSW,28,01:51,17.5,90,8,WSW,9,1017.6,21.8,71,8,NNE,7,1013.8
,2025-11-2,13.0,25.2,1.6,,,N,24,14:58,18.0,85,8,W,2,1015.0,24.0,63,8,NNE,15,1011.2
,2025-11-3,17.4,31.7,0,,,SW,52,21:00,19.5,93,8,N,13,1005.9,31.6,49,4,SW,2,999.6
,2025-11-4,15.1,22.6,4.0,,,NW,65,09:22,19.6,45,1,NW,24,1006.5,18.3,38,8,WNW,35,1007.0
,2025-11-5,8.8,25.9,0,,,SW,37,14:08,17.6,42,,WSW,20,1013.5,25.8,27,,WSW,24,1011.8
,2025-11-6,6.5,27.5,0,,,ENE,35,16:15,17.9,54,,NW,4,1019.1,26.0,30,,ENE,13,1014.2
,2025-11-7,14.2,27.8,0,,,ENE,24,16:37,19.3,74,8,NNE,2,1013.3,27.8,44,8,N,11,1008.6
,2025-11-8,14.9,35.4,0,,,NNW,56,11:51,18.4,86,7, ,Calm,1004.5,33.7,24,8,NNW,26,998.5
,2025-11-9,13.6,23.8,0,,,SW,44,23:38,17.9,46,,SW,22,1010.6,22.6,45,8,SE,13,1010.0
,2025-11-10,11.6,26.6,0,,,NE,39,15:26,18.3,59,,N,9,1015.8,25.7,29,1,N,7,1011.3
,2025-11-11,8.3,28.0,0,,,WSW,70,15:20,19.0,60,,SSW,4,1012.2,26.6,18,6,W,28,1007.2
,2025-11-12,4.9,25.1,0,,,W,35,13:31,15.3,33,,WSW,9,1019.9,24.6,19,,W,19,1014.7
,2025-11-13,5.1,30.8,0,,,NW,41,14:44,17.3,51,,N,7,1014.4,28.9,16,,NNW,9,1007.5
,2025-11-14,11.5,27.8,0,,,NE,39,13:45,19.8,63,7,SSE,9,1010.3,25.4,43,,ENE,22,1007.7
,2025-11-15,16.9,31.2,0,,,NNE,54,15:13,20.8,72,8,NNE,15,1010.3,28.7,41,1,NE,19,1003.7
,2025-11-16,17.4,31.2,5.6,,,W,43,14:06,24.4,43,,SSE,9,1003.8,30.8,19,2,WNW,28,999.9
,2025-11-17,13.3,23.6,0,,,WSW,52,08:39,18.5,33,,WSW,24,1002.8,21.7,29,7,W,20,1002.1
,2025-11-18,9.9,30.4,0,,,SSW,31,07:40,20.7,40,,SW,20,1009.8,29.5,26,,N,19,1006.0
,2025-11-19,10.4,34.2,0,,,ENE,35,16:19,21.9,48,,SSW,4,1011.4,32.7,18,,NNE,28,1005.9
,2025-11-20,12.9,28.1,0,,,SSE,37,15:44,20.7,68,1,NE,4,1011.4,24.5,58,5,SSE,19,1009.7
,2025-11-21,14.9,20.2,0,,,SE,30,13:26,16.4,74,8,S,15,1020.3,17.2,69,8,SSE,19,1020.5
,2025-11-22,15.2,21.3,0,,,ENE,22,10:39,20.1,74,8,SSE,9,1019.4,19.5,88,8,SE,6,1016.1
,2025-11-23,17.7,33.3,9.2,,,WSW,43,13:22,20.7,93,4,NW,6,1008.7,32.4,26,1,WSW,30,1003.3
,2025-11-24,14.7,27.4,0,,,E,33,12:58,22.4,58,1,SSW,11,1007.9,24.4,56,1,SSE,22,1005.9
,2025-11-25,15.2,33.8,0,,,W,35,15:43,21.0,68,,E,7,1001.9,32.0,38,7,E,7,996.9
,2025-11-26,15.7,34.7,0,,,W,80,16:16,27.8,49,,N,7,999.1,31.2,37,3,NW,30,994.6
,2025-11-27,12.2,31.5,3.0,,,WNW,54,09:14,23.7,41,,NNE,6,1001.8,30.7,17,,W,24,1001.1
,2025-11-28,14.2,33.6,0,,,NNW,37,14:04,21.7,61,,N,13,1009.4,32.3,16,,NW,20,1003.2
,2025-11-29,15.7,31.7,0,,,WSW,76,14:02,20.0,80,8,WSW,6,999.7,23.6,37,5,SW,48,1000.0
,2025-11-30,14.8,27.7,0,,,WSW,63,14:54,21.2,59,1,N,11,1006.5,25.5,23,8,W,30,1002.8
