"Daily Weather Observations for Camden, New South Wales for January 2026"
"Prepared at 13:00 UTC on Monday  4 May 2026   IDCJDW2024.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,15.7,21.1,0,,,SSE,41,10:17,18.8,67,8,SSE,22,1015.2,20.4,50,8,SSE,15,1015.7
,2026-01-2,14.6,22.3,0,,,,,,19.0,64,8,WNW,7,1018.9,20.8,60,8,ESE,13,1017.0
,2026-01-3,16.6,29.4,0.2,,,NE,39,18:10,20.0,76,4,WNW,7,1016.7,28.3,47,4,ENE,20,1011.8
,2026-01-4,16.7,32.6,0.4,,,,,,22.7,74,,NW,7,,30.1,49,8,N,7,1007.1
,2026-01-5,14.2,32.1,1.4,,,ESE,30,15:17,21.8,72,,SSW,7,1013.4,27.8,49,6,E,15,1010.1
,2026-01-6,17.0,32.6,1.4,,,ENE,33,14:49,22.5,69,1,SW,2,1017.3,31.3,37,,NNW,15,1013.9
,2026-01-7,17.3,38.6,0,,,NE,39,16:10,23.9,73,,NW,9,1019.4,37.1,22,,NE,13,1015.0
,2026-01-8,16.8,41.9,0,,,NE,37,16:25,26.2,57,,S,6,1016.3,40.7,12,,NE,11,1012.1
,2026-01-9,15.7,41.4,0,,,ENE,39,16:32,23.0,77,4,SSW,6,1014.2,39.5,12,,N,15,1007.0
,2026-01-10,16.4,42.4,0,,,NNW,46,12:31,32.7,27,,NNW,20,1005.3,41.0,16,,WNW,13,1001.6
,2026-01-11,19.8,20.8,0,,,SSE,35,23:09,19.9,66,8,SSE,13,1014.7,17.3,87,8,E,9,1017.0
,2026-01-12,16.8,21.8,2.8,,,NE,24,18:11,19.2,62,8,SSE,9,1019.7,18.9,92,8,ENE,11,1016.9
,2026-01-13,17.8,32.5,2.2,,,ENE,43,15:55,21.7,84,8,WNW,7,1012.7,31.5,37,,N,15,1008.9
,2026-01-14,18.8,28.6,0,,,NE,35,12:22,24.2,61,8,NE,22,1011.8,26.1,54,8,NE,20,1008.9
,2026-01-15,20.2,26.3,3.0,,,NE,33,17:28,23.2,75,8,N,11,1009.4,25.2,67,8,ENE,13,1004.8
,2026-01-16,17.2,29.8,2.6,,,SSW,41,18:39,22.4,64,6,SSW,13,1004.8,28.4,43,1,SSW,17,1003.2
,2026-01-17,19.0,22.5,15.0,,,SSE,44,10:26,19.1,99,8,SSE,22,1009.6,20.8,86,8,SSE,24,1010.4
,2026-01-18,17.5,23.8,140.2,,,SE,44,11:57,18.0,98,8,SSE,11,1014.5,21.2,74,8,SSE,22,1014.7
,2026-01-19,16.7,24.2,1.2,,,,,,18.3,90,8,SW,9,1015.7,21.2,77,8,ENE,9,1013.5
,2026-01-20,17.1,25.8,5.4,,,ESE,28,11:12,19.5,83,8,NW,9,1012.1,24.0,50,8,SE,15,1009.6
,2026-01-21,13.9,28.2,0,,,NE,31,15:36,20.3,64,,WNW,6,1008.1,27.2,38,,E,7,1003.9
,2026-01-22,15.1,27.8,0,,,SE,41,11:52,21.5,64,,SSE,9,1006.8,22.1,53,8,SSE,26,1009.2
,2026-01-23,16.5,24.2,0,,,ESE,28,14:42,19.6,60,8,SSW,7,1018.7,23.5,48,8,NE,11,1016.3
,2026-01-24,14.5,32.3,0,,,ENE,33,15:26,20.9,66,,N,6,1015.1,30.9,38,,N,13,1008.7
,2026-01-25,16.4,40.1,0,,,,,,22.3,82,,NNW,2,1008.9,38.5,28,,N,13,1004.3
,2026-01-26,18.9,28.4,0,,,SSE,37,15:26,23.6,58,,SSW,13,1013.1,24.0,60,8,SE,19,1012.9
,2026-01-27,16.6,29.8,0,,,NE,35,14:12,21.5,66,1,SSW,6,1015.3,28.6,44,,ENE,19,1012.0
,2026-01-28,13.7,34.5,0,,,ENE,28,16:59,20.6,76,,NNW,4,1013.4,31.6,34,,NNW,9,1010.5
,2026-01-29,20.2,31.2,0,,,,,,24.3,70,1,N,7,1018.8,30.2,48,1,NE,11,1016.3
,2026-01-30,18.2,33.1,0,,,,,,23.6,74,3,N,6,1017.7,31.7,37,,NE,17,1011.9
,2026-01-31,20.0,37.0,0,,,NE,30,14:02,24.2,76,,NNW,6,1009.0,36.4,35,,NE,15,1004.0
