"Daily Weather Observations for Camden, New South Wales for March 2026"
"Prepared at 16:00 UTC on Saturday  2 May 2026   IDCJDW2024.202603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-03-1,19.1,25.0,0,,,ENE,17,11:43,20.3,89,8,W,9,1017.5,23.5,70,8,SSW,7,1015.0
,2026-03-2,19.3,28.3,0,,,NNE,28,13:56,21.5,91,8, ,Calm,1013.7,27.3,57,5,N,15,1009.9
,2026-03-3,20.1,26.3,7.0,,,N,20,12:33,21.0,98,8,ENE,7,1011.8,25.9,72,8,NNE,11,1010.4
,2026-03-4,21.0,31.9,0,,,NNE,28,15:06,22.9,93,8, ,Calm,1012.9,30.9,53,,NNE,17,1009.9
,2026-03-5,20.0,30.7,1.0,,,N,22,12:19,23.0,97,8, ,Calm,1013.6,28.7,63,7,ENE,9,1010.7
,2026-03-6,20.2,31.9,0,,,E,26,15:34,24.5,86,5,SSE,7,1013.8,30.9,53,5,NE,9,1011.6
,2026-03-7,22.1,29.3,0,,,WNW,69,13:59,25.6,79,6,ESE,6,1012.1,22.5,78,8,WNW,39,1010.5
,2026-03-8,19.7,25.1,10.6,,,S,39,08:45,20.9,78,8,SSW,17,1014.4,23.4,65,8,SSE,22,1013.5
,2026-03-9,18.0,24.7,3.8,,,SSE,30,12:26,20.5,86,8,SSW,15,1013.9,22.7,71,8,SSE,13,1012.1
,2026-03-10,18.5,29.0,0.2,,,NE,28,16:18,22.1,78,8,SSW,7,1013.1,28.2,57,6,ENE,11,1011.0
,2026-03-11,16.2,33.2,0,,,NNE,28,14:59,18.9,100,8,E,2,1011.7,31.3,49,,NNE,17,1005.0
,2026-03-12,16.1,27.3,0,,,E,30,14:23,22.2,76,,SSE,11,1007.1,26.4,50,2,ESE,15,1007.3
,2026-03-13,17.3,23.9,0,,,SSE,35,14:30,18.5,68,8,S,11,1018.5,21.1,51,8,ESE,17,1020.6
,2026-03-14,12.9,26.5,0,,,NE,30,15:29,17.5,68,8,WSW,6,1028.6,24.9,37,,N,17,1025.3
,2026-03-15,11.4,29.0,0,,,NNW,30,10:03,17.3,94,, ,Calm,1025.1,27.4,42,,N,13,1020.1
,2026-03-16,13.9,30.9,0,,,ENE,26,16:04,18.9,99,, ,Calm,1019.9,30.8,39,,NNE,13,1015.1
,2026-03-17,17.1,30.2,0,,,SW,39,14:22,20.0,88,2, ,Calm,1015.5,29.1,38,5,SW,20,1015.4
,2026-03-18,19.9,24.9,0,,,S,20,10:13,21.4,76,8,SSW,9,1022.1,24.1,68,8,SE,7,1019.6
,2026-03-19,19.5,26.2,3.2,,,NNE,24,12:23,20.4,100,8, ,Calm,1018.1,21.7,100,8,SSE,9,1015.9
,2026-03-20,17.1,28.6,4.6,,,E,24,16:14,21.5,94,,SE,7,1018.6,25.3,60,8,SE,11,1017.2
,2026-03-21,16.3,29.5,0,,,SSE,39,14:12,20.3,100,,WNW,2,1020.0,24.8,65,8,SE,24,1018.1
,2026-03-22,15.3,28.1,1.8,,,SSE,28,12:02,20.8,100,, ,Calm,1022.3,24.1,66,3,ESE,9,1019.9
,2026-03-23,16.3,27.1,1.6,,,,,,19.9,99,8,SSW,9,1022.2,24.4,79,,WSW,9,1019.7
,2026-03-24,17.3,28.2,2.4,,,E,28,17:14,19.7,100,7,SSE,4,1020.6,26.9,49,8,NE,7,1017.1
,2026-03-25,14.1,29.9,0,,,NW,20,14:57,18.9,100,, ,Calm,1016.2,29.6,43,,N,7,1012.0
,2026-03-26,15.4,30.7,0.4,,,W,46,22:33,18.8,100,1, ,Calm,1011.1,28.7,40,8,NNE,9,1004.0
,2026-03-27,10.6,17.8,19.8,,,WSW,59,19:03,12.4,73,8,WNW,15,1003.6,14.0,76,8,W,20,1003.0
,2026-03-28,12.2,22.9,7.8,,,S,44,11:14,16.1,49,,SW,20,1015.3,21.8,38,5,SW,15,1015.0
,2026-03-29,9.0,25.4,0,,,,,,15.9,77,,WSW,7,1022.0,24.7,40,1,NNW,7,1019.8
,2026-03-30,11.7,25.6,0,,,SE,22,15:23,16.0,98,,SE,6,1025.2,24.4,49,,N,9,1022.5
,2026-03-31,10.8,26.2,0,,,,,,14.5,100,,SW,2,1026.1,25.9,46,1,NE,13,1022.3
