"Daily Weather Observations for Camden, New South Wales for April 2026"
"Prepared at 13:00 UTC on Thursday  7 May 2026   IDCJDW2024.202604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-04-1,12.0,28.2,0,,,ENE,28,17:56,17.1,98,, ,Calm,1024.4,27.1,38,,NE,9,1021.2
,2026-04-2,12.4,27.8,0,,,N,22,12:16,16.3,100,5,SSW,6,1024.5,26.9,40,,NE,11,1021.1
,2026-04-3,13.3,26.1,0,,,SSE,35,14:11,17.0,100,, ,Calm,1022.7,24.7,57,6,SE,19,1021.6
,2026-04-4,17.0,20.0,0.8,,,SSW,28,07:54,18.0,77,8,S,17,1026.4,18.7,69,7,SSE,13,1025.2
,2026-04-5,14.5,22.9,3.2,,,ENE,28,14:39,17.0,86,7,SSW,7,1027.0,20.0,67,8,E,13,1023.4
,2026-04-6,9.3,19.6,1.0,,,N,13,15:24,15.3,93,8, ,Calm,1021.3,19.2,75,8,N,4,1016.6
,2026-04-7,10.7,31.2,0.6,,,W,43,14:33,18.0,94,, ,Calm,1012.8,28.8,35,5,W,22,1008.4
,2026-04-8,13.0,28.3,0,,,SSW,22,12:18,21.6,72,, ,Calm,1016.0,27.7,38,,WSW,11,1013.8
,2026-04-9,14.0,30.4,0,,,N,19,14:32,21.3,75,,N,2,1017.6,30.0,36,,N,11,1013.1
,2026-04-10,14.7,30.9,0,,,NNW,39,15:47,22.8,73,,NW,9,1013.0,29.9,37,,NNW,22,1007.7
,2026-04-11,15.7,23.9,0,,,SW,43,11:48,20.2,37,,WSW,22,1009.3,22.9,29,,WSW,22,1006.9
,2026-04-12,4.4,20.4,0,,,W,57,10:28,16.1,42,3,WSW,26,1010.8,19.6,30,,WSW,24,1009.8
,2026-04-13,12.7,22.8,0,,,WSW,39,02:15,17.0,45,,WSW,19,1018.1,22.3,35,,SSW,13,1016.6
,2026-04-14,6.5,25.3,0,,,N,26,15:44,17.5,60,,SSE,9,1021.2,24.4,27,,NNE,11,1017.6
,2026-04-15,5.8,26.9,0,,,WSW,24,10:34,15.8,76,, ,Calm,1019.8,26.5,31,,NNW,6,1016.0
,2026-04-16,7.9,27.7,0,,,WNW,20,13:19,16.1,82,,S,6,1019.3,27.3,31,7,N,7,1013.5
,2026-04-17,6.6,29.0,0,,,S,35,18:21,14.0,80,, ,Calm,1013.8,28.7,24,8,SW,19,1009.3
,2026-04-18,5.4,22.5,0,,,ESE,26,14:58,14.5,57,,SSE,6,1019.5,20.5,36,,ESE,15,1017.0
,2026-04-19,4.4,22.6,0,,,ESE,24,16:25,14.4,68,,S,6,1022.8,22.0,33,,NE,9,1019.5
,2026-04-20,5.5,23.4,0,,,SE,26,15:21,15.7,73,,W,4,1025.4,21.2,40,,SSE,15,1023.4
,2026-04-21,12.7,21.3,0,,,S,33,16:41,17.4,65,8,SSW,17,1028.5,19.1,58,8,SSW,17,1026.0
,2026-04-22,12.7,23.0,0,,,SSE,31,12:52,18.9,61,7,S,13,1027.6,19.8,54,4,SE,15,1025.9
,2026-04-23,10.1,22.3,0,,,SE,26,14:56,17.3,69,8,SW,2,1029.7,21.5,41,4,SE,17,1028.9
,2026-04-24,7.0,24.4,0,,,NE,28,13:33,16.3,75,,SSW,2,1033.2,22.4,50,7,E,15,1030.5
,2026-04-25,8.7,25.6,0,,,N,30,13:02,17.4,81,,ESE,6,1031.8,24.9,43,2,NNE,15,1026.8
,2026-04-26,9.1,24.5,0,,,N,28,10:56,12.9,100,8,SE,6,1026.9,23.7,33,,N,11,1022.0
,2026-04-27,6.0,25.5,0,,,N,24,13:43,14.9,80,,ESE,7,1025.1,24.4,31,,NNE,13,1022.9
,2026-04-28,6.4,24.5,0,,,NE,33,13:20,14.1,99,5, ,Calm,1028.0,23.8,36,,NNE,17,1024.2
,2026-04-29,6.8,25.9,0,,,NE,26,16:08,14.9,86,,SSW,4,1029.3,25.2,38,3,NNE,9,1027.2
,2026-04-30,11.7,25.9,0,,,NNE,26,12:41,18.9,78,,SSE,6,1031.4,23.7,45,4,NE,9,1027.7
