"Daily Weather Observations for Cessnock, New South Wales for April 2025"
"Prepared at 13:00 UTC on Sunday 12 April 2026   IDCJDW2027.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,,22.9,,,,,,,,,,SSW,13,1014.5,22.0,60,,SW,13,1012.3
,2025-04-2,14.3,20.8,,,,N,17,14:48,16.4,78,,S,4,1011.3,20.4,61,,NNE,7,1008.4
,2025-04-3,12.4,26.6,0,,,NE,24,12:32,17.6,86,, ,Calm,1011.4,26.1,36,,N,13,1009.5
,2025-04-4,9.4,27.6,0,,,,,,16.1,90,,NNE,6,1016.1,26.5,43,,NE,9,1013.8
,2025-04-5,9.2,27.0,,,,,,,16.2,73,,N,11,1015.8,26.1,31,,NNW,13,1013.5
,2025-04-6,9.5,26.9,,,,NNW,41,12:15,18.7,69,,NNW,13,1019.2,26.4,29,,NNW,17,1014.0
,2025-04-7,7.7,27.4,0,,,NW,30,11:12,18.9,45,,NNW,15,1019.1,27.1,30,,WNW,11,1015.6
,2025-04-8,11.8,23.5,0,,,E,30,15:07,19.4,78,,S,7,1024.2,21.9,62,,ESE,17,1022.0
,2025-04-9,11.1,24.7,0,,,ESE,28,14:07,20.1,71,,E,7,1025.0,23.8,61,,E,17,1020.9
,2025-04-10,10.3,25.3,0,,,NNW,15,11:26,17.6,92,,NNW,7,1023.2,25.0,52,,ENE,6,1019.9
,2025-04-11,10.4,28.3,0,,,E,24,15:57,19.1,86,,N,9,1024.0,28.0,45,,ENE,11,1022.2
,2025-04-12,13.5,26.7,0,,,SE,33,13:30,22.4,75,,S,11,1029.9,23.9,59,,SE,20,1027.7
,2025-04-13,13.0,26.4,0,,,ESE,28,14:30,22.4,75,,SE,9,1029.3,24.8,66,,SE,19,1025.3
,2025-04-14,10.6,27.5,0,,,SSE,24,18:10,17.4,97,,NNW,9,1025.8,27.1,46,,ENE,4,1021.8
,2025-04-15,17.0,23.5,0.6,,,SSE,52,11:23,19.6,76,,S,9,1026.4,21.7,52,,SSE,26,1023.8
,2025-04-16,14.2,21.9,0.8,,,WSW,30,10:56,18.3,70,,SSW,9,1021.7,21.0,59,,SSW,11,1017.4
,2025-04-17,15.8,24.2,0,,,SSE,46,15:04,19.6,71,,SW,15,1015.8,23.2,54,,SSE,15,1013.4
,2025-04-18,11.6,25.5,0.2,,,SW,24,03:47,20.4,58,,NNW,9,1014.8,25.1,39,,W,6,1011.6
,2025-04-19,7.8,28.5,0,,,NW,26,09:40,19.6,70,,NNW,11,1013.6,28.0,31,,N,11,1010.2
,2025-04-20,7.7,29.8,0,,,NNW,28,13:29,19.7,63,,N,7,1014.2,29.4,33,,NNW,15,1010.2
,2025-04-21,12.3,27.5,0,,,NW,37,12:54,19.7,73,,NNW,17,1012.4,26.2,25,,W,19,1008.6
,2025-04-22,7.8,21.0,0.2,,,SW,24,11:08,18.3,67,,S,9,1015.2,18.6,89,,W,7,1013.2
,2025-04-23,15.4,24.3,10.8,,,ESE,41,12:41,19.9,88,,SSE,9,1021.0,23.4,59,,ESE,24,1019.6
,2025-04-24,13.8,24.9,4.0,,,SSE,30,14:12,21.6,75,,SSE,9,1023.0,22.9,62,,SE,17,1019.5
,2025-04-25,11.8,24.7,0,,,NE,26,12:40,19.9,80,,ESE,7,1020.1,22.3,70,,SE,15,1015.9
,2025-04-26,12.2,23.9,0.2,,,E,24,15:23,17.4,98,,ESE,4,1016.5,23.7,64,,E,13,1012.7
,2025-04-27,15.7,19.9,11.2,,,SW,31,11:43,16.8,93,,SSW,7,1010.3,16.6,94,,S,9,1006.8
,2025-04-28,16.1,23.2,69.4,,,S,35,06:52,19.9,77,,SSW,17,1013.4,21.0,77,,SSW,11,1013.7
,2025-04-29,11.1,24.6,0.8,,,SSE,39,17:44,17.5,87,,N,7,1017.8,23.8,60,,ESE,15,1014.9
,2025-04-30,14.0,20.3,7.6,,,SSW,37,12:48,16.7,83,,SSW,13,1020.8,18.7,62,,SSW,17,1020.3
