"Daily Weather Observations for Cessnock, New South Wales for May 2025"
"Prepared at 13:00 UTC on Saturday 11 April 2026   IDCJDW2027.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,12.4,19.6,0.4,,,SSE,39,12:20,15.0,70,,SSW,13,1026.8,18.7,53,,S,20,1025.5
,2025-05-2,12.2,20.1,1.2,,,S,28,11:27,16.5,75,,SSW,11,1031.8,19.0,66,,SSE,15,1030.2
,2025-05-3,10.9,22.1,0,,,ESE,31,14:24,18.1,81,, ,Calm,1034.3,20.4,59,,SSE,20,1032.3
,2025-05-4,7.8,22.0,0.2,,,ESE,20,11:35,11.8,98,,NE,7,1034.5,21.7,66,,ENE,7,1030.4
,2025-05-5,11.3,23.5,0,,,N,24,12:31,19.2,76,,SE,7,1030.5,22.5,62,,NNE,9,1025.8
,2025-05-6,9.3,25.0,0,,,N,20,12:38,14.3,98,,NNW,2,1025.0,24.4,54,,N,11,1020.9
,2025-05-7,9.4,25.4,0.2,,,NW,33,12:14,17.7,72,,NNW,11,1021.0,24.9,44,,NNW,13,1016.6
,2025-05-8,10.4,21.9,0,,,SE,35,13:18,19.3,51,,WSW,9,1023.9,17.0,89,,SSW,6,1024.9
,2025-05-9,9.0,18.6,0,,,SE,31,13:37,15.4,70,,WSW,6,1032.3,17.0,82,,SSE,7,1029.9
,2025-05-10,8.4,18.3,0.6,,,E,24,14:15,15.2,96,,SSW,9,1031.9,16.4,93,, ,Calm,1029.2
,2025-05-11,11.1,18.7,4.8,,,SSE,22,09:50,16.7,96,,S,7,1029.8,17.5,94,,SSE,9,1026.5
,2025-05-12,14.4,21.2,4.2,,,SE,20,12:23,17.8,90,,SSE,6,1027.2,19.4,81,,SE,11,1024.2
,2025-05-13,11.8,21.4,0.4,,,SE,17,13:31,16.3,98,, ,Calm,1026.2,20.5,75,,ESE,6,1023.2
,2025-05-14,12.2,22.8,0.2,,,NNW,17,13:41,16.1,98,,NNE,2,1022.2,22.7,64,,N,6,1018.7
,2025-05-15,13.0,19.4,0.6,,,SW,19,13:21,17.5,93,,SW,6,1020.8,17.1,93,,SW,7,1019.3
,2025-05-16,13.9,20.6,9.6,,,WSW,20,11:21,17.5,89,,SSE,2,1018.3,19.1,80,,WSW,13,1014.9
,2025-05-17,12.6,22.4,0.2,,,W,20,13:20,14.5,98,,NNE,7,1015.9,22.2,50,,SW,9,1013.5
,2025-05-18,11.2,16.8,0,,,SSW,37,19:08,16.3,76,,S,13,1020.7,14.5,76,,SSW,11,1021.3
,2025-05-19,11.6,15.8,49.2,,,SSW,35,20:12,12.0,92,,SSW,7,1025.9,13.7,94,,S,11,1025.6
,2025-05-20,11.7,18.0,45.4,,,SSE,43,11:20,15.8,86,,S,11,1027.4,15.5,93,,SSE,17,1025.7
,2025-05-21,14.5,18.0,22.2,,,SE,33,12:10,16.4,96,,S,7,1025.3,16.3,94,,S,11,1022.5
,2025-05-22,15.8,19.2,22.6,,,ESE,37,13:39,17.9,94,,SE,7,1018.1,18.5,93,,SE,13,1014.0
,2025-05-23,16.7,21.3,37.0,,,NW,35,21:17,17.6,96,,NNW,9,1015.3,20.7,67,,NNW,13,1011.0
,2025-05-24,11.6,20.6,0,,,NW,44,13:08,15.8,60,,NNW,17,1017.7,20.2,47,,NW,22,1014.2
,2025-05-25,6.0,19.0,0,,,NNW,31,10:29,12.4,96,,N,6,1020.3,17.9,52,,NNW,6,1018.3
,2025-05-26,6.7,15.6,0,,,NNE,20,18:42,11.3,85,,NNW,7,1020.3,13.7,88,,SW,6,1016.9
,2025-05-27,11.2,18.4,20.6,,,WNW,70,16:48,15.6,92,,NNW,9,1009.8,17.5,41,,NW,22,1007.9
,2025-05-28,9.5,19.2,0.4,,,,,,12.4,71,,NNW,20,1016.7,18.9,51,,NW,17,1013.1
,2025-05-29,7.2,16.0,0,,,ESE,20,12:58,11.8,77,,NNW,9,1020.2,14.5,82,,SSW,7,1019.4
,2025-05-30,7.1,20.3,0,,,ESE,28,14:22,14.0,87,,N,6,1024.6,18.5,63,,ESE,13,1023.4
,2025-05-31,5.6,19.8,0,,,SE,19,12:02,12.0,96,,NE,6,1028.6,18.0,61,,ESE,9,1026.4
