"Daily Weather Observations for Cessnock, New South Wales for June 2025"
"Prepared at 13:00 UTC on Friday 10 April 2026   IDCJDW2027.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,6.5,20.4,0,,,N,17,11:00,12.6,97,,NNE,6,1027.1,18.7,67,,ESE,9,1023.9
,2025-06-2,9.8,18.5,0,,,NNW,17,09:04,13.4,98,,NNW,7,1021.1,18.1,71,,NNE,7,1014.8
,2025-06-3,7.8,19.5,0.2,,,SSW,30,14:14,12.7,98,, ,Calm,1009.6,18.0,47,,S,11,1007.6
,2025-06-4,5.3,14.2,0,,,SSW,50,09:56,13.4,59,,SSW,17,1014.1,12.9,67,,SSW,9,1016.2
,2025-06-5,9.3,17.7,2.0,,,SSW,31,04:56,11.6,56,,SW,11,1023.5,16.9,49,,SW,11,1022.2
,2025-06-6,1.6,15.7,0,,,NW,28,13:22,9.1,97,,N,9,1022.7,14.2,62,,NNW,7,1017.5
,2025-06-7,5.9,19.3,0,,,NNW,50,14:16,13.5,62,,NNW,17,1013.0,18.6,45,,NW,24,1008.1
,2025-06-8,9.7,15.8,0,,,NW,61,13:54,13.0,59,,NW,30,1007.7,15.1,40,,NW,28,1004.6
,2025-06-9,4.8,12.6,0,,,NNW,65,10:07,8.8,66,,NW,28,1006.2,10.6,61,,NW,28,1002.9
,2025-06-10,8.6,17.2,0,,,NW,56,01:16,12.4,70,,NW,26,1008.9,15.5,56,,NW,24,1007.9
,2025-06-11,8.2,17.1,0,,,NW,37,07:01,10.9,73,,NW,19,1014.2,15.5,45,,W,19,1012.5
,2025-06-12,2.3,16.7,0,,,NNW,24,10:11,9.0,75,,NW,11,1019.2,15.1,49,,SW,9,1017.4
,2025-06-13,7.2,15.3,0,,,WSW,26,13:24,10.6,80,, ,Calm,1022.5,14.8,61,,SSW,6,1020.3
,2025-06-14,4.6,18.0,0,,,,,,12.9,71,,SW,9,1022.9,16.4,59,,SSW,6,1020.8
,2025-06-15,2.5,17.8,0,,,NNW,31,14:59,8.5,98,, ,Calm,1023.3,17.1,52,,NNW,19,1020.0
,2025-06-16,0.4,17.4,0,,,N,24,12:13,7.9,95,, ,Calm,1025.1,16.7,48,,NNW,11,1021.9
,2025-06-17,1.2,16.3,0.2,,,NNW,31,14:27,5.1,98,, ,Calm,1024.1,15.6,50,,NNW,20,1020.0
,2025-06-18,0.3,16.1,0,,,,,,9.3,71,,NW,13,1026.0,15.5,46,,NE,4,1024.4
,2025-06-19,-1.5,17.0,0,,,NW,13,09:48,5.6,98,,N,2,1028.5,16.2,54,,NE,9,1025.2
,2025-06-20,-1.1,17.5,0,,,NNE,17,13:28,5.7,97,,N,2,1030.0,17.3,47,,NNE,6,1027.8
,2025-06-21,-0.3,18.4,0,,,N,15,11:04,7.1,97,, ,Calm,1032.2,18.1,46,,N,11,1029.0
,2025-06-22,0.4,20.3,0,,,N,24,13:50,6.6,98,,NE,2,1030.3,19.6,50,,NNW,13,1025.3
,2025-06-23,1.7,22.2,0,,,NW,33,13:05,9.1,98,, ,Calm,1024.9,21.9,50,,NW,11,1019.7
,2025-06-24,3.7,19.2,0,,,,,,11.8,96,,E,4,1012.5,19.1,73,,NW,24,1009.3
,2025-06-25,10.0,17.0,5.6,,,NW,70,13:10,12.7,54,,NW,26,1011.8,16.2,42,,NW,30,1008.3
,2025-06-26,4.3,15.3,0.4,,,WSW,41,01:28,8.8,62,,N,11,1024.8,15.0,43,,WSW,6,1025.9
,2025-06-27,0.8,15.2,0,,,SSW,20,11:21,7.9,78,,N,9,1031.1,15.0,62,,SW,7,1028.6
,2025-06-28,7.9,15.8,0,,,SW,19,13:22,11.8,80,,NNW,9,1029.2,15.7,65,,S,6,1026.4
,2025-06-29,4.1,18.0,0,,,N,17,12:54,7.2,97,,N,7,1026.9,17.6,59,,N,9,1023.5
,2025-06-30,1.9,16.4,0,,,SW,22,23:14,7.1,98,,NE,2,1026.3,15.7,66,,SSE,15,1022.5
