"Daily Weather Observations for Cessnock, New South Wales for August 2025"
"Prepared at 13:00 UTC on Saturday  9 May 2026   IDCJDW2027.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,9.3,14.6,0.4,,,,,,12.0,72,,SW,9,1023.0,14.2,64,,S,15,1019.8
,2025-08-2,9.6,15.0,2.6,,,SSE,59,19:53,11.5,93,,S,9,1017.7,11.6,95,,SSE,13,1014.5
,2025-08-3,10.7,18.5,101.8,,,SSE,54,00:26,14.9,89,,SSE,22,1018.4,15.4,94,,SE,11,1018.7
,2025-08-4,9.9,19.4,9.2,,,SE,26,14:58,14.2,87,,SSW,7,1022.5,18.4,66,,SE,20,1019.6
,2025-08-5,7.5,20.2,0.4,,,NW,30,09:40,12.6,97,,NNW,13,1019.3,19.9,60,,NNW,13,1016.0
,2025-08-6,3.9,19.2,0,,,WNW,24,14:08,13.2,64,,W,6,1020.9,18.9,35,,NW,9,1018.9
,2025-08-7,3.2,14.4,1.6,,,S,30,15:13,9.8,98,, ,Calm,1027.6,13.4,86,,S,11,1027.3
,2025-08-8,7.9,16.9,2.4,,,SSE,28,12:44,13.5,74,,S,9,1031.8,16.0,63,,SSE,15,1029.8
,2025-08-9,9.3,17.7,0.4,,,E,43,14:08,14.3,81,,S,9,1031.6,14.2,92,,SSE,7,1028.0
,2025-08-10,8.9,17.1,9.4,,,SSE,31,14:24,13.9,85,,S,11,1028.5,14.6,78,,SE,13,1026.1
,2025-08-11,4.6,16.4,1.6,,,SSE,24,12:24,12.6,80,,SSE,6,1027.7,15.2,70,,SSE,7,1025.1
,2025-08-12,2.0,18.2,0.2,,,NNW,17,10:38,11.0,93,,NNW,6,1026.5,16.4,53,,W,7,1023.4
,2025-08-13,1.7,19.2,0.2,,,N,22,12:51,9.7,96,,NNE,6,1026.0,17.3,52,,N,6,1022.7
,2025-08-14,7.5,16.2,0,,,,,,13.1,73,,SSW,17,1025.4,15.2,68,,SW,13,1023.7
,2025-08-15,6.7,18.5,0.4,,,N,24,15:50,13.9,85,,NNW,9,1022.0,17.5,62,,ENE,7,1017.1
,2025-08-16,4.3,21.1,0,,,WSW,43,15:13,14.7,59,,NW,20,1013.8,16.2,54,,WSW,17,1010.4
,2025-08-17,3.8,16.3,0.4,,,,,,9.6,60,,NNW,13,1019.4,14.2,40,,N,6,1017.2
,2025-08-18,0.8,15.7,0,,,SE,39,13:53,10.9,55,,SW,11,1025.2,13.5,67,,SE,19,1025.7
,2025-08-19,4.0,16.1,2.0,,,E,26,14:16,11.9,84,,NNE,6,1030.8,12.8,86,,ESE,9,1028.8
,2025-08-20,5.2,15.1,2.6,,,E,33,15:00,12.1,95,,S,9,1030.5,14.4,76,,ESE,19,1027.2
,2025-08-21,11.5,13.6,19.6,,,NW,35,10:03,13.0,94,,SSE,7,1026.4,12.7,93,,SSE,9,1023.4
,2025-08-22,9.7,17.6,19.8,,,SW,22,14:03,12.5,96,,NNW,9,1023.5,16.9,76,,WSW,11,1018.7
,2025-08-23,10.4,21.2,0.8,,,NNW,33,07:46,14.4,75,,NNW,20,1018.7,20.7,47,,SW,11,1017.7
,2025-08-24,6.2,20.0,0.2,,,W,30,13:37,15.0,65,,NE,6,1022.0,19.2,40,,WSW,15,1017.5
,2025-08-25,9.4,21.3,0,,,NW,20,10:28,14.5,68,,NNW,13,1019.4,20.2,59,,ENE,9,1017.0
,2025-08-26,7.4,24.3,0,,,,,,12.1,98,,NW,2,1017.5,23.4,50,,NNE,15,1010.7
,2025-08-27,9.6,23.3,0,,,NW,59,10:42,21.0,55,,NW,24,1003.9,18.7,47,,WNW,30,1003.9
,2025-08-28,7.3,20.0,0,,,,,,14.2,57,,NNW,26,1008.2,19.6,31,,WNW,24,1006.9
,2025-08-29,9.0,20.2,0,,,NNW,56,13:24,14.9,49,,NNW,20,1011.1,19.1,33,,NW,24,1007.1
,2025-08-30,7.3,18.4,0,,,SW,61,01:05,12.6,49,,WNW,24,1008.5,18.3,36,,W,22,1013.4
,2025-08-31,5.6,18.7,0,,,NW,33,05:29,11.2,60,,N,11,1026.7,18.4,41,,N,15,1023.1
