"Daily Weather Observations for Cessnock, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  8 May 2026   IDCJDW2027.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,2.2,21.4,0,,,N,28,14:18,9.9,78,,NE,2,1024.4,20.3,34,,NNW,6,1019.7
,2025-09-2,3.6,21.1,0,,,NNE,20,14:36,13.6,77,,N,7,1024.5,20.7,40,,NNE,6,1020.0
,2025-09-3,3.3,20.7,0,,,NNE,28,13:51,13.7,64,,NNW,13,1023.2,20.3,37,,N,17,1019.0
,2025-09-4,2.9,23.4,0,,,NW,46,13:28,16.0,53,,NNW,13,1021.2,22.9,26,,W,15,1017.0
,2025-09-5,3.4,20.4,0,,,SSE,37,14:28,16.4,59,,NNE,7,1026.4,17.7,65,,SE,22,1026.1
,2025-09-6,6.0,21.4,0,,,NE,31,09:55,17.2,62,,E,6,1031.2,20.5,44,,NNE,9,1027.0
,2025-09-7,4.4,24.6,0,,,NNE,24,12:40,13.6,83,,ENE,4,1026.7,24.0,40,,NW,9,1021.4
,2025-09-8,7.6,26.6,0,,,NW,54,11:31,20.7,53,,N,20,1020.0,25.4,41,,NNW,24,1015.4
,2025-09-9,16.5,24.2,0,,,NNW,43,13:31,20.6,64,,NW,15,1016.4,22.8,59,,NNW,20,1012.4
,2025-09-10,14.9,19.0,25.4,,,NW,41,22:57,15.7,97,,E,9,1009.3,18.1,85,,SE,4,1003.5
,2025-09-11,10.5,16.4,8.8,,,,,,11.3,86,,WNW,15,1009.3,15.4,68,,WSW,11,1013.3
,2025-09-12,3.4,20.5,0.2,,,NW,33,14:56,13.5,77,,N,9,1023.4,20.4,43,,WNW,17,1020.6
,2025-09-13,3.8,21.3,0,,,NNW,28,14:51,14.1,74,,NE,7,1026.9,20.6,40,,NNW,19,1023.4
,2025-09-14,5.5,23.5,0,,,NW,43,12:53,15.6,78,,N,9,1025.7,23.0,36,,NW,20,1020.6
,2025-09-15,6.0,25.9,0,,,NW,50,12:47,18.4,47,,NNW,20,1022.2,25.6,37,,NW,20,1017.1
,2025-09-16,9.2,26.2,0,,,NNW,46,11:43,19.6,55,,NNW,22,1017.9,25.7,39,,NNW,24,1013.0
,2025-09-17,11.3,26.7,0,,,NNW,46,12:50,22.1,61,,NNE,11,1015.7,26.2,46,,NNW,20,1012.5
,2025-09-18,6.3,22.1,0,,,NE,22,13:31,16.3,50,,ESE,6,1024.8,21.8,41,,NNW,9,1021.0
,2025-09-19,6.2,25.7,0,,,NW,37,14:46,15.8,71,,N,7,1020.9,25.0,29,,NNW,22,1014.8
,2025-09-20,14.5,24.6,0.8,,,WNW,50,09:09,19.9,70,,NW,22,1008.6,22.7,30,,WSW,24,1008.3
,2025-09-21,3.2,21.6,0,,,NNW,41,16:32,14.5,57,,N,17,1018.0,21.4,36,,NNW,17,1013.7
,2025-09-22,9.7,23.3,0,,,SE,41,16:20,16.8,59,,NW,22,1018.7,21.4,44,,NNW,9,1015.8
,2025-09-23,7.6,18.3,5.0,,,SSW,30,08:38,12.6,51,,SSW,20,1026.1,17.7,37,,SSW,11,1022.9
,2025-09-24,3.0,25.4,0,,,NNW,41,14:58,15.0,62,,NNW,19,1020.3,23.6,36,,NNW,24,1014.0
,2025-09-25,7.2,25.8,0,,,NNW,41,09:22,16.5,58,,NNW,19,1018.3,25.6,24,,W,17,1013.2
,2025-09-26,13.7,27.8,0,,,NW,54,15:01,19.9,42,,NNW,22,1015.9,27.1,20,,NW,30,1011.9
,2025-09-27,12.2,25.9,0,,,,,,22.1,29,,NW,20,1016.0,24.9,31,,NNW,22,1012.9
,2025-09-28,8.4,29.8,0,,,NW,52,09:49,24.2,42,,NW,24,1013.1,29.7,28,,NNW,11,1009.5
,2025-09-29,9.9,23.6,0,,,ESE,24,15:44,20.4,67,,SSW,7,1018.8,23.1,57,,NE,13,1014.3
,2025-09-30,9.7,28.1,0,,,N,20,14:06,15.8,96,,NNE,2,1014.5,27.1,49,,N,13,1007.5
