"Daily Weather Observations for Cessnock, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2027.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,9.8,28.4,0,,,WNW,52,11:47,26.5,34,,WNW,15,1006.6,27.4,15,,NW,28,1005.8
,2025-10-2,3.9,25.9,0,,,NW,56,11:35,19.8,40,,NNW,17,1010.5,25.1,23,,W,26,1006.8
,2025-10-3,8.8,26.2,0,,,NW,41,12:10,17.5,40,,WNW,17,1017.6,26.0,20,,WSW,20,1013.5
,2025-10-4,5.0,24.1,0,,,ESE,30,15:13,19.7,49,,S,6,1024.6,23.0,55,,ESE,19,1021.8
,2025-10-5,6.6,30.1,0,,,NW,46,13:38,16.3,92,,N,13,1022.1,28.8,24,,NW,22,1016.0
,2025-10-6,14.3,34.1,0,,,W,65,12:39,22.6,39,,NNW,19,1012.7,33.2,13,,WNW,35,1008.4
,2025-10-7,15.7,21.7,2.4,,,,,,16.5,92,, ,Calm,1017.5,19.1,81,,NNE,6,1014.1
,2025-10-8,12.2,34.2,0.2,,,WNW,80,17:56,21.3,59,,NNE,4,1013.8,32.3,29,,NNW,19,1008.0
,2025-10-9,11.6,29.1,0.4,,,WNW,65,10:49,22.8,52,,NNW,9,1011.7,19.0,82,,NNW,24,1013.4
,2025-10-10,11.0,29.2,2.2,,,NW,54,12:15,20.7,71,,N,13,1015.4,28.5,32,,NW,28,1012.4
,2025-10-11,9.1,31.6,0,,,NW,44,12:26,21.9,46,,NNW,20,1013.8,30.9,12,,NNW,24,1009.6
,2025-10-12,5.4,31.8,0,,,NW,56,12:40,22.3,32,,NNW,17,1012.9,30.2,21,,W,26,1008.8
,2025-10-13,12.8,26.1,1.4,,,SE,41,15:39,17.4,74,,NNW,20,1017.1,25.6,25,,SW,13,1014.9
,2025-10-14,9.9,27.2,0,,,NNW,35,11:21,17.8,68,,NE,4,1020.3,25.9,39,,NW,15,1015.7
,2025-10-15,6.0,28.7,0,,,E,33,15:48,18.7,59,,NE,4,1022.4,27.8,22,,N,6,1018.3
,2025-10-16,9.4,32.5,0,,,NNW,37,15:37,19.7,78,,NE,2,1020.9,32.1,26,,NNW,17,1015.4
,2025-10-17,16.7,32.1,0,,,NW,54,08:15,25.2,51,,NW,30,1014.2,31.1,39,,NNW,19,1010.1
,2025-10-18,16.7,24.2,6.8,,,E,35,14:58,18.4,74,,ENE,2,1015.4,23.0,55,,E,19,1013.2
,2025-10-19,10.1,28.5,0,,,NE,26,08:37,20.2,69,,NE,11,1017.9,26.7,42,,E,7,1011.9
,2025-10-20,11.6,34.8,0,,,NW,43,11:21,22.6,63,,NNW,15,1012.3,33.9,31,,WNW,20,1007.4
,2025-10-21,16.1,28.2,0,,,SE,31,15:03,21.3,66,,SW,11,1015.3,27.1,47,,E,20,1011.0
,2025-10-22,16.8,37.9,0,,,NW,69,14:45,21.9,79,,NNE,7,1005.0,36.3,26,,NNW,33,998.1
,2025-10-23,16.3,24.3,0,,,SSE,39,09:55,21.4,39,,SSW,13,1013.6,23.3,50,,SE,20,1013.0
,2025-10-24,14.1,28.6,0,,,SE,41,14:58,20.0,66,,WNW,11,1013.6,28.1,33,,NNW,13,1009.8
,2025-10-25,10.5,23.2,0,,,NNW,24,13:10,17.5,76,, ,Calm,1017.7,21.6,46,,NW,15,1014.1
,2025-10-26,7.2,28.0,0,,,NW,39,10:47,19.1,60,,NNW,15,1008.6,26.2,34,,NW,20,1002.7
,2025-10-27,13.1,29.4,0,,,NW,48,11:10,24.0,45,,SW,15,1002.4,26.8,27,,SSW,17,1002.2
,2025-10-28,12.1,16.4,0,,,SSE,30,11:04,14.8,57,,SSE,15,1020.3,12.5,93,,S,2,1019.3
,2025-10-29,11.5,19.5,21.6,,,ESE,24,13:18,14.2,94,,SSE,6,1017.8,18.7,75,,SE,15,1015.1
,2025-10-30,10.3,24.6,0.2,,,ESE,28,14:58,17.5,77,,N,6,1017.0,23.4,47,,SE,11,1014.2
,2025-10-31,11.1,26.5,0,,,ENE,43,18:35,19.3,76,,NNE,6,1019.0,25.3,55,,E,15,1015.8
