"Daily Weather Observations for Cessnock, New South Wales for January 2026"
"Prepared at 13:00 UTC on Monday  4 May 2026   IDCJDW2027.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,12.1,25.3,0,,,SSE,39,10:55,21.3,69,,S,9,1013.5,20.9,72,,SSE,24,1013.8
,2026-01-2,15.3,24.0,5.0,,,SE,31,13:11,21.0,70,,SE,9,1017.7,22.8,62,,SE,20,1015.8
,2026-01-3,14.0,30.5,0,,,ENE,39,10:17,22.1,67,,ENE,13,1016.2,29.2,46,,SE,22,1011.1
,2026-01-4,18.5,34.9,4.0,,,S,54,15:39,22.6,76,,WNW,4,1012.0,33.5,37,,NNE,17,1005.7
,2026-01-5,14.8,31.5,8.2,,,E,35,14:29,23.0,69,,SW,4,1012.0,29.8,49,,E,20,1009.7
,2026-01-6,17.1,32.0,0.6,,,,,,23.6,70,,SSE,13,1017.0,31.1,40,,SE,13,1013.9
,2026-01-7,17.8,35.5,0.2,,,E,30,14:48,24.9,73,,E,4,1019.3,34.9,33,,E,13,1015.6
,2026-01-8,14.4,39.4,0,,,ESE,33,15:34,26.9,55,,N,11,1016.9,38.3,17,,S,6,1012.6
,2026-01-9,14.1,40.7,0,,,,,,25.3,63,,NNE,9,1013.8,40.0,18,,NNE,15,1007.9
,2026-01-10,17.7,39.6,0,,,NW,57,10:17,30.7,36,,NW,30,1008.3,38.3,23,,NNW,28,1003.9
,2026-01-11,21.3,23.4,0,,,SSE,35,14:32,22.4,66,,SE,15,1013.3,21.9,65,,SSE,19,1014.9
,2026-01-12,16.4,24.4,25.6,,,ESE,33,11:23,20.0,80,,SE,9,1018.1,21.8,77,,SE,19,1015.4
,2026-01-13,18.3,29.6,0.4,,,SE,35,17:31,24.3,77,,E,13,1011.6,28.0,56,,ESE,17,1009.1
,2026-01-14,19.8,26.7,0,,,ESE,33,16:13,24.0,69,,E,20,1011.4,22.2,81,,SE,11,1009.8
,2026-01-15,18.8,30.3,4.8,,,NNW,52,18:11,21.8,83,,E,9,1008.6,29.6,59,,SE,13,1003.6
,2026-01-16,19.2,26.9,28.8,,,SE,31,17:38,21.7,83,,S,7,1003.5,25.7,65,,SSE,11,1002.7
,2026-01-17,15.8,28.7,0,,,SSE,43,22:23,23.1,76,,SSW,11,1007.0,27.4,60,,SSE,13,1005.6
,2026-01-18,17.2,23.4,34.8,,,SE,41,14:06,20.7,87,,SE,15,1011.6,21.9,83,,SE,24,1012.1
,2026-01-19,16.7,26.5,4.6,,,SE,41,17:34,19.1,87,,SSE,17,1014.0,25.2,47,,SE,22,1011.9
,2026-01-20,15.0,26.3,0.2,,,SE,35,15:01,21.6,74,,S,9,1010.9,23.5,54,,SE,19,1008.5
,2026-01-21,14.3,28.5,0,,,E,31,15:37,21.6,64,,SSE,9,1007.5,27.5,44,,SSE,11,1004.0
,2026-01-22,15.4,31.1,0,,,SE,50,13:34,21.8,69,,NW,6,1005.6,26.5,60,,SE,31,1006.3
,2026-01-23,16.7,24.9,0,,,SE,31,15:30,20.2,62,,S,9,1017.6,24.1,54,,ESE,17,1015.4
,2026-01-24,14.6,32.1,0,,,E,35,15:45,21.0,72,,NNW,6,1014.5,30.8,46,,SE,11,1008.3
,2026-01-25,16.2,38.9,0,,,NNW,26,10:46,24.1,77,,N,11,1009.4,37.9,31,,WSW,7,1005.0
,2026-01-26,20.8,28.5,0,,,SE,43,15:02,24.0,65,,S,11,1012.4,25.4,63,,SE,26,1011.2
,2026-01-27,15.3,27.8,0,,,E,35,11:23,23.0,63,,SE,6,1014.8,26.8,52,,E,20,1012.1
,2026-01-28,12.8,32.2,0,,,ESE,26,13:24,21.8,73,,ESE,11,1013.3,31.8,43,,ESE,15,1010.1
,2026-01-29,19.1,29.9,0,,,ESE,35,15:38,23.8,64,,ESE,13,1018.7,28.8,50,,SE,20,1015.9
,2026-01-30,17.3,31.8,0,,,ESE,28,15:37,24.3,73,,ESE,11,1017.6,31.0,45,,NNE,11,1013.0
,2026-01-31,17.9,38.3,0,,,ESE,31,14:56,24.5,76,,NNE,9,1009.3,37.5,31,,ESE,9,1004.4
