"Daily Weather Observations for Cessnock, New South Wales for February 2026"
"Prepared at 13:00 UTC on Sunday  3 May 2026   IDCJDW2027.202602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-02-1,22.6,35.4,0,,,SSE,39,17:15,25.9,80,,NNE,7,1004.5,30.5,60,,SE,20,1003.4
,2026-02-2,17.5,21.0,9.2,,,,,,17.6,60,,S,19,1018.7,20.1,53,,SSE,24,1021.8
,2026-02-3,15.8,24.9,0,,,SSE,31,15:47,18.8,78,,S,13,1024.6,24.0,59,,ESE,15,1022.7
,2026-02-4,14.5,31.8,0,,,ESE,28,17:54,21.1,63,, ,Calm,1020.9,29.5,40,,NNE,11,1016.6
,2026-02-5,15.3,37.4,0,,,N,37,14:37,24.5,69,,NNE,7,1017.3,36.0,30,,N,13,1014.1
,2026-02-6,19.0,36.1,0,,,SW,65,15:45,25.2,69,,N,6,1019.9,34.2,42,,NE,11,1015.0
,2026-02-7,20.5,35.2,3.6,,,NW,33,23:24,24.7,73,,ESE,7,1018.0,34.7,36,,NE,13,1014.5
,2026-02-8,22.2,25.2,0.2,,,S,20,10:09,23.9,80,, ,Calm,1016.2,24.5,73,,S,7,1015.2
,2026-02-9,19.3,27.7,1.2,,,NNW,33,15:01,21.4,90,,WSW,9,1013.7,24.5,75,,NNW,17,1012.2
,2026-02-10,18.8,30.2,1.2,,,SSE,22,13:54,24.2,77,,S,6,1016.1,29.8,56,,SSE,9,1013.4
,2026-02-11,15.6,35.5,0,,,NNE,28,12:12,23.9,78,,N,11,1013.1,34.6,34,,ENE,11,1006.9
,2026-02-12,17.6,32.6,0,,,SE,39,15:23,29.3,46,,NNW,7,1001.0,26.5,71,,E,19,1003.5
,2026-02-13,16.8,21.9,0.6,,,SE,33,11:45,18.8,76,,S,7,1015.7,21.6,69,,SSE,13,1015.9
,2026-02-14,14.4,26.8,0,,,ESE,39,14:12,19.7,79,,SSE,7,1020.5,26.0,44,,SE,22,1018.2
,2026-02-15,17.7,27.2,0.4,,,ESE,43,13:09,20.8,75,,SE,7,1018.9,24.3,56,,SE,26,1015.9
,2026-02-16,13.8,25.6,0.8,,,ESE,35,13:31,21.2,76,,S,11,1016.8,23.9,58,,ESE,17,1014.7
,2026-02-17,11.6,31.0,0,,,ESE,35,16:49,21.8,72,,SSE,6,1013.8,29.7,33,,NNE,9,1008.8
,2026-02-18,13.7,37.9,0,,,NNW,46,08:43,26.8,46,,NNW,20,1008.1,36.4,28,,NW,15,1005.2
,2026-02-19,20.2,32.6,1.8,,,SE,35,14:23,25.7,76,,SSW,7,1013.8,32.0,54,,E,20,1011.9
,2026-02-20,22.9,30.0,0,,,ESE,31,02:37,23.6,73,,ESE,11,1017.5,28.7,60,,E,13,1014.0
,2026-02-21,20.9,37.1,0,,,SSW,46,13:33,27.5,60,,NNW,13,1011.5,27.6,69,,NNW,11,1007.7
,2026-02-22,17.9,35.5,10.6,,,NNE,37,16:41,24.1,84,,NNW,6,1011.2,34.1,35,,NNE,11,1006.3
,2026-02-23,21.5,31.9,0.6,,,SE,35,17:04,29.2,45,,NW,13,1009.7,30.2,62,,SE,13,1011.6
,2026-02-24,18.0,34.5,0,,,SE,37,17:17,24.9,76,,SE,9,1017.2,33.8,30,,NE,24,1013.4
,2026-02-25,17.2,35.4,0,,,SE,35,14:33,23.8,75,,NNE,7,1014.2,34.2,38,,S,13,1011.2
,2026-02-26,20.2,30.8,0,,,,,,22.7,85,,S,9,1017.2,28.8,47,,ESE,26,1015.2
,2026-02-27,17.9,28.6,0.2,,,,,,22.8,77,,S,11,1016.6,26.1,69,,ESE,19,1015.7
,2026-02-28,19.8,27.8,0,,,SE,37,12:18,23.7,67,,SE,15,1018.2,27.0,50,,SE,20,1015.8
