"Daily Weather Observations for Cessnock, New South Wales for May 2026"
"Prepared at 00:36 UTC on Monday 11 May 2026   IDCJDW2027.202605"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-05-1,8.1,25.0,0,,,ESE,28,14:22,16.5,92,,S,6,1029.9,23.3,53,,ESE,15,1026.0
,2026-05-2,12.1,25.9,0,,,E,35,12:41,21.4,70,,E,9,1025.7,24.5,52,,E,17,1021.7
,2026-05-3,11.4,26.9,0,,,ENE,22,16:06,19.8,72,,E,2,1022.7,25.8,39,,N,7,1018.3
,2026-05-4,8.8,25.4,0,,,NW,28,11:36,18.5,81,,E,7,1018.0,22.5,57,,NNW,4,1015.0
,2026-05-5,13.0,23.0,5.8,,,NNW,30,15:11,17.0,62,,S,9,1019.6,21.8,46,,NNW,15,1016.8
,2026-05-6,5.4,24.2,0,,,E,20,12:15,14.0,80,,NNE,7,1020.7,23.4,44,,NE,11,1016.0
,2026-05-7,7.9,18.7,0,,,W,52,13:38,15.0,64,,NW,24,1015.9,17.4,21,,W,22,1015.2
,2026-05-8,6.3,22.0,0,,,NNW,39,07:30,11.3,53,,NNW,26,1020.2,21.3,31,,WNW,19,1016.0
,2026-05-9,3.5,22.9,0,,,ESE,20,16:13,14.8,61,,N,11,1025.5,22.0,34,,ESE,7,1022.5
,2026-05-10,3.9,23.7,0,,,ENE,24,14:00,13.8,81,,NNE,9,1028.8,21.5,55,,SE,15,1027.1
,2026-05-11,8.0,,2.2,,,,,,17.2,95,,W,6,1032.8,,,,,,
