"Daily Weather Observations for Mount Boyce, New South Wales for March 2025"
"Prepared at 13:00 UTC on Monday 13 April 2026   IDCJDW2087.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,15.4,31.1,0,,,,,,21.0,58,,N,9,,30.3,28,,WNW,9,
,2025-03-2,19.8,28.9,0,,,W,28,10:37,22.1,55,,W,9,,24.9,69,8,E,13,
,2025-03-3,13.1,19.7,0.6,,,ESE,28,04:37,13.4,99,8,E,11,,18.9,77,8,E,9,
,2025-03-4,13.3,18.3,7.6,,,ESE,39,08:42,14.6,99,8,E,9,,16.1,92,8,ESE,13,
,2025-03-5,12.5,21.3,13.8,,,E,39,06:18,13.8,99,8,E,9,,20.1,65,5,E,11,
,2025-03-6,12.0,18.8,0.6,,,ESE,41,12:59,14.7,99,7,E,9,,16.4,95,8,E,9,
,2025-03-7,12.4,15.6,8.4,,,ESE,50,02:28,13.3,99,7,E,13,,15.2,99,7,E,13,
,2025-03-8,11.9,16.8,8.2,,,E,35,19:58,14.0,99,8,E,11,,16.2,99,7,ENE,13,
,2025-03-9,12.9,19.5,16.0,,,ENE,28,04:39,14.8,99,7,ENE,9,,18.4,81,8,ENE,6,
,2025-03-10,14.6,19.5,2.2,,,NE,22,23:31,15.6,99,8,ENE,7,,16.9,99,8,E,6,
,2025-03-11,15.3,18.8,2.6,,,E,26,16:42,16.3,100,7,E,6,,17.2,99,8,SE,7,
,2025-03-12,13.2,19.8,18.6,,,E,24,23:23,15.1,99,8,E,2,,18.1,86,8,ENE,7,
,2025-03-13,13.7,26.4,0,,,N,17,00:25,15.6,98,,W,9,,25.5,52,8,ENE,7,
,2025-03-14,15.6,28.6,0,,,WSW,28,11:43,19.7,74,,WNW,9,,25.6,42,8,S,6,
,2025-03-15,19.2,31.5,0,,,W,37,12:16,21.6,53,,W,13,,29.9,28,,W,15,
,2025-03-16,20.7,28.0,0,,,W,57,22:23,21.1,54,2,W,19,,26.4,35,,WNW,22,
,2025-03-17,8.8,17.8,0,,,WSW,54,02:34,10.2,60,,S,7,,17.5,39,,E,9,
,2025-03-18,6.7,17.4,0,,,NE,30,09:44,11.6,79,7,ENE,9,,15.5,73,8,ENE,9,
,2025-03-19,11.3,25.4,0,,,ENE,24,16:48,15.8,83,1,ENE,11,,24.3,61,3,ENE,9,
,2025-03-20,15.6,25.8,0,,,NNE,24,21:50,18.3,76,1,W,13,,24.2,48,8,NNW,6,
,2025-03-21,14.2,22.4,4.2,,,W,35,07:00,14.8,99,8,W,13,,20.2,84,4,W,19,
,2025-03-22,14.8,23.6,1.2,,,ENE,24,16:01,16.2,94,8,WNW,2,,23.1,66,8,ENE,9,
,2025-03-23,15.1,17.3,9.8,,,E,24,00:16,15.6,99,8,E,6,,16.5,99,7,E,9,
,2025-03-24,14.0,21.9,4.4,,,ENE,20,14:08,15.6,99,8,NE,4,,20.8,72,8,ENE,11,
,2025-03-25,14.3,19.1,0.4,,,ESE,22,13:33,15.2,99,7,E,7,,17.5,86,8,E,11,
,2025-03-26,12.9,21.5,3.0,,,ENE,41,06:37,14.9,99,7,ENE,7,,21.0,63,1,ENE,11,
,2025-03-27,10.8,18.7,0,,,ENE,31,21:26,14.6,99,8,ENE,7,,16.2,99,8,ENE,11,
,2025-03-28,13.0,18.1,6.0,,,ENE,33,20:23,14.0,99,8,ENE,11,,16.8,79,8,ENE,13,
,2025-03-29,12.4,15.9,21.2,,,WSW,50,22:32,13.8,99,8,ESE,2,,15.5,99,7,SSW,7,
,2025-03-30,12.4,16.6,8.2,,,SW,50,00:11,14.0,96,7,SSW,20,,16.1,96,8,S,13,
,2025-03-31,11.8,16.1,5.4,,,SSW,43,23:38,12.1,97,7,SSW,17,,15.3,79,8,SSW,17,
