"Daily Weather Observations for Mount Boyce, New South Wales for August 2025"
"Prepared at 13:00 UTC on Saturday  9 May 2026   IDCJDW2087.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,2.1,5.4,1.8,,,ESE,33,21:13,3.6,99,8,SSE,9,,4.7,98,7,SE,11,
,2025-08-2,3.4,7.0,18.0,,,ESE,59,22:05,4.8,99,8,E,19,,6.1,99,8,SE,20,
,2025-08-3,4.7,8.9,38.8,,,ESE,57,00:44,6.6,99,7,ESE,17,,8.6,99,7,SE,13,
,2025-08-4,6.6,13.2,9.6,,,E,26,01:59,8.0,96,8,E,7,,10.5,92,8,E,2,
,2025-08-5,4.3,12.1,1.6,,,W,46,13:11,6.3,99,,W,24,,11.0,75,8,W,22,
,2025-08-6,2.1,10.1,0,,,W,39,13:05,3.4,83,,WSW,19,,10.0,55,,W,20,
,2025-08-7,3.2,8.7,0.2,,,ESE,24,09:18,5.1,99,8,E,9,,7.3,93,8,E,2,
,2025-08-8,4.4,7.1,1.0,,,ENE,22,12:58,4.9,99,8,E,9,,6.5,95,8,E,7,
,2025-08-9,3.7,8.0,3.0,,,SE,33,15:58,5.8,99,8,ESE,11,,6.9,99,7,ESE,11,
,2025-08-10,4.5,8.5,10.8,,,ESE,26,04:01,5.5,99,7,ESE,9,,6.7,95,8,ESE,9,
,2025-08-11,3.4,9.2,2.4,,,S,20,04:44,4.6,99,7,SSE,9,,7.8,82,8,E,4,
,2025-08-12,1.1,12.0,0.4,,,W,15,11:47,3.8,99,5, ,Calm,,11.6,42,,ENE,2,
,2025-08-13,3.0,10.1,0,,,W,19,11:50,6.0,84,3,W,6,,9.2,69,8,WNW,2,
,2025-08-14,3.1,9.0,1.4,,,SSW,28,04:35,4.9,76,2,SSW,11,,7.0,85,8,S,11,
,2025-08-15,4.1,12.9,2.0,,,W,37,22:48,8.4,99,1,NE,6,,11.3,65,3,W,17,
,2025-08-16,4.0,9.0,0,,,W,63,13:43,5.5,85,6,W,24,,7.2,62,3,WSW,31,
,2025-08-17,-1.1,8.6,0,,,SW,43,00:13,1.6,75,,WSW,19,,7.7,46,1,W,20,
,2025-08-18,-0.3,9.7,0,,,SE,26,21:22,2.9,73,,SSW,11,,6.6,73,8,E,9,
,2025-08-19,2.0,9.4,1.8,,,ESE,30,07:52,5.9,96,8,ESE,6,,8.5,89,7,ENE,9,
,2025-08-20,4.2,6.9,10.4,,,E,35,18:57,5.2,99,8,E,9,,5.5,99,7,E,11,
,2025-08-21,5.1,8.5,64.2,,,ENE,41,07:21,6.9,99,7,ENE,15,,5.9,99,8,NNW,7,
,2025-08-22,4.9,11.6,28.0,,,WSW,22,21:39,6.7,99,8,W,7,,10.8,89,8,ENE,6,
,2025-08-23,5.1,13.8,0.8,,,WSW,35,09:32,7.5,85,,WSW,22,,11.8,59,6,SW,15,
,2025-08-24,3.9,12.9,0,,,SW,31,17:30,5.8,70,,SW,13,,12.3,49,1,WSW,19,
,2025-08-25,5.0,17.6,0,,,WSW,28,00:19,8.8,89,7,SW,15,,17.6,57,4,NNW,6,
,2025-08-26,8.6,18.8,0,,,W,56,23:20,12.3,70,,W,11,,18.3,44,,WNW,15,
,2025-08-27,10.1,10.1,0,,,W,76,12:11,10.1,75,8,W,33,,6.9,76,8,W,37,
,2025-08-28,2.7,9.0,2.0,,,W,94,23:47,4.6,72,3,WSW,33,,7.8,55,8,W,37,
,2025-08-29,4.4,10.8,0,,,WSW,96,00:40,5.6,72,7,W,43,,9.8,53,7,W,35,
,2025-08-30,-0.1,6.7,2.2,,,WSW,76,08:33,1.8,86,7,WSW,39,,5.8,69,8,WSW,37,
,2025-08-31,-0.3,13.6,0,,,W,31,13:22,5.8,61,,W,7,,13.1,44,1,WSW,17,
