"Daily Weather Observations for Mount Boyce, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2087.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,9.3,18.8,12.0,,,WSW,37,07:45,10.7,99,8,WSW,17,,13.6,97,7,NW,6,
,2025-11-2,9.3,22.9,5.4,,,ENE,22,19:13,13.0,99,8,ENE,6,,21.9,64,,ENE,9,
,2025-11-3,12.9,28.4,0.2,,,WSW,72,21:53,22.9,52,,N,11,,25.0,38,8,WNW,17,
,2025-11-4,6.9,12.6,0.2,,,WSW,76,11:26,10.1,66,4,W,28,,9.0,56,7,W,24,
,2025-11-5,4.5,17.1,0.8,,,WSW,70,23:09,7.3,69,2,WSW,35,,15.8,41,,W,24,
,2025-11-6,6.6,23.4,0,,,W,28,12:57,12.2,52,,WSW,7,,22.6,22,,WSW,9,
,2025-11-7,11.7,24.6,0,,,SW,35,13:02,18.7,37,8,WNW,9,,22.2,24,8,WSW,15,
,2025-11-8,16.8,26.5,0,,,WSW,65,17:26,20.5,60,,WNW,17,,25.1,35,5,W,26,
,2025-11-9,4.8,18.2,0,,,W,48,03:01,8.1,70,,WSW,28,,15.9,43,8,WSW,15,
,2025-11-10,5.2,20.2,0,,,WSW,33,17:31,10.8,70,,W,7,,17.7,32,6,WSW,15,
,2025-11-11,8.0,18.2,0.2,,,WSW,80,12:44,11.5,48,,W,22,,15.5,29,8,WSW,43,
,2025-11-12,2.1,18.6,0,,,WSW,41,13:30,7.2,36,,W,13,,16.5,25,,WSW,20,
,2025-11-13,7.0,21.6,0,,,W,52,13:44,13.6,33,,W,19,,20.2,16,3,W,26,
,2025-11-14,11.2,25.8,0,,,WSW,46,12:54,17.4,25,8,NE,4,,23.4,20,6,WSW,17,
,2025-11-15,11.2,27.3,0,,,W,48,14:19,14.7,75,8,WSW,15,,24.2,32,8,NW,9,
,2025-11-16,13.5,22.1,1.0,,,WSW,67,14:53,15.1,55,,W,35,,21.0,28,,WSW,33,
,2025-11-17,7.8,15.7,0,,,W,78,07:08,9.7,51,,WSW,31,,14.3,32,2,WSW,35,
,2025-11-18,6.1,24.3,0,,,SW,43,15:33,11.5,64,,W,15,,23.2,29,,W,17,
,2025-11-19,11.4,26.9,0,,,WSW,44,13:38,16.6,45,,W,4,,25.3,19,,WSW,20,
,2025-11-20,16.4,26.3,0,,,WSW,52,12:09,21.6,31,7,W,9,,25.7,21,8,WNW,17,
,2025-11-21,10.1,13.0,2.4,,,E,30,16:39,11.0,99,8,ESE,7,,11.8,98,7,E,11,
,2025-11-22,9.8,15.9,9.6,,,ENE,24,00:43,12.9,100,8,ENE,9,,14.3,99,7,ENE,9,
,2025-11-23,12.7,24.3,14.2,,,WSW,65,13:26,15.7,92,6,W,22,,22.2,41,5,WSW,31,
,2025-11-24,11.2,25.3,0,,,ENE,24,15:37,15.4,83,,WSW,6,,24.5,57,5,E,9,
,2025-11-25,12.1,28.9,0,,,W,72,11:37,22.9,47,,WNW,13,,25.9,38,1,W,33,
,2025-11-26,17.2,25.1,0,,,WSW,93,16:00,21.2,60,,WNW,17,,17.8,94,8,W,31,
,2025-11-27,13.5,21.4,8.0,,,WSW,70,12:53,16.1,40,,W,31,,20.3,29,,WSW,31,
,2025-11-28,10.4,24.8,0,,,SW,56,08:51,15.2,48,,W,19,,23.5,26,,WSW,22,
,2025-11-29,12.7,21.0,1.6,,,WSW,87,13:28,13.0,96,8,W,35,,13.3,67,8,WSW,44,
,2025-11-30,8.5,17.2,0.6,,,WSW,76,15:30,13.1,62,6,W,19,,14.7,42,8,WSW,41,
