"Daily Weather Observations for Mount Boyce, New South Wales for April 2026"
"Prepared at 13:00 UTC on Thursday  7 May 2026   IDCJDW2087.202604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-04-1,10.2,22.7,0.2,,,,,,14.2,75,,NE,9,,21.6,36,,SW,11,
,2026-04-2,,23.0,0.2,,,,,,14.5,76,,NE,9,,22.5,51,1,ESE,7,
,2026-04-3,13.2,23.0,0,,,SE,24,12:13,16.8,55,1,W,2,,21.7,64,8,E,9,
,2026-04-4,11.7,13.4,4.6,,,E,26,17:23,12.1,99,8,E,9,,12.1,99,7,E,11,
,2026-04-5,9.5,15.9,8.4,,,E,24,05:14,10.7,99,8,ENE,9,,14.8,79,1,ENE,6,
,2026-04-6,7.5,16.6,2.2,,,WSW,37,23:05,11.1,92,8, ,Calm,,15.8,76,8,W,13,
,2026-04-7,11.0,22.0,0.2,,,W,63,11:41,15.5,73,,W,17,,20.3,52,5,WSW,26,
,2026-04-8,10.9,21.3,0,,,W,30,14:19,15.2,64,,W,2,,20.4,38,,W,17,
,2026-04-9,13.0,24.0,0,,,WNW,33,14:10,17.4,52,,W,19,,23.0,43,,W,20,
,2026-04-10,14.4,21.7,0,,,WSW,50,10:47,16.9,68,5,W,20,,20.8,55,4,W,26,
,2026-04-11,8.5,14.4,0,,,WSW,63,08:58,10.4,63,,WSW,35,,13.4,44,,W,28,
,2026-04-12,4.0,10.6,0,,,WSW,76,17:02,6.4,64,2,WSW,39,,9.6,54,3,WSW,39,
,2026-04-13,4.7,16.4,0,,,WSW,39,01:50,7.8,71,,W,19,,16.2,50,,W,11,
,2026-04-14,4.8,18.7,0,,,WSW,26,20:56,9.6,72,,W,7,,18.1,33,,W,11,
,2026-04-15,8.3,20.0,0,,,W,31,09:56,11.5,74,,W,17,,19.1,42,,W,13,
,2026-04-16,8.3,19.3,0,,,W,41,14:24,12.6,64,,W,13,,17.4,38,6,W,22,
,2026-04-17,10.7,19.1,0,,,WSW,57,13:11,12.3,57,,W,30,,18.4,40,1,W,30,
,2026-04-18,3.3,18.0,0,,,S,30,13:19,7.5,51,,W,11,,17.8,23,,SSW,7,
,2026-04-19,4.0,18.7,0,,,WSW,17,13:03,9.6,77,, ,Calm,,16.1,52,,E,9,
,2026-04-20,5.3,17.2,0,,,SE,22,22:55,11.5,71,,NE,4,,15.8,43,,SE,7,
,2026-04-21,7.2,15.4,0.2,,,ESE,26,11:01,10.5,82,8,ESE,11,,12.4,72,8,SSE,9,
,2026-04-22,7.4,15.9,0.4,,,ESE,26,04:18,12.8,70,8,E,7,,12.9,65,8,E,4,
,2026-04-23,6.2,14.7,0.2,,,ESE,24,11:21,10.5,76,8,E,6,,14.0,62,6,ENE,7,
,2026-04-24,6.7,17.3,0,,,ENE,22,10:11,11.9,77,8,ENE,9,,16.4,57,2,ENE,9,
,2026-04-25,9.2,19.5,0,,,NE,20,09:59,14.7,73,1,NE,7,,18.0,58,1,NE,11,
,2026-04-26,7.7,18.9,0.2,,,NE,19,00:15,12.7,81,,NE,9,,18.7,44,,NNE,4,
,2026-04-27,8.1,18.9,0,,,NE,17,08:19,14.5,57,,NE,7,,17.9,46,,ENE,6,
,2026-04-28,6.7,19.2,0,,,NNE,20,09:11,11.0,84,6,NE,9,,18.5,41,,ENE,4,
,2026-04-29,9.2,19.4,0.4,,,E,24,15:35,16.3,54,,NE,2,,18.0,54,,E,9,
,2026-04-30,10.1,18.7,0,,,ENE,20,08:44,13.8,88,8,ENE,9,,17.4,59,3,E,7,
