"Daily Weather Observations for Nowra, New South Wales for April 2025"
"Prepared at 13:00 UTC on Sunday 12 April 2026   IDCJDW2101.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,15.7,21.6,0,,,S,48,14:50,17.7,64,4,SSW,22,1015.7,20.3,64,8,SSE,26,1013.8
,2025-04-2,11.7,24.2,0,,,E,24,14:42,14.6,81,7,WNW,13,1011.8,23.2,45,1,E,9,1007.4
,2025-04-3,11.4,24.6,0,,,SSE,26,15:02,15.7,88,,NW,15,1010.2,24.3,40,1,SE,19,1009.6
,2025-04-4,12.7,24.0,0.2,,,E,26,13:52,17.7,87,8,W,9,1016.6,22.6,55,6,E,20,1014.4
,2025-04-5,13.0,23.6,0,,,WNW,41,03:23,17.9,46,,WNW,11,1013.7,20.8,55,,SE,26,1014.5
,2025-04-6,9.6,23.1,0,,,WNW,54,16:08,18.1,35,,NW,22,1016.5,20.5,27,8,NW,17,1012.8
,2025-04-7,14.0,25.8,0,,,SW,46,10:39,20.0,47,,W,20,1017.1,21.8,48,1,SE,24,1016.4
,2025-04-8,12.3,21.8,0,,,SE,24,11:35,17.6,73,7,NW,6,1025.2,20.0,55,2,E,17,1022.9
,2025-04-9,12.0,23.8,0,,,NE,39,16:16,17.2,82,8,NW,7,1025.0,22.9,65,2,ENE,17,1020.3
,2025-04-10,12.2,26.2,0,,,ENE,20,14:00,19.7,77,8,NW,11,1021.9,24.6,53,8,NE,9,1018.8
,2025-04-11,15.4,28.1,0,,,S,31,15:41,23.7,55,,NW,17,1022.4,25.8,33,,SE,17,1023.7
,2025-04-12,17.2,24.3,0,,,SSW,28,00:05,20.3,78,8,SSW,13,1031.5,23.0,68,6,SE,11,1029.1
,2025-04-13,14.1,26.6,0.2,,,E,26,14:37,20.2,81,1,NW,15,1029.7,24.8,61,,ENE,20,1024.9
,2025-04-14,15.4,26.5,0,,,SSE,57,12:15,21.5,63,,NW,22,1023.7,22.6,61,1,S,31,1024.4
,2025-04-15,15.4,21.6,3.4,,,SSW,33,10:16,17.2,80,8,S,17,1028.7,19.5,52,8,SSE,20,1026.1
,2025-04-16,13.2,21.4,0,,,SSW,30,09:53,17.7,59,8,SSW,17,1023.4,21.0,55,1,SE,20,1018.9
,2025-04-17,12.6,22.8,0,,,,,,19.6,68,,SSW,22,1017.4,21.7,59,1,SSE,20,1015.2
,2025-04-18,12.6,24.4,,,,WNW,24,07:01,18.2,76,,NW,13,1014.8,23.7,49,,ENE,7,1011.7
,2025-04-19,12.5,30.7,0,,,NW,33,09:19,21.0,47,,NW,26,1011.7,29.7,26,,NE,9,1008.5
,2025-04-20,15.8,29.2,0,,,,,,22.7,41,,NW,19,1012.3,26.0,33,,ENE,17,1008.7
,2025-04-21,14.2,26.3,,,,S,43,18:44,21.4,65,2,WSW,17,1010.9,22.0,67,6,SSE,20,1009.9
,2025-04-22,13.5,22.0,17.2,,,SSE,54,12:47,19.1,80,8,SSW,33,1015.9,19.0,100,8,SSE,28,1015.5
,2025-04-23,16.3,20.0,52.8,,,,,,17.1,100,,WSW,7,1023.8,18.5,100,,S,13,1022.4
,2025-04-24,13.6,23.7,,,,,,,19.1,95,1,NW,6,1024.4,22.4,66,3,ENE,17,1020.6
,2025-04-25,13.0,24.9,,,,,,,17.1,99,,NW,13,1019.9,23.9,63,2,ENE,17,1015.8
,2025-04-26,13.0,22.7,,,,,,,18.2,98,,W,11,1016.2,22.0,73,3,E,9,1013.1
,2025-04-27,15.4,20.1,,,,S,39,15:33,17.9,100,8,S,13,1013.5,18.4,100,8,SSW,19,1011.0
,2025-04-28,15.7,21.9,17.2,,,,,,18.5,86,4,S,26,1015.9,19.0,86,8,SSW,20,1015.0
,2025-04-29,13.8,19.6,,,,SSW,43,23:22,16.4,93,,WNW,11,1017.6,18.7,80,7,S,19,1016.8
,2025-04-30,13.0,17.3,3.6,,,SSW,46,15:09,14.3,88,8,SSW,26,1023.2,15.7,72,8,SSW,26,1023.1
