"Daily Weather Observations for Nowra, New South Wales for June 2025"
"Prepared at 13:00 UTC on Friday 10 April 2026   IDCJDW2101.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,7.4,20.3,0.2,,,WNW,26,08:34,11.8,92,,NW,20,1026.4,19.8,53,,NNE,11,1022.6
,2025-06-2,9.0,18.0,0.2,,,NW,26,05:15,13.9,68,,NW,13,1019.4,17.7,61,8,NW,17,1013.6
,2025-06-3,7.6,18.9,0,,,S,35,12:54,12.7,72,,WNW,17,1010.8,18.0,43,,SSW,19,1008.6
,2025-06-4,9.4,15.0,0,,,SSW,61,08:40,11.1,56,8,SSW,33,1016.3,14.0,45,7,SSW,30,1017.6
,2025-06-5,5.1,16.3,0,,,SW,28,11:14,9.4,64,,NW,19,1024.7,15.5,45,,SSE,11,1022.5
,2025-06-6,5.9,18.1,0,,,WNW,31,17:24,11.2,50,8,NNW,17,1020.3,16.1,45,5,NNW,7,1014.8
,2025-06-7,10.7,17.3,0,,,W,67,13:02,14.6,53,4,NNW,15,1009.1,14.1,51,5,W,26,1006.1
,2025-06-8,6.2,15.2,0,,,WNW,72,10:06,11.8,53,,WNW,41,1002.7,13.6,41,3,WNW,28,1001.9
,2025-06-9,7.7,12.9,0,,,WNW,67,00:05,9.3,62,8,WNW,33,1000.3,10.9,63,8,WNW,35,998.7
,2025-06-10,8.3,16.6,0.2,,,W,44,17:44,12.8,55,,WNW,28,1006.9,15.4,49,,WNW,26,1006.7
,2025-06-11,7.9,16.8,0,,,W,37,10:52,11.1,58,,WNW,22,1012.6,16.4,39,6,WSW,19,1011.6
,2025-06-12,5.8,16.0,0,,,WNW,28,08:49,9.2,67,,WNW,20,1019.1,14.7,51,,SSE,15,1017.8
,2025-06-13,5.5,13.5,0.4,,,SSW,31,18:39,8.3,85,8,WNW,13,1023.2,13.1,65,4,SSW,17,1022.0
,2025-06-14,6.9,15.8,3.8,,,W,20,08:41,10.1,95,8,W,15,1023.9,14.9,69,8,SSW,11,1021.6
,2025-06-15,6.4,17.7,0,,,W,39,15:30,9.9,99,8,NW,7,1022.4,16.1,48,7,W,22,1020.1
,2025-06-16,5.9,15.8,0,,,NW,31,08:56,8.7,78,,NW,24,1023.7,15.5,45,,NNW,15,1020.4
,2025-06-17,2.2,16.6,0,,,W,59,12:16,11.1,64,,NNW,11,1021.0,15.9,41,,WNW,31,1018.1
,2025-06-18,6.9,16.0,0,,,NW,33,08:50,9.5,64,,NW,22,1025.7,15.7,40,,NW,9,1024.2
,2025-06-19,4.2,17.7,0,,,WNW,30,09:02,7.5,74,,WNW,22,1027.2,15.6,45,0,WNW,11,1024.1
,2025-06-20,4.3,17.2,0,,,WNW,24,01:00,8.4,74,,WNW,20,1029.7,16.5,48,,ESE,6,1027.9
,2025-06-21,4.0,19.1,0.2,,,WNW,28,04:55,7.3,81,,NW,15,1030.9,18.1,38,,NNE,13,1027.8
,2025-06-22,0.4,20.9,0,,,NNW,30,09:35,10.0,47,,NNW,13,1028.3,19.8,33,,NNW,9,1024.5
,2025-06-23,6.4,23.2,0,,,NNW,31,13:34,13.7,64,,NNW,13,1021.9,22.0,42,7,WNW,20,1016.9
,2025-06-24,7.2,20.7,1.4,,,NW,87,23:51,12.8,99,8,NNW,9,1009.0,19.3,32,,NW,30,1004.8
,2025-06-25,10.4,14.8,0.2,,,NW,89,03:00,12.2,52,,WNW,52,1004.2,14.1,49,1,W,43,1003.4
,2025-06-26,5.5,14.5,0,,,S,43,11:31,8.6,57,,NW,19,1024.8,13.9,38,,S,11,1026.5
,2025-06-27,4.3,15.8,0,,,SE,26,15:36,10.0,64,2,WNW,13,1031.5,14.6,55,,SE,17,1029.3
,2025-06-28,5.1,17.1,0,,,WNW,22,05:06,8.9,78,,WNW,17,1029.4,16.8,51,4,N,9,1025.5
,2025-06-29,5.6,17.6,0,,,WSW,31,11:46,10.0,81,,WNW,17,1025.2,14.5,68,5,SE,15,1023.7
,2025-06-30,4.8,15.3,0.2,,,SSW,35,22:17,8.9,83,3,WNW,17,1027.0,13.4,64,8,SSW,13,1024.6
