"Daily Weather Observations for Nowra, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  8 May 2026   IDCJDW2101.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,7.7,18.9,0,,,WNW,31,07:13,13.3,57,,NW,17,1023.8,17.7,46,,SSE,15,1020.8
,2025-09-2,7.3,19.9,0,,,NW,31,23:18,14.6,73,,WNW,11,1024.0,19.2,52,1,NE,22,1018.7
,2025-09-3,8.5,20.8,0,,,WNW,50,02:32,14.2,49,1,NW,13,1020.7,19.3,40,2,N,9,1016.5
,2025-09-4,6.6,23.2,0,,,W,80,16:03,17.6,40,,NNE,15,1016.8,21.9,27,,WNW,43,1014.3
,2025-09-5,6.2,16.9,0,,,SE,37,10:27,14.4,63,1,S,20,1027.7,14.8,47,,SSE,22,1027.9
,2025-09-6,5.9,21.7,0,,,NE,37,15:48,15.1,52,,NW,9,1031.0,20.6,48,,NE,24,1025.3
,2025-09-7,8.4,26.2,0,,,NE,30,14:03,19.0,50,,NW,15,1023.8,25.0,44,,NE,20,1018.0
,2025-09-8,11.9,26.9,0,,,WNW,63,16:39,19.1,49,,NW,13,1016.3,26.0,33,5,WNW,28,1012.1
,2025-09-9,12.6,26.5,0,,,WNW,56,03:04,21.9,35,,NNW,11,1013.9,26.0,23,,W,30,1009.6
,2025-09-10,12.7,13.4,0.2,,,SSE,31,10:59,12.7,100,8,SSE,17,1010.9,11.3,100,8,SSW,20,1006.6
,2025-09-11,9.7,16.5,94.2,,,SSW,59,09:01,12.5,87,8,SSW,41,1010.1,15.5,53,3,S,17,1014.1
,2025-09-12,7.0,19.4,0,,,ESE,30,14:20,13.3,67,,NNW,13,1023.0,16.9,46,5,ESE,17,1020.5
,2025-09-13,7.3,20.6,0,,,NW,26,02:52,14.3,64,,NNW,15,1026.2,18.8,39,,SE,20,1023.6
,2025-09-14,7.2,23.1,0,,,WNW,39,11:36,15.7,61,,NW,19,1024.1,22.5,33,,WNW,26,1018.9
,2025-09-15,12.1,25.7,0,,,W,48,09:53,20.6,36,,W,26,1018.7,25.4,23,,WNW,24,1014.6
,2025-09-16,16.2,29.3,0,,,NW,59,11:49,22.6,38,,NNW,19,1012.5,27.9,27,3,NW,26,1008.0
,2025-09-17,14.2,21.8,0.4,,,WNW,63,08:44,17.2,37,,WNW,31,1014.7,20.7,31,,WNW,30,1014.0
,2025-09-18,10.3,16.9,0.2,,,WNW,22,00:05,11.2,100,7,NW,9,1025.4,15.2,73,7,SSE,11,1021.5
,2025-09-19,6.4,23.9,0.4,,,NW,35,12:21,16.7,48,,NW,17,1018.4,23.5,31,,NW,15,1012.9
,2025-09-20,15.9,19.5,0,,,WNW,63,08:08,17.9,46,8,W,28,1007.3,18.8,34,,WNW,35,1007.7
,2025-09-21,10.5,21.0,0,,,WNW,56,18:32,15.9,43,,WNW,28,1015.6,20.2,36,,WNW,26,1012.2
,2025-09-22,13.7,19.1,0,,,W,44,03:29,15.5,57,4,W,22,1017.3,12.9,63,8,SSE,31,1019.2
,2025-09-23,5.1,18.1,4.2,,,SSW,46,10:00,13.4,48,,WSW,13,1026.1,17.5,41,,E,13,1022.5
,2025-09-24,7.7,22.8,0,,,WNW,46,09:23,16.7,49,,NW,22,1016.9,21.8,34,,W,28,1014.2
,2025-09-25,10.8,23.2,0,,,WNW,70,15:40,17.5,45,,WNW,46,1014.2,22.8,29,,W,43,1010.3
,2025-09-26,11.4,27.5,0,,,W,70,12:32,18.7,43,,NNW,17,1011.6,26.7,20,,W,43,1008.6
,2025-09-27,11.2,29.9,0,,,NW,56,12:49,21.0,33,,NW,11,1012.6,29.3,12,,WNW,26,1008.6
,2025-09-28,13.1,24.4,0,,,S,48,04:29,18.8,62,1,N,11,1013.9,16.5,84,8,S,24,1014.1
,2025-09-29,12.8,20.4,0,,,SSW,28,01:31,15.1,80,8,SSE,9,1020.5,18.7,73,8,E,17,1016.3
,2025-09-30,9.9,26.0,0,,,WNW,43,23:59,20.2,63,,NW,2,1011.9,24.8,65,2,NE,20,1004.9
