"Daily Weather Observations for Nowra, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2101.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,8.8,22.8,0,,,WNW,63,14:15,18.9,44,1,NNW,15,1005.1,21.9,29,6,WNW,30,1001.7
,2025-12-2,10.1,21.5,0,,,SSW,50,08:37,16.8,38,,SSW,24,1010.5,19.6,44,4,SSE,24,1012.1
,2025-12-3,10.8,27.2,0,,,ESE,37,14:12,18.1,56,,N,11,1018.5,26.6,40,,E,26,1014.7
,2025-12-4,12.2,33.2,0,,,ENE,46,15:52,25.5,30,,NW,24,1016.7,31.9,27,,ENE,30,1011.6
,2025-12-5,15.2,37.7,0,,,W,41,10:01,29.9,19,7,NW,24,1012.0,34.0,23,,ENE,20,1008.9
,2025-12-6,17.8,39.5,0,,,NNW,57,11:47,30.0,26,2,NW,20,1006.4,37.7,9,8,WNW,31,1000.0
,2025-12-7,16.5,22.0,0,,,W,50,01:23,17.3,76,8,SSE,19,1010.8,21.1,52,8,ESE,19,1011.7
,2025-12-8,14.0,29.6,0,,,E,41,13:58,20.1,63,6,N,17,1013.8,26.9,53,,E,30,1008.3
,2025-12-9,15.2,34.4,0,,,S,48,16:30,26.7,28,,NW,13,1012.4,28.7,36,,SSE,30,1012.4
,2025-12-10,16.7,25.4,0,,,SE,33,16:21,19.9,61,8,SSE,11,1021.0,24.0,56,4,E,17,1016.8
,2025-12-11,16.9,22.1,0.8,,,S,39,13:44,18.3,84,8,SSE,19,1021.4,19.3,76,8,SSE,22,1020.9
,2025-12-12,16.3,23.9,1.8,,,NNE,35,14:23,17.4,100,8,S,13,1018.8,20.7,82,8,NNE,20,1016.5
,2025-12-13,14.1,27.8,9.0,,,WNW,41,18:11,21.5,68,,NW,9,1011.6,22.7,74,8,SSE,17,1007.5
,2025-12-14,16.7,29.9,3.8,,,S,65,17:41,23.4,61,,WNW,30,1004.1,28.6,39,1,W,28,1001.5
,2025-12-15,16.1,22.1,0,,,ESE,35,11:44,19.7,65,8,ENE,13,1013.6,18.9,64,8,ESE,19,1014.6
,2025-12-16,15.1,21.7,0,,,SSE,30,21:02,17.4,88,8,SSE,9,1022.0,18.8,81,8,ENE,17,1022.1
,2025-12-17,11.8,28.8,0.2,,,NE,39,12:36,21.4,64,,NNE,15,1023.0,27.9,52,,ENE,26,1017.9
,2025-12-18,15.6,34.6,0,,,E,30,15:21,25.1,68,,N,9,1016.1,33.9,45,,E,15,1009.9
,2025-12-19,16.8,40.0,0,,,W,35,09:41,31.2,35,,NW,13,1009.1,31.6,40,,SE,19,1006.7
,2025-12-20,20.3,36.8,3.8,,,WSW,59,21:24,22.3,100,,NNW,15,1008.2,32.9,43,2,SE,15,1003.4
,2025-12-21,18.8,31.1,8.0,,,NW,48,21:56,22.5,100,7,WNW,4,1004.8,30.7,49,,W,15,1001.5
,2025-12-22,21.2,27.7,0.4,,,WNW,44,01:02,24.8,38,,W,22,1004.9,22.7,69,8,E,20,1006.6
,2025-12-23,14.9,29.0,0,,,,,,24.3,42,,WNW,20,1007.1,23.8,58,1,SSE,28,1009.7
,2025-12-24,13.0,33.7,0,,,,,,23.6,37,,WNW,31,1009.6,33.1,14,,NW,28,1005.1
,2025-12-25,16.6,22.0,0,,,SE,37,12:51,17.8,68,8,SE,17,1011.9,18.6,49,8,SE,20,1010.8
,2025-12-26,10.2,20.6,1.0,,,SE,48,11:55,14.6,53,7,S,19,1015.3,18.5,44,2,SSE,30,1015.3
,2025-12-27,11.4,21.8,1.0,,,SE,39,13:36,15.7,55,,SSW,13,1018.0,20.4,33,,SE,28,1015.3
,2025-12-28,13.3,23.0,0,,,S,39,10:02,17.0,52,8,S,20,1020.4,20.2,41,8,SSE,20,1020.6
,2025-12-29,10.5,24.0,0,,,ENE,39,15:08,18.3,54,8,NW,7,1021.4,22.1,44,,ENE,20,1018.1
,2025-12-30,10.6,25.1,0,,,NE,33,10:53,18.6,58,,NNE,9,1014.6,23.1,49,,ENE,20,1010.1
,2025-12-31,14.0,25.8,0,,,SE,35,15:51,19.1,85,8,S,13,1011.4,24.5,55,1,NE,17,1008.7
