"Daily Weather Observations for Nowra, New South Wales for January 2026"
"Prepared at 13:00 UTC on Monday  4 May 2026   IDCJDW2101.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,14.9,21.0,2.0,,,S,41,01:59,17.6,81,8,S,17,1015.7,19.6,47,8,SE,24,1016.2
,2026-01-2,11.3,22.4,0,,,,,,19.3,60,,SE,13,1018.6,20.5,70,8,SE,19,1017.0
,2026-01-3,16.3,27.5,0,,,E,43,12:49,21.2,82,3,E,9,1015.8,26.7,55,,ENE,28,1010.8
,2026-01-4,17.6,30.3,13.4,,,SW,44,12:55,23.6,76,,NNW,13,1010.0,19.8,100,8,WNW,19,1010.8
,2026-01-5,15.0,26.8,9.4,,,ESE,35,13:46,21.4,96,8,SSW,13,1013.2,24.7,67,7,ESE,19,1010.6
,2026-01-6,16.4,27.1,10.0,,,,,,20.5,99,8,WNW,7,1017.2,26.1,66,,NE,20,1014.1
,2026-01-7,18.0,33.5,0,,,,,,25.0,68,,NNW,11,1017.7,32.6,47,,E,20,1014.1
,2026-01-8,17.9,37.6,0,,,NNW,33,10:15,31.6,34,,NNW,15,1014.4,36.3,31,,E,20,1011.3
,2026-01-9,18.9,33.3,0,,,E,24,11:24,25.4,70,,N,7,1012.7,31.9,52,,ESE,13,1006.2
,2026-01-10,20.3,40.7,0,,,WNW,63,13:58,32.5,25,,NNW,24,1002.7,39.1,19,,WNW,35,1000.6
,2026-01-11,18.6,19.5,0,,,,,,18.7,69,8,SE,22,1014.7,18.5,62,8,SE,20,1017.0
,2026-01-12,12.5,22.8,0,,,,,,19.2,61,8,SSE,11,1019.7,20.4,62,8,E,17,1016.9
,2026-01-13,17.4,28.5,0,,,E,35,13:51,22.5,73,1,N,7,1011.8,27.1,59,1,ENE,26,1009.5
,2026-01-14,17.0,26.4,0.2,,,NE,46,12:56,23.4,68,8,N,13,1011.2,25.0,65,8,NE,30,1008.7
,2026-01-15,19.1,24.7,2.6,,,,,,20.3,100,8,NE,9,1008.9,23.5,88,8,NE,26,1004.6
,2026-01-16,17.1,26.1,22.2,,,SSW,56,15:52,21.8,86,3,S,15,1004.5,23.7,80,8,S,26,1005.0
,2026-01-17,17.2,19.6,15.2,,,,,,18.4,100,8,SE,28,1012.5,17.4,100,7,SE,24,1013.1
,2026-01-18,16.6,20.6,37.0,,,,,,17.4,100,8,SE,20,1016.0,19.1,100,8,ESE,19,1016.1
,2026-01-19,15.8,22.1,13.6,,,E,35,12:25,17.2,100,8,SSW,17,1016.0,19.4,98,8,ESE,20,1014.3
,2026-01-20,14.1,25.1,2.6,,,ESE,37,14:04,21.2,74,,SE,11,1011.8,23.9,53,5,SE,22,1009.9
,2026-01-21,14.3,25.1,0.2,,,ENE,35,19:08,19.1,74,2,S,11,1007.8,24.3,57,3,E,11,1004.6
,2026-01-22,15.1,22.6,0,,,SSE,43,08:35,19.3,92,8,S,17,1007.5,22.0,49,5,SSE,24,1010.0
,2026-01-23,13.7,23.1,0.2,,,ESE,31,15:06,17.6,66,8,S,11,1018.7,21.9,50,8,E,13,1016.7
,2026-01-24,12.7,28.7,0,,,E,39,14:38,20.1,71,5,N,9,1013.6,26.5,57,,ENE,28,1008.8
,2026-01-25,17.0,41.0,0,,,,,,25.6,63,,NNW,17,1006.8,39.4,12,1,WSW,20,1003.6
,2026-01-26,18.8,24.4,0,,,,,,22.2,65,8,SSW,20,1013.3,21.5,71,8,SE,22,1013.9
,2026-01-27,14.2,27.0,0,,,ENE,39,15:10,21.6,59,,NNW,9,1014.9,25.8,54,,NE,24,1011.5
,2026-01-28,15.2,30.2,0,,,ESE,26,15:49,22.8,64,,NNW,13,1011.0,29.9,53,,ESE,17,1010.0
,2026-01-29,18.5,26.5,0,,,ESE,26,12:54,21.6,100,8, ,Calm,1019.0,26.1,64,8,SE,15,1017.2
,2026-01-30,19.1,30.7,0,,,ESE,28,16:55,22.8,86,8,NE,11,1017.1,30.1,55,,ENE,15,1010.2
,2026-01-31,19.7,30.8,0,,,SW,31,17:50,25.1,75,,NE,2,1008.6,29.9,63,,E,19,1003.9
