"Daily Weather Observations for Nowra, New South Wales for April 2026"
"Prepared at 13:00 UTC on Thursday  7 May 2026   IDCJDW2101.202604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-04-1,12.0,28.4,0.2,,,ENE,26,15:06,19.4,84,,NNW,7,1023.2,28.4,35,,NNW,6,1020.4
,2026-04-2,13.9,28.4,0,,,ENE,26,13:47,18.5,95,,NW,17,1023.1,27.4,51,,ENE,19,1020.3
,2026-04-3,16.5,22.7,0.2,,,SSE,39,13:55,19.5,96,8,SSW,19,1023.2,20.9,80,8,SSE,26,1023.1
,2026-04-4,14.5,18.3,1.4,,,SSW,30,10:28,14.8,100,8,SSE,9,1027.4,16.8,,7,SSW,20,1026.2
,2026-04-5,13.7,21.5,4.4,,,S,30,12:08,18.3,77,3,S,11,1027.1,19.3,61,8,SE,17,1024.0
,2026-04-6,11.4,20.4,0,,,W,20,02:39,18.5,100,6,W,9,1020.3,18.2,83,8,NNE,9,1015.9
,2026-04-7,11.8,29.5,0.4,,,WSW,43,12:22,19.3,74,8,NW,11,1011.8,29.4,36,,WSW,24,1008.3
,2026-04-8,17.1,26.1,0,,,ESE,28,14:19,22.0,78,7, ,Calm,1016.3,22.2,80,8,ESE,19,1014.9
,2026-04-9,15.3,31.6,0,,,W,37,13:29,23.1,56,,NW,13,1016.7,31.2,32,1,NW,11,1012.3
,2026-04-10,17.3,28.3,0,,,NW,70,10:36,23.3,57,,NNW,20,1010.1,27.0,45,,NW,24,1007.0
,2026-04-11,14.7,21.9,0,,,W,56,10:30,18.9,42,,WSW,20,1009.1,20.3,28,,WNW,30,1006.8
,2026-04-12,10.4,19.5,0,,,WNW,56,14:26,15.8,46,,W,33,1008.5,19.4,33,,W,28,1008.9
,2026-04-13,11.2,23.6,0,,,W,35,00:17,16.1,52,,W,28,1017.8,22.5,35,3,NW,15,1015.3
,2026-04-14,11.9,24.3,0,,,,,,17.1,61,,NW,17,1020.9,22.7,39,,NNE,20,1017.4
,2026-04-15,10.2,24.0,0,,,WNW,28,06:34,18.6,60,,WNW,19,1019.1,22.4,44,,SE,15,1016.8
,2026-04-16,11.6,26.9,0,,,NW,35,09:44,18.7,57,,NNW,20,1017.9,26.3,29,,W,22,1013.1
,2026-04-17,14.1,27.3,0,,,SSE,41,16:39,19.1,49,7,NW,19,1012.4,20.1,72,8,SSE,20,1011.0
,2026-04-18,8.1,18.9,0,,,ESE,30,13:03,14.1,55,,NW,13,1019.4,18.2,43,,ENE,11,1017.8
,2026-04-19,6.1,19.8,0,,,SE,28,14:11,14.6,62,,NNW,11,1022.9,18.3,48,,SE,19,1020.7
,2026-04-20,9.4,21.3,0,,,SSE,28,11:10,16.2,68,,WNW,9,1025.6,20.5,42,,S,15,1024.2
,2026-04-21,11.6,19.4,0.2,,,SSW,33,10:44,16.2,77,8,SW,17,1028.7,18.3,73,7,S,22,1026.7
,2026-04-22,13.1,21.5,0.6,,,SE,28,12:11,17.4,73,7,SSW,11,1027.8,20.8,50,8,SE,20,1026.3
,2026-04-23,10.5,21.1,0,,,ESE,22,12:53,16.1,75,8,NW,11,1029.9,19.8,48,8,ESE,11,1029.4
,2026-04-24,10.6,23.1,0,,,NE,30,15:17,18.5,59,,WNW,13,1033.1,21.6,53,,NE,19,1030.4
,2026-04-25,11.7,25.0,0,,,WNW,28,08:48,18.7,69,,WNW,20,1030.9,23.3,66,,ENE,17,1026.2
,2026-04-26,10.3,25.6,0,,,NE,30,16:34,18.5,72,,NW,17,1025.1,25.1,44,,NNE,11,1020.7
,2026-04-27,10.6,25.5,0,,,ENE,22,14:20,19.4,58,,WNW,11,1024.4,22.7,53,,ENE,17,1023.0
,2026-04-28,10.1,24.0,0.2,,,N,26,12:03,17.5,74,,NW,13,1027.3,23.1,50,,E,17,1023.9
,2026-04-29,9.9,23.7,0.2,,,ESE,22,13:20,16.2,73,,NW,13,1028.9,22.4,60,,ESE,17,1027.8
,2026-04-30,13.0,25.1,0,,,N,30,10:21,19.2,76,,W,9,1031.4,22.8,61,,ENE,20,1028.0
