"Daily Weather Observations for Richmond, New South Wales for June 2025"
"Prepared at 13:00 UTC on Friday 10 April 2026   IDCJDW2119.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,5.5,20.3,0,,,NE,22,13:27,8.4,98,8, ,Calm,1027.8,20.0,58,,NE,15,1023.5
,2025-06-2,6.6,17.8,0,,,W,13,16:15,8.9,98,8, ,Calm,1021.0,17.1,76,8,SE,6,1014.7
,2025-06-3,8.2,20.0,0.2,,,SSE,26,13:40,10.5,99,8,NE,4,1010.4,19.6,36,,SE,11,1008.1
,2025-06-4,7.8,15.7,0.6,,,S,44,14:11,10.2,81,8,SSW,17,1016.6,14.9,47,8,S,26,1017.1
,2025-06-5,5.3,17.9,1.6,,,SW,31,10:08,11.7,67,3, ,Calm,1024.5,17.1,43,,S,9,1022.6
,2025-06-6,0.7,15.6,0,,,N,19,23:58,5.7,91,5, ,Calm,1022.4,14.2,70,8, ,Calm,1015.9
,2025-06-7,5.7,21.3,0,,,NW,63,12:48,15.6,58,1,N,22,1011.2,19.2,30,,WNW,31,1006.4
,2025-06-8,8.6,16.9,0,,,WNW,61,11:15,14.0,48,,WNW,20,1006.6,15.0,41,,W,26,1004.3
,2025-06-9,3.6,15.7,0,,,WNW,50,12:52,11.1,53,,N,15,1003.4,13.0,47,8,WNW,24,1001.0
,2025-06-10,7.9,18.6,0,,,W,41,08:33,15.6,47,,W,20,1008.1,17.8,39,1,SW,22,1007.5
,2025-06-11,0.5,17.9,0,,,W,30,11:59,8.2,80,, ,Calm,1014.0,17.1,38,,SW,17,1012.4
,2025-06-12,0.8,17.2,0,,,S,20,12:25,5.3,90,,N,2,1019.5,15.7,45,6,S,9,1018.0
,2025-06-13,4.5,17.6,0,,,SSE,41,16:36,6.3,96,8,N,6,1023.1,15.4,53,8,SW,19,1021.2
,2025-06-14,2.8,18.9,0,,,S,20,11:44,9.9,82,, ,Calm,1023.9,17.2,55,6,SSE,11,1021.3
,2025-06-15,4.0,20.0,0,,,W,39,15:33,8.2,96,8,N,2,1023.6,18.3,46,8,NNW,6,1019.7
,2025-06-16,0.6,17.4,0,,,NNE,17,13:25,4.3,94,4,N,6,1025.4,17.0,48,,E,11,1021.3
,2025-06-17,0.0,19.9,0,,,NW,37,13:26,6.8,89,,SW,2,1023.4,18.8,36,,NW,19,1018.7
,2025-06-18,-0.3,16.9,0,,,ESE,15,01:08,6.2,83,, ,Calm,1026.6,16.6,34,,N,4,1024.3
,2025-06-19,-0.7,17.8,0,,,ENE,19,12:39,5.0,88,,NNE,2,1028.7,17.6,51,,ENE,11,1024.8
,2025-06-20,-0.8,18.1,0.2,,,NE,11,10:53,4.6,93,, ,Calm,1030.5,17.0,47,,NE,2,1028.0
,2025-06-21,-0.1,18.4,0,,,SW,13,15:13,4.6,92,, ,Calm,1032.5,17.9,54,,SW,6,1028.5
,2025-06-22,-0.5,17.4,0.2,,,S,13,12:59,3.9,98,1, ,Calm,1030.1,17.1,43,, ,Calm,1025.5
,2025-06-23,0.4,22.9,0,,,N,35,13:31,6.3,85,, ,Calm,1024.2,22.3,48,,N,24,1018.3
,2025-06-24,6.2,21.8,0,,,NW,46,23:23,15.7,77,8,NE,4,1011.1,21.4,50,,NNW,20,1007.0
,2025-06-25,11.6,17.4,0.2,,,WNW,72,11:41,14.4,40,,WNW,31,1009.6,15.9,47,,NW,24,1007.3
,2025-06-26,1.9,15.4,0,,,SW,39,09:44,10.8,52,,SW,15,1024.9,15.2,36,,SW,13,1026.4
,2025-06-27,2.3,16.6,0,,,SSE,22,12:53,7.6,78,8,N,6,1032.0,15.7,54,8,S,11,1029.5
,2025-06-28,2.4,17.7,0,,,ENE,20,13:36,6.5,95,7,ENE,7,1030.0,16.9,50,,ENE,9,1026.4
,2025-06-29,1.7,18.1,0,,,NE,13,11:19,5.4,97,3, ,Calm,1026.5,17.2,50,2,SSW,4,1023.4
,2025-06-30,2.4,17.5,0.2,,,SSW,24,14:09,8.1,89,, ,Calm,1027.5,17.1,47,,S,13,1023.2
