"Daily Weather Observations for Richmond, New South Wales for July 2025"
"Prepared at 13:00 UTC on Sunday 10 May 2026   IDCJDW2119.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,8.1,15.5,3.6,,,W,65,17:21,11.8,86,8,SW,24,1013.8,10.6,86,8,WSW,35,1005.5
,2025-07-2,10.4,19.0,38.2,,,SW,59,12:48,15.4,70,8,SW,33,1000.9,17.4,59,8,SW,22,1002.4
,2025-07-3,12.6,19.0,3.8,,,WSW,39,01:35,15.9,54,,SW,17,1010.3,18.5,41,,SW,20,1010.1
,2025-07-4,3.9,18.9,0.2,,,SE,19,18:54,10.3,81,, ,Calm,1020.3,18.5,44,,SE,7,1019.0
,2025-07-5,2.0,18.1,0,,,ENE,17,15:19,6.0,95,7, ,Calm,1025.7,17.8,60,1,ENE,11,1021.1
,2025-07-6,5.9,22.2,0,,,W,57,17:52,10.7,91,7,N,7,1019.4,21.9,52,,NNW,17,1013.2
,2025-07-7,6.6,17.9,8.4,,,SW,30,12:11,12.6,72,,N,11,1016.6,16.1,54,8,WSW,7,1014.0
,2025-07-8,3.2,16.6,0,,,,,,7.1,94,, ,Calm,1013.9,15.6,56,7,NNE,22,1006.9
,2025-07-9,3.1,20.4,0,,,N,20,00:25,12.5,67,,ENE,7,1010.2,20.0,45,1,E,9,1005.7
,2025-07-10,2.6,16.2,0,,,W,74,13:17,14.7,43,,NW,37,1005.0,14.9,44,3,WNW,20,1005.2
,2025-07-11,6.9,18.8,0,,,WSW,52,14:50,13.7,52,,N,13,1018.2,18.0,37,,WSW,26,1017.0
,2025-07-12,2.2,19.7,0,,,E,17,11:59,10.0,75,, ,Calm,1024.1,18.8,41,,SSE,7,1022.6
,2025-07-13,1.3,18.5,0,,,NW,41,23:49,6.0,90,, ,Calm,1022.1,18.0,49,4,NE,7,1015.0
,2025-07-14,6.0,20.1,0,,,WNW,46,00:02,16.2,42,,ESE,7,1012.7,19.2,26,,NE,7,1011.8
,2025-07-15,2.5,14.7,0,,,WSW,22,15:00,6.3,87,8, ,Calm,1012.8,14.5,55,7,WNW,15,1010.3
,2025-07-16,-0.9,19.1,0,,,NE,19,11:40,6.7,80,, ,Calm,1018.7,18.9,33,,WNW,4,1016.2
,2025-07-17,-0.6,16.9,0,,,ENE,15,12:49,4.5,87,, ,Calm,1019.8,16.2,48,,SE,6,1015.2
,2025-07-18,0.9,15.0,0,,,SSW,35,11:08,6.6,89,1,NE,4,1019.9,14.7,65,8,WSW,7,1018.0
,2025-07-19,-0.3,18.3,0,,,NE,15,13:41,7.3,89,, ,Calm,1020.3,18.2,43,,E,7,1016.7
,2025-07-20,-1.3,19.0,0,,,SSE,33,14:51,4.0,91,,N,2,1023.4,17.8,46,,SSE,22,1021.0
,2025-07-21,3.9,19.4,0,,,E,17,16:24,11.3,84,7, ,Calm,1025.8,18.2,61,8,E,9,1020.8
,2025-07-22,7.1,19.3,0.2,,,NE,30,15:40,8.1,99,8, ,Calm,1019.7,19.0,62,8,NE,15,1013.7
,2025-07-23,8.1,20.3,2.0,,,W,39,14:29,13.7,91,3, ,Calm,1013.4,18.6,37,,WSW,20,1012.0
,2025-07-24,0.0,17.9,0,,,S,22,14:29,7.1,80,,NNE,7,1021.4,16.9,26,,SSE,13,1019.0
,2025-07-25,-1.2,17.5,0,,,NNE,28,14:09,5.6,85,,N,4,1024.6,16.7,43,,NE,13,1019.4
,2025-07-26,5.6,20.3,2.6,,,NW,54,14:35,10.5,92,8,NE,15,1010.4,20.0,51,1,NNW,19,1005.0
,2025-07-27,10.3,19.3,0,,,WNW,52,15:20,15.6,57,,N,20,1005.4,17.0,47,8,NW,28,1003.3
,2025-07-28,8.1,18.6,0,,,W,52,12:47,14.3,51,1,NW,17,1007.9,16.4,45,8,WNW,26,1008.3
,2025-07-29,6.3,19.5,0,,,W,39,11:00,15.1,51,8,NW,17,1015.9,18.1,39,8,WSW,11,1012.4
,2025-07-30,8.8,12.7,0.4,,,SSW,28,10:01,10.5,84,8,SSW,9,1014.6,10.5,92,8,SSW,13,1013.0
,2025-07-31,9.8,16.5,9.6,,,SSW,48,12:21,12.6,70,8,SSW,24,1020.2,14.7,53,5,S,20,1020.0
