"Daily Weather Observations for Richmond, New South Wales for January 2026"
"Prepared at 13:00 UTC on Monday  4 May 2026   IDCJDW2119.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,16.4,21.3,1.0,,,SE,35,13:41,17.4,91,8,SSW,13,1014.9,19.8,64,8,SSE,20,1015.9
,2026-01-2,17.2,23.4,0,,,ESE,28,14:02,19.6,64,8,SSE,4,1018.8,22.2,58,8,SE,20,1016.7
,2026-01-3,16.2,30.6,0.2,,,ENE,35,14:54,21.8,73,1,NW,4,1016.9,30.3,48,,E,22,1011.2
,2026-01-4,18.3,35.7,1.2,,,WSW,48,13:56,23.0,78,,NE,9,1011.6,24.5,70,8,WSW,30,1007.9
,2026-01-5,15.5,31.9,2.2,,,SE,39,14:19,22.2,71,,S,13,1013.1,29.9,45,2,SSE,11,1009.9
,2026-01-6,18.6,33.3,4.2,,,E,31,16:45,21.6,78,8,WSW,4,1017.6,30.6,44,,NNE,9,1013.8
,2026-01-7,18.7,38.4,0,,,NE,30,15:01,24.4,72,,NE,9,1019.5,36.1,26,,NE,7,1015.1
,2026-01-8,17.9,41.9,0,,,ENE,35,16:37,25.2,64,, ,Calm,1016.4,40.6,15,,ESE,13,1011.9
,2026-01-9,16.8,42.0,0,,,ENE,37,15:58,24.5,66,,S,7,1014.1,39.8,20,,E,22,1006.7
,2026-01-10,20.5,42.8,0,,,NW,48,08:19,33.7,27,,NNW,19,1006.2,41.2,18,,NW,26,1001.9
,2026-01-11,20.3,22.2,0,,,SE,33,06:52,21.5,64,8,SSE,20,1014.5,19.7,78,8,SSE,13,1016.4
,2026-01-12,16.5,21.7,7.8,,,,,,18.9,70,8,SSW,15,1019.6,21.5,73,8,SSW,9,1016.6
,2026-01-13,18.5,31.8,1.6,,,E,33,15:27,21.3,88,8,SW,6,1012.8,30.9,48,3,NE,13,1008.9
,2026-01-14,21.2,27.9,0.2,,,NNE,31,14:30,24.2,74,8,NE,13,1011.8,26.6,57,8,NE,15,1009.3
,2026-01-15,20.9,29.4,0.4,,,ENE,24,15:59,23.8,75,8,W,6,1009.1,27.5,61,8,NE,6,1004.4
,2026-01-16,19.9,29.7,4.2,,,SE,35,01:53,22.0,75,7,SSW,13,1004.8,27.1,57,8,SE,22,1003.1
,2026-01-17,19.5,24.9,0,,,SSE,52,12:42,21.2,87,8,SSE,22,1009.4,23.2,75,8,SSE,28,1009.2
,2026-01-18,18.5,22.8,53.4,,,ESE,44,12:18,18.7,96,8,SE,17,1014.2,21.2,77,8,E,28,1014.1
,2026-01-19,17.7,25.7,20.6,,,SE,33,15:05,18.4,96,7,SSW,13,1015.4,23.6,69,8,WNW,9,1012.8
,2026-01-20,,26.6,5.8,,,,,,18.6,89,8,WNW,15,1012.0,24.7,58,3,SSE,19,1009.5
,2026-01-21,15.4,29.1,0,,,E,33,15:40,20.6,74,,SW,11,1008.2,27.1,45,,SW,9,1004.3
,2026-01-22,16.8,28.5,0,,,SSE,54,12:54,21.0,72,,SSW,11,1006.8,23.5,58,8,SE,30,1008.9
,2026-01-23,16.1,26.0,0,,,E,31,15:57,19.6,63,8,SSW,11,1018.9,24.6,52,8,E,13,1016.0
,2026-01-24,17.1,32.9,0,,,E,31,16:51,22.3,64,,E,4,1015.2,31.1,45,,ESE,9,1008.4
,2026-01-25,17.9,40.8,0,,,SE,48,22:08,23.2,80,,SSE,2,1009.1,39.5,21,1,ENE,9,1004.1
,2026-01-26,20.4,28.4,0,,,SSE,37,13:16,23.5,65,7,S,11,1013.1,25.7,57,8,SE,24,1012.6
,2026-01-27,18.9,29.8,0,,,E,31,18:12,22.4,65,1,SE,6,1015.4,28.9,47,1,ENE,17,1011.8
,2026-01-28,15.0,35.1,0,,,ENE,26,12:34,20.9,74,,NNE,9,1013.5,32.1,35,,SE,6,1010.3
,2026-01-29,20.5,32.0,0,,,ESE,31,15:56,24.4,75,8,NNW,4,1019.2,30.9,44,,SSE,9,1015.9
,2026-01-30,18.7,34.3,0,,,E,28,18:45,24.2,68,7,NNE,9,1017.9,32.0,43,,NE,13,1012.2
,2026-01-31,20.6,38.4,0,,,E,30,15:34,25.4,74,,NNE,4,1009.4,36.8,33,,N,11,1004.0
