"Daily Weather Observations for Richmond, New South Wales for March 2026"
"Prepared at 16:00 UTC on Saturday  2 May 2026   IDCJDW2119.202603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-03-1,19.7,24.4,5.2,,,WSW,17,13:15,20.6,94,8,SW,9,1017.4,23.8,79,7,W,7,1015.2
,2026-03-2,19.7,28.6,0.2,,,ENE,20,12:50,22.5,88,8,S,4,1013.9,27.9,64,8,ENE,9,1009.8
,2026-03-3,20.7,26.6,9.4,,,NNE,24,06:52,21.1,92,8,NNE,4,1012.1,25.6,79,8,NE,6,1010.8
,2026-03-4,21.0,32.2,0.2,,,SSW,59,17:19,22.9,92,8, ,Calm,1013.3,31.3,62,2,NNE,17,1010.2
,2026-03-5,21.7,31.3,5.4,,,SE,20,02:05,23.6,90,7,SW,7,1013.8,29.8,64,1,E,9,1010.6
,2026-03-6,21.4,31.7,0.2,,,ESE,35,16:02,23.7,94,8, ,Calm,1013.7,30.8,59,4,SSE,9,1011.7
,2026-03-7,22.8,29.1,0,,,S,31,22:18,24.9,87,8,SE,2,1012.5,28.2,68,8,NW,2,1009.7
,2026-03-8,21.3,25.1,1.4,,,S,41,14:38,22.4,77,8,S,19,1014.0,24.1,77,8,SSW,9,1013.0
,2026-03-9,18.8,24.2,10.4,,,SSE,39,12:36,20.7,85,8,SW,17,1013.6,22.4,87,8,SSE,15,1012.0
,2026-03-10,19.8,29.2,1.8,,,E,28,15:22,21.5,86,8, ,Calm,1013.4,28.0,59,6,WNW,6,1011.2
,2026-03-11,17.5,34.1,0.2,,,ENE,35,13:38,19.3,94,6,NNE,6,1011.9,31.3,51,1,NE,15,1004.7
,2026-03-12,17.7,28.8,0,,,SE,39,13:54,22.6,77,,ENE,7,1007.3,27.5,53,1,SE,28,1007.1
,2026-03-13,17.9,23.9,0,,,ESE,31,15:09,19.6,73,8,SSW,13,1018.6,22.6,53,8,SE,17,1020.6
,2026-03-14,13.8,26.5,0,,,E,28,16:06,18.9,64,,SW,9,1029.0,24.6,45,5,ENE,11,1025.7
,2026-03-15,12.4,29.1,0,,,NE,22,11:54,17.6,83,, ,Calm,1025.7,27.7,43,,ENE,11,1020.4
,2026-03-16,15.6,31.8,0,,,NE,24,14:24,20.1,84,, ,Calm,1020.0,30.8,40,1,NE,13,1015.2
,2026-03-17,18.6,32.0,0,,,WSW,26,14:16,20.9,90,3,N,2,1015.8,31.3,40,1,WSW,15,1015.4
,2026-03-18,20.3,26.0,4.8,,,NNE,28,00:28,20.8,94,8,SW,2,1022.1,24.6,72,8,SE,13,1019.6
,2026-03-19,20.5,25.2,0,,,NE,17,11:44,21.3,88,8,WSW,2,1018.4,22.9,83,8,NNW,9,1016.1
,2026-03-20,18.6,27.3,11.4,,,E,28,15:35,21.3,88,1,SSE,11,1018.6,26.0,69,3,ENE,17,1017.5
,2026-03-21,18.0,28.1,1.4,,,S,33,15:52,20.6,95,, ,Calm,1020.4,27.3,58,6,NE,11,1017.7
,2026-03-22,16.2,28.1,4.4,,,E,30,15:14,19.3,91,6, ,Calm,1022.6,24.2,78,8,ENE,9,1020.0
,2026-03-23,19.0,27.4,0.6,,,SSE,26,10:59,21.0,88,8,SSW,9,1022.1,26.6,73,1,SSW,6,1019.3
,2026-03-24,17.7,28.2,2.0,,,E,24,17:27,19.3,96,8, ,Calm,1020.8,27.3,50,5,N,13,1017.1
,2026-03-25,15.1,29.9,0.6,,,W,35,16:22,18.3,90,, ,Calm,1016.6,28.7,46,,E,6,1012.4
,2026-03-26,16.5,31.8,0,,,SW,76,16:44,19.6,85,7, ,Calm,1011.4,28.8,56,8,ENE,9,1003.9
,2026-03-27,13.1,19.4,6.4,,,WSW,63,15:30,14.8,51,6,WNW,24,1004.5,18.1,49,,WSW,24,1004.6
,2026-03-28,13.2,22.9,1.2,,,SW,43,23:04,17.0,50,8,WSW,17,1015.8,22.7,41,1,SW,13,1015.6
,2026-03-29,11.2,25.6,0,,,SE,30,10:17,16.4,74,, ,Calm,1022.4,23.3,46,,NNE,6,1020.0
,2026-03-30,12.4,26.0,0,,,ESE,26,16:04,16.5,88,,NNE,4,1025.5,25.2,43,,NE,7,1022.6
,2026-03-31,12.0,26.9,0,,,NNE,24,10:53,16.8,88,, ,Calm,1026.3,25.8,44,,ENE,9,1022.5
