"Daily Weather Observations for Richmond, New South Wales for April 2026"
"Prepared at 13:00 UTC on Thursday  7 May 2026   IDCJDW2119.202604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-04-1,12.5,28.4,0,,,ENE,26,17:22,16.3,90,,NE,6,1025.0,27.0,45,,ENE,11,1021.2
,2026-04-2,12.9,27.8,0,,,NNE,22,12:53,17.3,89,1, ,Calm,1024.5,27.0,46,,ESE,6,1021.2
,2026-04-3,13.7,26.8,0,,,SE,35,13:58,16.7,98,8,S,7,1023.0,25.9,60,8,SSE,28,1021.4
,2026-04-4,16.4,19.4,1.2,,,SW,24,06:21,18.5,82,7,SSW,13,1026.4,18.7,83,8,SSW,9,1025.1
,2026-04-5,15.3,22.6,6.2,,,SE,30,15:44,17.6,87,8,SW,7,1027.2,21.3,55,8,N,7,1023.3
,2026-04-6,11.0,20.0,0,,,E,17,11:41,15.6,88,8,E,7,1021.6,19.1,77,8,NE,7,1017.0
,2026-04-7,12.0,31.8,0.4,,,W,43,13:07,16.9,89,, ,Calm,1013.3,31.5,33,2,W,26,1008.4
,2026-04-8,13.6,28.4,0.2,,,SE,19,14:22,19.9,83,8, ,Calm,1016.6,27.8,41,,SE,9,1013.8
,2026-04-9,14.8,30.9,0,,,NE,20,14:17,20.6,78,, ,Calm,1018.2,30.5,39,,ENE,11,1013.2
,2026-04-10,15.3,29.5,0,,,NW,37,13:07,21.8,79,,NE,9,1013.6,29.1,50,6,N,13,1008.8
,2026-04-11,16.2,25.3,0,,,WSW,41,11:31,22.3,40,,WNW,20,1009.4,24.3,31,,WNW,24,1007.0
,2026-04-12,9.2,21.5,0,,,WSW,48,12:25,16.5,43,3,W,17,1011.5,20.7,31,,WNW,28,1010.1
,2026-04-13,4.9,23.7,0,,,S,26,11:10,15.5,61,,NNE,6,1018.5,23.1,36,,N,7,1016.7
,2026-04-14,6.4,24.6,0,,,ESE,22,12:15,15.2,69,,ESE,2,1021.8,24.3,36,,NE,7,1018.0
,2026-04-15,6.8,25.9,0,,,ESE,26,17:45,15.7,75,,ENE,4,1020.4,25.0,40,,ESE,11,1016.7
,2026-04-16,9.2,29.4,0,,,ENE,19,13:17,17.7,78,,ENE,4,1019.5,28.5,33,1,N,2,1013.7
,2026-04-17,6.9,29.3,0,,,SE,46,18:34,17.1,72,, ,Calm,1014.2,28.6,27,,WNW,28,1009.3
,2026-04-18,6.9,22.3,0,,,SE,30,16:29,14.4,69,,S,6,1019.8,21.7,27,,ESE,13,1017.2
,2026-04-19,5.0,22.3,0,,,ESE,30,16:59,13.9,72,, ,Calm,1023.3,22.1,36,,SSW,9,1020.0
,2026-04-20,6.4,23.5,0,,,SSE,28,12:34,14.5,71,, ,Calm,1025.7,22.6,43,3,SSE,6,1023.3
,2026-04-21,11.1,22.2,0,,,SSE,33,12:13,18.7,64,7,SSW,15,1028.2,21.0,54,8,S,15,1025.8
,2026-04-22,11.7,22.8,0.2,,,SE,30,13:55,16.7,85,8,NNE,4,1027.9,22.2,39,,SE,13,1025.6
,2026-04-23,7.1,23.2,0,,,S,26,12:52,17.2,71,8,SW,7,1030.0,21.7,48,5,S,15,1028.7
,2026-04-24,11.9,24.4,0,,,SE,26,14:35,17.6,72,4,WSW,6,1033.2,22.4,56,8,ESE,19,1030.6
,2026-04-25,10.2,26.0,0,,,NNE,26,13:09,15.6,91,3,ESE,6,1032.4,25.7,46,,NE,9,1026.9
,2026-04-26,9.0,24.6,0,,,NE,24,11:05,14.8,92,2, ,Calm,1027.3,23.9,36,,ENE,9,1022.2
,2026-04-27,6.2,25.3,0.2,,,NNW,22,13:27,14.8,80,,NE,2,1025.1,24.4,41,,E,9,1023.0
,2026-04-28,8.0,25.1,0,,,NNE,24,12:38,15.7,82,,SSE,4,1028.4,24.0,42,,E,9,1024.4
,2026-04-29,8.3,25.7,0,,,NE,24,15:33,14.0,90,, ,Calm,1029.6,25.0,47,1,ENE,9,1027.3
,2026-04-30,10.6,25.7,0,,,ENE,26,15:57,17.3,84,, ,Calm,1031.9,25.4,46,,ENE,9,1027.8
