"Daily Weather Observations for Sydney Airport, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  8 May 2026   IDCJDW2125.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,9.0,18.1,0,4.6,10.7,W,33,07:24,14.2,55,2,W,17,1024.2,17.1,60,1,S,22,1021.0
,2025-09-2,12.1,20.5,0.8,4.0,8.8,NNE,39,16:54,16.1,74,6,W,9,1024.5,19.1,47,1,ENE,28,1020.2
,2025-09-3,10.1,23.1,0,4.0,10.4,WNW,33,09:41,15.7,42,2,WNW,19,1022.2,22.3,27,1,WNW,13,1018.0
,2025-09-4,14.2,24.9,0,5.0,5.2,NW,50,14:08,17.7,37,7,NNW,20,1019.9,24.1,19,7,NW,31,1015.5
,2025-09-5,13.0,17.7,0,7.6,9.5,S,43,11:20,16.3,73,1,SSW,24,1027.1,16.9,61,6,SSE,24,1027.5
,2025-09-6,11.1,21.1,0,4.0,9.4,NE,46,16:01,15.7,63,3,WNW,7,1032.1,20.3,48,1,NE,30,1027.5
,2025-09-7,11.7,23.9,0,5.6,10.6,NE,50,16:27,17.2,65,1,WNW,11,1025.9,22.5,50,1,NE,30,1020.3
,2025-09-8,17.1,30.1,0,7.4,10.1,NW,50,12:10,23.6,33,3,NW,20,1018.1,28.2,29,7,NW,28,1012.7
,2025-09-9,17.1,27.1,0.4,8.0,4.7,W,41,04:19,20.3,66,5,NW,9,1015.6,26.5,33,5,N,19,1010.7
,2025-09-10,16.4,17.8,4.2,3.8,0.0,SE,63,17:05,16.9,90,8,E,24,1009.5,16.7,93,8,SSE,11,1004.2
,2025-09-11,9.7,15.9,104.4,,4.4,W,69,04:37,12.4,94,8,SW,37,1008.2,15.8,63,4,SSW,44,1013.5
,2025-09-12,10.2,19.1,5.6,2.4,10.9,SW,26,09:24,15.7,63,1,SW,9,1023.3,18.2,48,1,SE,17,1021.2
,2025-09-13,10.5,21.4,0,4.8,10.4,E,28,13:24,16.5,51,1,WNW,15,1027.0,20.0,51,1,ENE,20,1023.9
,2025-09-14,10.8,24.7,0,5.6,10.7,NNW,35,14:13,17.2,66,1,WNW,13,1025.4,22.8,49,1,NE,24,1019.6
,2025-09-15,11.4,28.7,0,6.0,10.7,WNW,43,14:37,20.6,36,1,NW,13,1021.0,28.1,18,1,WNW,20,1015.5
,2025-09-16,18.7,28.4,0,7.6,5.6,NNW,52,13:08,23.7,38,7,N,26,1015.6,27.4,31,6,N,30,1010.1
,2025-09-17,18.4,26.4,0.6,8.6,9.1,WSW,41,08:11,20.4,55,3,W,26,1015.5,25.5,22,1,SW,30,1013.3
,2025-09-18,11.1,20.8,0,7.4,11.0,WSW,41,00:26,16.3,45,1,WNW,11,1025.1,19.6,52,1,ESE,17,1021.5
,2025-09-19,11.5,26.1,0,5.2,9.1,NNW,37,21:31,17.7,53,1,WNW,15,1020.2,22.2,43,7,NE,22,1014.1
,2025-09-20,16.0,22.7,4.2,6.0,10.7,W,56,12:43,20.1,49,1,WSW,19,1007.5,22.0,24,1,W,28,1008.1
,2025-09-21,11.1,23.1,0,7.2,11.0,WNW,44,09:16,16.4,35,3,W,26,1017.3,22.5,28,1,W,22,1013.3
,2025-09-22,12.0,21.7,0,6.0,7.2,S,59,17:58,19.0,44,1,W,19,1018.2,17.3,67,7,SSE,33,1018.0
,2025-09-23,7.8,17.4,0.2,4.8,11.2,S,41,13:06,14.2,45,1,WSW,20,1026.4,16.6,49,1,S,28,1023.3
,2025-09-24,9.8,25.4,0,5.0,11.0,WSW,54,12:33,17.2,43,4,WNW,28,1018.5,22.0,40,6,ESE,19,1014.7
,2025-09-25,11.4,26.5,0,7.0,10.8,WSW,59,15:44,18.4,40,7,NW,17,1016.7,26.1,15,6,WSW,39,1012.0
,2025-09-26,18.2,29.9,,,6.3,W,56,14:13,22.4,31,7,N,20,1014.1,28.9,15,6,WNW,39,1009.9
,2025-09-27,19.6,29.7,,,3.7,N,39,15:44,22.9,32,7,W,7,1014.5,29.2,19,7,N,28,1010.0
,2025-09-28,18.0,23.8,,,8.7,S,67,06:06,19.2,82,3,S,24,1014.2,21.7,71,6,SE,28,1012.9
,2025-09-29,16.2,22.5,,,8.6,SSW,43,06:16,18.9,75,6,SW,20,1019.5,19.8,78,2,SSW,24,1015.2
,2025-09-30,15.7,25.4,1.6,,10.3,NE,52,14:58,22.5,67,7,NNE,31,1013.8,25.0,62,1,NE,41,1006.4
