"Daily Weather Observations for Sydney Airport, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2125.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,18.9,27.8,0,6.6,9.8,W,56,14:53,23.0,27,1,WSW,20,1007.6,26.2,13,1,WNW,41,1006.4
,2025-10-2,13.4,26.8,0,11.6,9.4,WSW,76,15:43,22.2,24,1,NNW,24,1008.2,23.1,23,7,WSW,41,1007.0
,2025-10-3,13.7,25.4,0,9.0,11.3,WSW,52,08:28,18.5,31,1,WSW,31,1017.0,24.6,22,1,SSE,17,1014.1
,2025-10-4,13.2,22.5,0,8.0,11.4,W,31,23:51,18.8,53,1,SW,9,1024.8,20.7,60,3,SE,20,1022.6
,2025-10-5,14.3,28.7,0,5.8,10.7,NNE,33,14:16,18.5,69,2,N,15,1021.0,27.6,34,7,NE,24,1014.9
,2025-10-6,18.4,32.1,0,8.6,3.9,S,65,13:41,25.4,22,7,WNW,15,1010.6,21.2,80,8,SSE,39,1010.1
,2025-10-7,16.7,22.8,0.8,6.6,1.2,NNE,46,14:25,19.4,73,7,N,17,1017.7,21.8,66,8,NNE,31,1013.1
,2025-10-8,16.2,29.9,0,3.2,9.4,NW,70,22:58,18.9,69,1,SE,9,1013.3,28.2,36,7,ENE,30,1007.8
,2025-10-9,18.9,29.0,0,10.8,0.0,WNW,76,23:10,24.9,41,8,N,20,1010.1,28.5,34,8,NNW,26,1009.0
,2025-10-10,17.1,32.1,0,6.2,12.0,WNW,48,13:21,23.2,56,1,NW,13,1014.6,30.9,13,1,WNW,26,1010.7
,2025-10-11,16.4,32.3,0,11.6,12.1,W,41,15:02,24.9,21,1,NNW,19,1012.4,31.8,10,1,ENE,17,1009.2
,2025-10-12,16.5,32.8,0,11.2,7.1,WSW,102,14:21,23.4,30,1,WNW,9,1011.5,25.6,25,7,WSW,54,1010.0
,2025-10-13,15.5,22.4,0.6,8.0,10.8,SE,44,11:54,19.2,42,1,SW,17,1016.5,19.2,54,2,SE,30,1017.8
,2025-10-14,14.9,28.8,0,7.6,11.9,WNW,37,12:00,19.0,56,1,N,24,1019.8,28.4,18,0,ENE,7,1015.1
,2025-10-15,15.8,26.8,0,7.4,12.1,ENE,37,14:34,21.4,59,0,WNW,9,1022.5,24.3,56,1,ENE,26,1018.9
,2025-10-16,17.2,29.2,0,7.8,10.2,NE,54,17:09,20.1,81,5,NW,6,1020.5,27.5,54,3,NE,30,1015.0
,2025-10-17,20.1,34.7,0,7.2,4.4,S,70,17:18,28.5,41,6,NNW,28,1011.8,33.2,29,7,NNE,24,1008.2
,2025-10-18,15.6,22.2,0.8,7.4,11.8,E,33,15:51,19.0,70,3,SW,15,1016.1,20.8,51,4,ESE,20,1015.0
,2025-10-19,17.0,25.6,0,8.0,11.2,NE,54,17:47,21.2,60,6,NNW,20,1018.1,23.7,54,2,NE,35,1012.1
,2025-10-20,18.3,36.8,0,8.0,9.6,S,61,21:12,24.2,51,5,,,1011.7,36.2,19,6,NW,17,1006.1
,2025-10-21,18.1,23.5,0,9.0,7.9,S,50,01:47,20.3,62,1,SSE,15,1016.0,20.2,62,6,ESE,20,1013.2
,2025-10-22,19.1,38.8,0,8.6,7.0,W,76,17:22,22.2,74,4,NW,13,1003.5,36.0,21,7,SSW,20,995.3
,2025-10-23,17.0,22.2,0,10.2,9.7,SW,50,02:12,19.5,52,3,S,22,1014.3,20.6,52,4,SE,24,1015.0
,2025-10-24,17.2,24.0,0,8.0,11.7,S,54,10:15,21.2,59,1,WNW,15,1013.5,19.3,74,3,SSE,39,1013.1
,2025-10-25,15.2,24.4,0,8.2,4.6,NE,44,16:05,18.8,59,8,N,15,1017.3,23.5,51,7,NNE,30,1012.8
,2025-10-26,16.8,27.6,0,7.8,4.6,NW,54,17:56,22.9,35,7,NNW,15,1007.0,24.8,44,7,NNW,15,1001.6
,2025-10-27,17.8,26.3,1.6,5.2,9.4,S,72,14:57,20.7,49,3,W,28,1002.4,17.9,70,5,S,48,1005.6
,2025-10-28,12.6,18.4,0.2,8.2,0.3,S,57,23:50,14.8,48,7,SE,20,1021.6,16.2,38,7,SE,15,1020.1
,2025-10-29,12.5,18.1,4.4,3.2,0.0,ENE,31,20:58,14.2,95,8,W,11,1019.0,17.0,89,8,ENE,17,1016.7
,2025-10-30,14.2,20.9,10.4,1.4,10.5,S,31,14:04,17.8,85,4,SW,11,1017.3,19.9,80,1,S,24,1015.7
,2025-10-31,15.7,25.3,0,7.8,8.7,NE,50,15:36,19.0,84,3,SSE,11,1019.4,23.6,58,6,ENE,26,1016.6
