"Daily Weather Observations for Sydney Airport, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2125.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,16.7,22.8,15.2,2.4,3.2,W,70,02:43,19.0,84,7,SW,9,1016.2,22.6,66,6,N,6,1013.8
,2025-11-2,18.0,24.1,1.0,10.8,3.0,SSW,35,05:21,19.2,89,7,SSW,17,1015.0,22.6,70,6,SE,19,1011.7
,2025-11-3,18.6,28.0,0,4.0,6.8,W,72,17:34,21.6,83,8,N,15,1005.8,26.9,63,7,NNE,30,1000.5
,2025-11-4,17.6,24.4,19.6,11.6,11.0,NW,70,10:16,20.8,37,3,NNW,20,1007.0,21.4,30,6,WNW,43,1006.0
,2025-11-5,14.4,26.8,0.2,10.6,12.8,WNW,41,08:58,18.6,37,0,W,22,1013.6,25.8,24,0,SSW,13,1011.8
,2025-11-6,14.4,25.8,0,7.0,,NNE,56,17:25,20.1,41,1,W,13,1019.0,24.5,28,2,ENE,31,1015.0
,2025-11-7,19.6,26.4,0,,,NNE,57,19:46,21.6,62,8,NNE,9,1013.4,25.0,55,,NE,28,1009.3
,2025-11-8,20.5,32.4,0,15.6,9.1,NNW,54,10:53,26.3,45,7,NW,22,1004.8,30.7,42,2,NE,31,998.7
,2025-11-9,16.4,20.7,0.6,9.4,12.9,S,56,09:55,18.3,48,1,WSW,35,1009.9,18.8,62,2,S,35,1011.2
,2025-11-10,15.4,23.8,0,8.8,12.1,ENE,48,14:47,20.2,47,2,NNW,11,1015.9,22.2,49,1,ENE,33,1012.7
,2025-11-11,15.2,29.2,0,8.0,12.1,WSW,78,16:06,20.0,58,3,W,20,1012.3,27.9,14,5,W,33,1007.3
,2025-11-12,11.0,21.0,0,11.8,12.9,SW,43,23:19,15.7,35,1,SW,17,1020.0,19.9,31,0,ENE,28,1016.1
,2025-11-13,12.9,27.7,0,8.0,10.7,NE,48,17:19,19.6,43,3,NW,15,1014.8,25.4,29,,ENE,31,1008.3
,2025-11-14,18.1,23.3,0,9.6,7.8,S,48,04:31,19.3,74,7,SSE,24,1010.5,22.1,60,6,E,26,1009.1
,2025-11-15,18.7,26.5,0,7.0,3.8,NNE,61,14:59,22.4,69,7,NW,17,1011.0,24.3,62,7,NE,39,1004.9
,2025-11-16,19.9,32.6,3.4,6.0,10.0,SE,43,14:38,21.5,74,3,SSW,7,1004.0,32.1,14,2,NE,13,999.5
,2025-11-17,18.4,23.1,0,9.4,7.8,W,65,08:33,20.5,31,3,WNW,50,1001.5,20.9,30,6,SW,30,1002.6
,2025-11-18,15.6,26.6,0,8.0,13.2,NE,48,16:49,20.5,41,0,W,22,1010.0,25.1,34,1,NE,31,1007.2
,2025-11-19,16.7,29.7,0,9.8,11.7,NNE,54,17:53,23.3,49,1,WSW,11,1011.2,28.5,29,1,ENE,31,1007.0
,2025-11-20,18.6,21.9,0,10.2,6.1,SSW,52,21:19,19.5,80,7,S,28,1011.7,21.1,73,7,SSE,35,1010.4
,2025-11-21,16.0,21.8,0.2,5.6,0.0,S,54,00:45,16.5,89,8,SSW,35,1019.7,17.6,89,8,S,33,1019.9
,2025-11-22,16.1,22.6,1.0,5.0,0.0,E,33,10:30,21.2,71,7,SE,17,1019.2,21.7,73,7,E,20,1016.2
,2025-11-23,18.4,25.0,10.6,2.2,9.7,SSE,33,16:36,20.6,92,5,WNW,9,1008.7,23.5,73,3,SE,22,1004.3
,2025-11-24,18.1,23.7,0,6.4,12.0,SSW,50,05:21,21.3,74,3,S,24,1008.0,21.2,79,3,S,35,1006.8
,2025-11-25,18.0,30.0,0,7.2,6.6,S,48,22:19,23.2,60,1,N,15,1001.8,25.7,65,7,NE,24,997.6
,2025-11-26,18.6,35.6,0,8.8,,W,72,12:01,29.4,38,3,NNW,37,999.2,31.1,42,3,NW,17,995.1
,2025-11-27,19.9,32.9,,,,SSW,59,19:05,25.6,48,,WNW,11,1002.0,31.2,14,,WSW,31,1000.5
,2025-11-28,17.7,30.4,0.4,19.6,10.8,NNE,54,17:39,23.3,61,0,NW,13,1009.4,27.8,38,6,ENE,33,1004.1
,2025-11-29,21.5,33.2,0,11.8,9.4,NW,89,10:22,26.9,29,7,NNW,26,998.5,32.6,23,4,W,39,996.9
,2025-11-30,18.0,29.2,0,8.6,12.7,W,65,16:02,22.2,53,6,N,15,1006.5,28.3,18,7,W,39,1002.3
