"Daily Weather Observations for Sydney Airport, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2125.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,15.5,26.5,0,12.6,7.3,WSW,76,18:05,21.2,28,7,NW,24,1006.6,23.8,19,8,WNW,35,1002.8
,2025-12-2,13.4,21.1,0,9.4,12.4,S,52,12:27,17.4,50,1,SSW,35,1011.0,19.2,55,2,S,35,1012.7
,2025-12-3,14.2,26.8,0,8.8,12.8,NE,52,17:17,20.9,46,1,NW,11,1020.2,25.3,38,1,NE,31,1016.6
,2025-12-4,17.7,32.5,0,8.4,13.1,NE,57,15:29,24.5,49,0,NNW,13,1018.6,30.5,27,1,NE,37,1013.6
,2025-12-5,19.6,37.8,0,13.2,13.2,NE,54,17:25,28.4,23,1,NW,15,1013.6,36.0,14,7,NE,33,1009.6
,2025-12-6,21.7,39.2,0,18.0,5.7,NE,70,17:12,27.7,29,7,NNW,11,1008.1,33.7,30,7,NE,30,1001.9
,2025-12-7,19.3,22.6,1.0,12.2,0.3,S,69,09:18,19.7,81,8,S,35,1010.0,21.7,55,7,SSE,26,1011.7
,2025-12-8,19.0,27.2,0,6.6,8.2,NE,57,17:42,22.0,63,7,NNE,17,1015.1,26.0,55,7,NE,33,1010.7
,2025-12-9,19.9,33.2,0,8.0,8.9,SSW,70,18:48,26.2,58,0,WNW,11,1013.1,30.8,31,0,E,20,1011.6
,2025-12-10,18.4,24.3,0,10.8,3.2,S,52,23:27,20.6,74,7,SSW,24,1020.9,22.7,71,3,S,26,1017.4
,2025-12-11,19.3,25.0,3.4,7.0,3.2,S,50,00:07,21.7,67,7,SSE,30,1020.7,22.8,59,7,SE,28,1020.4
,2025-12-12,19.1,22.8,1.8,5.0,0.4,E,39,16:46,20.3,87,8,NNE,9,1018.1,21.2,80,7,SE,20,1016.8
,2025-12-13,17.3,26.5,4.2,3.2,7.7,ENE,43,13:16,20.7,79,3,NW,15,1013.0,24.0,65,7,NE,30,1008.0
,2025-12-14,19.1,34.6,5.8,7.4,11.3,S,80,20:14,22.5,76,5,NW,11,1005.7,33.3,29,6,WNW,20,1001.7
,2025-12-15,18.7,24.4,0,7.0,3.2,SSE,48,23:12,20.2,70,7,SE,15,1014.1,22.9,55,5,ESE,30,1014.0
,2025-12-16,17.1,24.3,0.2,4.8,0.0,SE,33,00:04,20.4,56,8,ENE,17,1022.1,21.0,58,8,ENE,15,1022.5
,2025-12-17,18.3,27.5,0,3.2,,NE,57,18:09,24.1,58,5,NNE,17,1024.3,26.6,52,1,NE,37,1020.2
,2025-12-18,19.7,32.6,0,,,NNE,56,16:52,25.7,55,,NNE,7,1017.9,32.0,42,,NE,31,1011.8
,2025-12-19,21.1,42.6,,22.8,,SSW,69,17:18,32.1,32,0,NW,13,1009.9,38.7,20,5,ENE,19,1005.9
,2025-12-20,23.0,33.4,2.8,10.8,,NNE,48,16:44,24.2,73,8,WNW,13,1010.1,31.6,39,4,NE,31,1005.8
,2025-12-21,22.9,36.5,0,9.2,7.1,SSW,52,23:17,29.4,54,4,NW,11,1005.3,29.6,57,6,SE,22,1001.4
,2025-12-22,22.8,32.5,2.4,6.2,5.7,ESE,48,13:29,24.4,44,6,SW,15,1005.8,27.5,50,2,ESE,35,1005.4
,2025-12-23,20.5,32.7,0.6,6.8,11.6,SSE,54,14:28,25.2,65,4,W,7,1008.4,26.7,57,1,SE,30,1008.7
,2025-12-24,19.1,31.5,0,10.8,13.0,SSE,57,21:39,23.6,60,4,N,20,1011.8,29.0,47,1,NE,30,1006.5
,2025-12-25,19.5,23.8,0,11.4,5.2,SSE,50,23:25,20.6,70,7,SSE,24,1011.8,20.6,53,7,SE,31,1010.9
,2025-12-26,14.4,18.9,0.4,9.0,1.6,S,54,08:15,16.2,69,7,S,35,1015.1,16.4,67,8,SSE,28,1015.8
,2025-12-27,14.6,21.5,0,3.8,11.2,SSE,44,15:41,17.7,66,3,SW,19,1018.0,20.2,47,3,SSE,24,1016.0
,2025-12-28,14.9,22.7,0.4,9.8,11.1,SSW,56,07:34,18.8,65,5,SSW,35,1019.9,20.9,56,4,S,33,1020.8
,2025-12-29,15.9,23.4,0,7.2,12.3,SSE,35,12:37,20.0,52,5,S,17,1021.3,22.9,45,1,ESE,24,1019.0
,2025-12-30,15.1,24.1,0,9.8,13.0,E,33,11:19,19.1,57,1,WSW,9,1015.7,22.7,47,5,ENE,24,1010.7
,2025-12-31,17.1,24.2,0,7.8,3.4,S,37,19:56,20.8,72,6,SSE,13,1010.9,23.3,55,8,ESE,15,1010.3
