"Daily Weather Observations for Sydney Airport, New South Wales for January 2026"
"Prepared at 13:00 UTC on Monday  4 May 2026   IDCJDW2125.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,17.7,20.6,1.6,5.6,0.0,S,52,07:38,18.0,95,8,S,41,1014.7,20.2,64,7,S,35,1015.9
,2026-01-2,17.2,24.1,4.2,5.2,3.0,SE,33,13:36,20.2,58,7,SE,13,1018.9,22.7,55,7,SE,22,1017.4
,2026-01-3,17.8,26.5,0.8,5.6,6.3,NE,56,15:58,20.6,83,8,NNE,17,1017.1,25.1,56,6,NE,37,1013.3
,2026-01-4,19.7,30.7,3.0,7.8,7.3,SSW,63,14:52,23.8,72,1,NNE,17,1011.8,27.4,55,7,NE,31,1006.9
,2026-01-5,19.5,26.6,1.6,7.0,6.6,S,41,09:39,22.3,82,7,S,19,1013.3,25.6,59,4,ESE,24,1011.5
,2026-01-6,20.3,27.9,0.4,4.6,11.9,E,33,14:55,22.6,77,4,SSW,13,1017.5,26.4,55,1,ENE,22,1015.2
,2026-01-7,21.1,32.0,0.2,9.8,,NNE,57,18:53,26.6,65,3,N,13,1019.3,30.3,50,1,NE,31,1016.2
,2026-01-8,22.8,34.0,0,,,NE,56,16:21,28.2,55,,NE,11,1016.3,33.7,42,,NE,30,1013.3
,2026-01-9,22.7,33.5,0,23.0,,NNE,67,17:51,26.5,61,1,NNE,13,1014.1,31.8,41,1,NE,41,1008.2
,2026-01-10,23.9,42.7,0,13.0,13.1,S,76,21:12,33.3,23,1,NW,35,1005.5,40.6,13,0,WNW,24,1001.4
,2026-01-11,20.9,21.9,0,15.0,0.0,S,61,23:04,21.3,71,8,SSE,30,1014.5,20.4,67,8,SSE,28,1016.7
,2026-01-12,18.1,22.4,2.2,4.8,0.0,SSW,37,09:38,20.3,79,8,SE,17,1019.5,21.5,73,8,SE,17,1017.0
,2026-01-13,18.0,28.0,5.2,1.0,9.4,NE,48,15:39,22.0,83,7,W,7,1012.7,26.8,58,1,ENE,30,1010.3
,2026-01-14,21.2,28.4,0,11.0,8.1,NE,54,11:43,25.2,61,7,ENE,28,1012.3,27.0,50,7,NE,37,1010.1
,2026-01-15,21.6,27.3,0.8,9.0,4.4,NNE,70,18:59,24.9,68,7,NE,30,1009.4,25.7,72,7,NE,35,1005.4
,2026-01-16,20.1,24.2,0.4,8.0,6.2,S,59,15:58,21.7,81,7,S,26,1004.5,24.0,77,3,S,35,1004.0
,2026-01-17,20.6,24.3,2.4,5.4,1.1,SE,69,06:07,21.4,83,8,SE,50,1009.3,21.0,93,7,SE,33,1009.7
,2026-01-18,19.0,26.5,75.8,,6.7,SE,65,04:45,20.0,84,8,SE,33,1014.4,25.1,55,6,SE,35,1014.3
,2026-01-19,18.0,26.0,19.8,8.6,5.4,SE,41,23:03,19.4,92,8,SW,13,1015.4,23.5,64,6,SE,28,1013.5
,2026-01-20,17.4,25.3,3.0,5.8,8.5,ESE,37,02:01,20.3,80,6,WSW,13,1011.9,24.2,55,4,SE,22,1010.1
,2026-01-21,17.9,25.2,0,7.2,13.0,SW,31,05:24,21.6,68,2,SSW,13,1008.0,23.8,44,1,SE,22,1005.8
,2026-01-22,18.8,23.5,0,7.2,7.3,SSE,59,12:06,22.4,68,1,S,17,1006.7,22.0,59,6,S,46,1009.8
,2026-01-23,18.0,23.8,0,10.4,7.5,SSW,46,02:50,20.0,68,7,SSW,20,1018.8,22.8,48,7,SE,19,1017.1
,2026-01-24,18.3,27.8,0,6.4,12.4,ENE,43,14:35,23.4,60,1,WNW,13,1015.2,26.7,57,0,ENE,33,1010.0
,2026-01-25,21.0,39.7,0,8.0,12.0,S,69,21:30,25.2,74,0,NW,15,1008.8,37.3,26,1,NE,11,1004.4
,2026-01-26,21.6,23.7,0,12.2,1.6,S,74,23:17,22.5,77,7,SSW,35,1013.0,23.2,68,7,S,35,1013.3
,2026-01-27,19.8,27.3,0,7.6,10.4,NE,41,17:57,22.7,66,6,SSW,11,1015.3,25.9,49,2,ENE,28,1013.0
,2026-01-28,19.0,28.8,0,10.2,12.5,NNE,44,17:47,23.2,63,2,NNE,26,1013.0,27.2,50,0,NE,30,1011.6
,2026-01-29,21.7,29.0,0,8.2,9.6,ENE,31,15:31,25.0,74,3,NE,4,1019.0,28.4,47,2,E,20,1017.4
,2026-01-30,22.2,29.9,0,8.6,11.6,NE,54,18:06,25.2,61,2,N,13,1017.8,28.0,53,0,NE,31,1013.0
,2026-01-31,22.9,30.5,0,9.8,12.0,NE,56,17:34,26.1,72,0,NNE,4,1009.2,29.1,55,1,NE,33,1005.8
