"Daily Weather Observations for Sydney Airport, New South Wales for February 2026"
"Prepared at 13:00 UTC on Sunday  3 May 2026   IDCJDW2125.202602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-02-1,23.4,26.9,0,9.2,2.9,SSW,57,12:37,26.2,75,7,NE,9,1004.4,23.2,88,7,S,31,1005.8
,2026-02-2,17.6,20.9,6.2,8.0,9.8,S,80,05:16,18.3,67,7,S,52,1020.2,20.2,58,2,S,44,1022.9
,2026-02-3,16.4,24.9,3.0,10.0,1.7,WSW,35,05:52,18.0,87,7,WSW,9,1025.6,23.3,58,7,SE,17,1023.8
,2026-02-4,18.0,28.2,0.2,2.6,12.2,NNE,48,16:44,23.1,56,1,N,19,1021.1,27.7,43,1,NE,28,1017.1
,2026-02-5,20.4,37.4,0,9.8,10.9,S,61,21:25,25.4,64,1,NW,15,1016.4,32.7,40,,ENE,30,1014.0
,2026-02-6,20.5,30.4,0,8.6,4.5,S,48,23:02,23.1,71,7,W,17,1020.4,27.4,62,7,NE,17,1016.8
,2026-02-7,22.3,33.1,0,4.8,8.6,NE,43,14:47,24.4,86,1,S,13,1018.0,32.9,33,6,NE,28,1014.9
,2026-02-8,23.1,24.8,0.2,8.0,0.0,NNE,44,16:23,23.1,83,8,SSW,26,1016.7,23.9,83,8,NE,26,1015.7
,2026-02-9,21.6,29.0,6.0,2.2,2.4,NNW,30,11:42,22.7,92,8,NNW,15,1012.7,27.2,70,7,SSE,4,1011.3
,2026-02-10,21.3,28.5,1.8,5.6,7.7,SSE,28,10:23,24.0,79,3,SW,13,1016.6,28.2,56,4,E,13,1013.6
,2026-02-11,21.6,34.1,0,3.2,11.1,NE,44,17:20,24.8,77,3,NW,13,1012.9,32.7,48,2,NE,30,1006.1
,2026-02-12,22.6,23.6,0,9.2,0.9,SSE,63,14:30,23.1,86,7,SSW,37,1002.8,19.6,90,7,SSE,46,1006.4
,2026-02-13,17.5,21.9,1.8,5.8,0.0,S,43,00:45,20.3,61,8,ESE,19,1016.7,21.1,61,8,S,30,1017.1
,2026-02-14,17.6,24.8,6.2,4.2,0.4,SSW,39,07:44,18.9,93,7,SW,13,1021.5,22.7,57,7,E,28,1020.6
,2026-02-15,17.4,22.6,2.2,5.0,0.8,SSE,39,15:54,18.4,94,8,WSW,11,1020.2,21.5,73,8,SE,19,1018.4
,2026-02-16,17.4,26.1,1.6,2.6,9.5,ESE,35,14:35,21.3,87,3,SSW,20,1017.7,24.2,61,4,SE,20,1015.8
,2026-02-17,18.4,28.4,0.8,4.8,12.7,NE,57,17:37,22.4,70,1,NW,9,1014.1,28.1,46,1,NE,33,1009.1
,2026-02-18,21.2,36.6,0.4,9.6,7.4,WNW,61,10:53,26.1,55,2,NNW,15,1006.3,22.8,85,7,SSW,39,1006.8
,2026-02-19,20.5,28.3,0.8,7.0,6.8,ENE,39,15:58,21.6,88,8,SW,11,1014.8,27.7,68,1,E,26,1014.0
,2026-02-20,21.5,27.4,0,6.0,0.8,NE,41,16:24,24.6,63,7,NE,20,1018.3,26.2,63,8,NNE,24,1015.5
,2026-02-21,22.4,32.6,0,6.0,9.4,S,41,19:36,24.7,89,2,ESE,6,1011.6,29.1,57,5,SE,20,1009.4
,2026-02-22,22.3,35.9,0,5.6,7.7,W,74,16:56,25.0,80,5,NW,15,1011.0,33.6,44,7,ENE,19,1006.2
,2026-02-23,23.0,26.6,0.4,7.6,2.1,SSW,48,20:21,25.7,74,7,SSW,20,1011.0,24.5,83,7,S,30,1013.6
,2026-02-24,21.5,31.4,0,3.6,2.6,NE,57,17:25,23.6,82,7,SW,11,1018.0,30.1,46,1,NE,35,1015.1
,2026-02-25,23.4,28.4,0.2,10.8,4.7,SSW,54,20:22,25.3,70,6,NNE,15,1014.3,24.4,85,8,S,28,1014.2
,2026-02-26,19.6,24.6,0.8,3.8,1.6,SSW,59,01:00,21.1,92,8,SSW,26,1018.5,22.6,91,8,SSE,22,1017.3
,2026-02-27,20.1,25.8,45.2,1.6,0.0,SE,41,23:11,21.1,90,7,ESE,22,1018.4,25.0,66,8,ESE,28,1018.1
,2026-02-28,20.6,27.3,4.2,4.0,4.8,ESE,35,23:13,23.6,59,7,ESE,15,1019.7,25.4,56,5,ESE,22,1017.8
