"Daily Weather Observations for Wagga Wagga, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  8 May 2026   IDCJDW2139.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,0.9,15.4,0,,,SW,33,15:17,5.8,98,8, ,Calm,1026.8,13.6,61,7,W,19,1023.0
,2025-09-2,-0.8,14.9,0,,,W,28,13:33,6.8,88,7,NNE,2,1025.5,13.4,58,4,WSW,15,1022.2
,2025-09-3,0.9,20.4,0,,,WNW,44,15:07,9.7,71,8,NE,6,1022.1,20.2,40,5,WNW,22,1017.3
,2025-09-4,4.7,17.1,0,,,WSW,31,13:40,10.8,64,3,NW,9,1020.0,15.5,53,8,WSW,19,1018.7
,2025-09-5,0.1,16.3,0,,,ENE,30,23:57,9.3,80,,SE,9,1027.6,15.8,40,,SE,6,1026.0
,2025-09-6,4.9,21.2,0,,,E,39,01:01,13.2,60,7,E,20,1029.6,21.0,43,,N,17,1024.8
,2025-09-7,11.6,19.9,0,,,NNE,39,09:30,17.6,57,1,NNE,22,1023.9,18.9,65,8,SSE,7,1020.9
,2025-09-8,14.6,23.9,0.6,,,W,46,14:48,16.5,73,6,NNW,15,1018.0,22.6,35,,W,24,1015.7
,2025-09-9,5.3,19.7,0.2,,,N,24,08:44,10.5,81,6,N,13,1018.4,19.0,47,6,WSW,13,1013.7
,2025-09-10,6.0,14.6,0,,,E,43,15:01,12.2,63,8,SE,13,1007.9,13.8,83,8,E,28,1000.9
,2025-09-11,8.0,16.9,33.2,,,SW,33,14:30,11.7,69,,W,9,1013.9,15.3,56,3,WSW,26,1016.3
,2025-09-12,1.9,15.7,0.2,,,WSW,35,16:12,9.2,77,,NNW,9,1024.9,14.9,56,2,WSW,17,1023.5
,2025-09-13,1.2,18.4,0,,,WSW,28,13:55,9.7,82,,E,9,1028.5,17.6,56,1,WSW,17,1025.2
,2025-09-14,1.7,18.9,0,,,WNW,17,14:09,10.1,86,7,E,9,1026.5,17.9,51,6,WSW,6,1022.0
,2025-09-15,6.9,22.5,0,,,NNE,30,13:47,13.7,73,,E,11,1022.0,22.1,38,,N,19,1016.5
,2025-09-16,9.9,18.9,0,,,NNW,33,08:46,17.2,62,8,NNW,17,1013.6,18.7,70,8,NNE,4,1010.8
,2025-09-17,9.0,15.8,0.2,,,WNW,37,15:53,11.6,83,8,WNW,9,1020.3,15.3,45,1,W,24,1019.8
,2025-09-18,0.7,17.7,0,,,NE,19,14:53,10.0,74,,E,13,1026.1,16.7,44,,ENE,11,1022.1
,2025-09-19,4.9,19.0,0,,,NNE,48,18:06,12.3,67,,E,17,1018.9,18.0,55,8,NE,17,1012.8
,2025-09-20,9.7,15.1,5.0,,,WSW,48,13:39,10.6,76,8,WSW,22,1013.5,14.1,46,6,WSW,24,1013.3
,2025-09-21,4.1,15.6,0,,,,,,12.3,73,1,WSW,19,1019.6,14.5,68,8,WNW,20,1017.2
,2025-09-22,8.6,15.7,0,,,WSW,52,13:02,11.3,69,,WSW,26,1021.7,14.0,50,8,W,41,1022.2
,2025-09-23,-0.5,16.8,0,,,W,31,11:04,9.8,71,,WSW,7,1028.8,16.2,54,1,W,17,1025.3
,2025-09-24,1.7,15.9,0,,,WSW,31,15:00,8.9,88,8,NNE,4,1024.2,14.8,66,8,WSW,24,1021.2
,2025-09-25,0.6,18.4,0,,,WNW,33,12:10,10.2,81,8,NW,9,1020.0,18.1,59,4,NNW,11,1015.3
,2025-09-26,2.3,25.7,0,,,WNW,56,15:00,13.7,71,,N,2,1014.6,25.2,26,,WNW,41,1009.8
,2025-09-27,3.5,23.6,0,,,NW,24,12:21,14.7,65,,NNW,7,1015.5,22.7,48,1,W,6,1011.3
,2025-09-28,6.9,19.3,0,,,SW,33,14:38,15.4,67,,W,13,1015.8,18.7,46,,WSW,24,1014.8
,2025-09-29,1.5,20.9,0,,,NE,19,13:00,12.7,69,,E,9,1021.0,20.0,41,,S,7,1015.7
,2025-09-30,8.7,27.2,0,,,WSW,52,17:02,16.4,57,7,ENE,17,1010.4,25.8,30,8,NNE,26,1001.9
