"Daily Weather Observations for Wagga Wagga, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2139.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,4.7,19.0,0,,,WNW,43,14:54,13.3,63,5,NW,24,1011.5,18.4,41,8,WNW,26,1009.5
,2025-10-2,6.5,15.6,0.2,,,NW,50,13:02,11.3,67,8,W,28,1011.2,13.9,55,3,W,24,1011.8
,2025-10-3,5.1,18.0,2.4,,,SW,35,15:54,12.0,73,1,W,22,1020.8,16.9,55,8,WSW,24,1020.4
,2025-10-4,3.2,22.9,0,,,WSW,24,12:14,13.4,73,,NE,6,1026.2,22.2,46,,W,13,1022.0
,2025-10-5,6.0,28.3,0,,,,,,13.1,76,,E,13,1021.6,27.0,24,,NW,11,1015.9
,2025-10-6,10.4,18.6,0,,,W,33,09:40,17.1,69,6,W,17,1014.3,13.4,72,8,WSW,19,1016.3
,2025-10-7,1.6,18.2,0,,,,,,6.4,98,8,ENE,9,1019.0,16.4,52,7,,,1015.6
,2025-10-8,3.4,26.6,0,,,NW,26,14:07,11.4,71,,E,9,1013.2,24.9,42,1,NW,15,1007.5
,2025-10-9,11.4,22.6,0,,,WNW,61,00:35,16.5,88,8,WNW,13,1010.4,21.6,44,1,WNW,24,1012.0
,2025-10-10,4.0,25.1,1.8,,,WNW,48,14:55,14.8,67,,ENE,6,1015.8,24.1,25,,NW,28,1012.7
,2025-10-11,3.4,23.7,0,,,WNW,37,14:34,13.0,64,,NW,9,1015.7,21.9,32,,WNW,19,1012.6
,2025-10-12,2.1,20.1,0,,,NW,37,10:47,12.2,63,,N,6,1014.0,18.8,39,8,NW,24,1012.2
,2025-10-13,2.9,20.1,0,,,W,48,09:10,12.2,67,,SW,11,1018.9,18.8,28,,W,17,1017.7
,2025-10-14,0.1,23.8,0,,,WNW,46,13:04,11.1,59,,E,9,1020.0,23.0,31,,WNW,26,1017.5
,2025-10-15,3.8,26.0,0,,,WNW,20,12:21,14.0,62,,E,11,1023.3,25.4,28,,SE,9,1019.4
,2025-10-16,6.8,31.2,0,,,W,43,13:19,16.4,55,,ESE,13,1019.5,30.8,15,,NW,20,1013.9
,2025-10-17,11.3,28.0,0,,,WSW,50,01:36,21.0,42,,WNW,4,1013.2,26.9,22,7,WSW,22,1011.7
,2025-10-18,4.1,25.4,0,,,WSW,39,10:14,14.2,58,,N,7,1016.4,24.4,22,,SW,17,1014.2
,2025-10-19,5.9,29.6,0,,,NNE,28,09:40,16.1,67,,ESE,13,1016.6,28.1,20,6,WNW,13,1011.6
,2025-10-20,11.9,34.1,0,,,,,,22.0,47,,,,1010.8,31.5,17,7,W,24,1008.4
,2025-10-21,12.0,24.8,0,,,SSE,28,21:19,16.0,73,8,NNE,9,1013.2,23.5,41,8,S,7,1010.5
,2025-10-22,16.0,21.8,0,,,W,65,17:58,21.2,64,8,NE,11,1000.8,18.2,75,8,W,17,1002.9
,2025-10-23,5.7,22.6,0.8,,,WSW,33,00:29,12.5,71,,NE,6,1016.1,21.6,31,4,WSW,19,1013.4
,2025-10-24,3.2,23.0,0,,,SW,44,09:46,13.7,60,,SW,4,1016.0,21.8,33,1,WSW,24,1015.2
,2025-10-25,5.2,24.6,0,,,W,28,14:11,15.0,57,,NE,7,1017.0,23.2,28,6,W,15,1012.8
,2025-10-26,15.0,23.7,0,,,W,59,14:24,18.6,47,8,N,9,1005.7,22.4,59,8,NW,22,999.2
,2025-10-27,10.4,21.9,8.0,,,W,50,15:32,14.3,77,3,WSW,20,1005.2,21.4,37,3,WSW,19,1007.1
,2025-10-28,8.5,18.9,0,,,E,56,08:21,11.8,41,6,E,39,1017.7,17.5,44,8,ENE,24,1015.9
,2025-10-29,9.0,21.8,0,,,E,33,08:05,15.5,54,1,E,19,1017.9,20.7,43,8,NE,13,1014.5
,2025-10-30,8.1,25.4,0,,,W,26,14:12,17.2,66,1,NE,13,1017.0,24.5,30,7,W,6,1014.2
,2025-10-31,14.3,26.1,0,,,E,37,17:05,18.4,64,8,E,13,1016.7,24.5,41,8,ENE,19,1014.0
