"Daily Weather Observations for Wagga Wagga, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2139.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,11.7,30.0,0.4,,,E,33,01:05,21.0,58,,E,13,1014.9,28.6,30,2,ENE,7,1010.9
,2025-11-2,17.2,31.9,0,,,E,39,02:18,22.6,50,,E,17,1012.6,30.7,27,1,SSW,7,1007.0
,2025-11-3,16.1,25.6,0,,,W,54,14:47,19.4,61,8,NNW,4,1002.9,20.9,57,6,W,28,1001.4
,2025-11-4,9.0,14.2,9.4,,,WNW,61,14:01,9.4,91,8,NW,20,1006.2,11.4,80,8,WNW,31,1007.3
,2025-11-5,8.9,20.7,6.0,,,W,41,01:39,11.9,74,8,WSW,20,1015.6,19.0,39,1,W,17,1014.8
,2025-11-6,5.3,26.0,0,,,W,30,12:13,14.6,65,,E,13,1018.3,24.6,28,,SW,13,1014.2
,2025-11-7,14.6,32.2,0,,,N,43,14:12,19.5,50,8,E,13,1010.1,31.3,14,4,NW,24,1005.4
,2025-11-8,17.4,26.5,0.2,,,WNW,52,14:31,22.6,55,,NNW,20,1003.0,23.6,41,6,W,31,1003.9
,2025-11-9,7.9,22.6,0,,,WSW,39,15:39,13.4,62,,WSW,19,1013.3,21.2,32,2,SW,22,1011.8
,2025-11-10,6.3,23.0,0,,,W,52,14:54,15.8,50,,NW,11,1015.9,21.4,29,,WSW,24,1013.3
,2025-11-11,5.0,18.9,0,,,WSW,61,10:56,15.0,51,6,W,22,1012.6,16.5,37,3,WSW,41,1014.9
,2025-11-12,1.2,21.7,0.2,,,WSW,39,10:28,10.9,53,,NNE,6,1020.9,19.5,27,,WNW,19,1017.5
,2025-11-13,3.2,28.8,0,,,NW,52,11:27,15.5,41,,ESE,9,1014.2,27.6,11,4,NW,28,1007.7
,2025-11-14,11.8,29.7,0,,,NNW,35,12:42,20.0,37,8,N,7,1009.0,27.7,22,6,NW,11,1005.8
,2025-11-15,17.0,33.8,0,,,W,70,21:25,25.3,39,,NNE,26,1005.1,33.1,15,8,WNW,46,1000.0
,2025-11-16,13.9,26.5,0,,,WNW,63,13:44,19.9,47,,WNW,15,1005.5,23.2,30,6,W,41,1003.1
,2025-11-17,10.3,19.3,0.4,,,W,63,23:07,12.3,77,8,W,22,1006.3,17.6,36,8,WSW,28,1005.4
,2025-11-18,9.7,26.0,0,,,WSW,41,13:31,16.9,62,4,SW,15,1011.1,23.8,37,,W,22,1009.1
,2025-11-19,10.2,30.9,0,,,W,63,11:43,20.8,45,,NNE,6,1010.8,29.5,24,4,WNW,31,1007.0
,2025-11-20,11.1,28.0,0,,,W,46,15:57,20.9,40,6,W,15,1011.5,27.1,19,,W,26,1010.6
,2025-11-21,5.0,27.8,0,,,ENE,63,22:44,17.7,50,2,E,11,1017.2,26.5,34,,ENE,17,1014.3
,2025-11-22,15.8,27.6,0,,,ENE,54,23:06,20.6,56,8,ENE,30,1016.1,26.1,46,6,ENE,26,1011.4
,2025-11-23,18.3,31.4,0.4,,,WSW,50,14:05,20.9,73,7,NW,11,1009.0,30.0,30,2,WSW,33,1005.5
,2025-11-24,15.0,34.4,0,,,N,63,20:57,22.4,54,,ENE,13,1006.6,31.6,27,8,SSW,7,1002.6
,2025-11-25,16.2,33.4,1.8,,,W,54,13:20,24.1,57,,NNW,9,1001.7,32.2,21,1,WNW,35,999.3
,2025-11-26,11.6,29.6,0,,,WSW,81,13:37,20.8,43,8,NNE,11,998.6,28.1,19,,W,56,997.6
,2025-11-27,9.2,26.4,0,,,WSW,56,13:16,16.6,44,,W,24,1005.9,24.7,25,,W,22,1004.9
,2025-11-28,7.5,30.0,0,,,NW,54,15:02,19.4,38,,NW,4,1009.5,28.5,19,,W,31,1004.2
,2025-11-29,16.3,25.4,0.6,,,WSW,59,13:00,17.1,87,8,WNW,30,1000.5,23.8,37,2,WSW,35,1002.2
,2025-11-30,8.5,20.9,2.6,,,W,74,15:11,15.4,62,8,WNW,17,1007.6,19.2,36,8,WNW,35,1006.7
