"Daily Weather Observations for Wagga Wagga, New South Wales for January 2026"
"Prepared at 13:00 UTC on Monday  4 May 2026   IDCJDW2139.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,16.6,30.3,0,,,ENE,52,22:35,22.4,49,,ENE,30,1011.4,28.3,32,4,ENE,17,1009.6
,2026-01-2,15.6,32.7,0,,,E,52,23:24,19.7,45,,NE,24,1014.8,30.1,25,,N,17,1011.1
,2026-01-3,17.8,34.3,0,,,ENE,41,23:12,23.8,49,,E,24,1012.4,32.8,31,1,N,17,1007.5
,2026-01-4,21.6,35.4,0,,,ENE,50,20:40,24.7,57,4,NE,9,1009.7,29.8,27,8,WSW,22,1006.8
,2026-01-5,16.8,36.3,0,,,W,46,16:35,25.2,46,1,E,15,1010.3,34.3,21,,WNW,17,1006.9
,2026-01-6,19.4,37.2,0,,,ENE,41,23:10,25.1,51,,ENE,19,1014.2,34.9,19,,NW,9,1011.6
,2026-01-7,21.5,41.0,0,,,NW,37,13:51,29.6,45,,ENE,15,1016.7,39.3,14,,W,13,1012.5
,2026-01-8,24.5,43.1,0,,,NNW,46,13:05,33.0,25,,N,22,1014.5,41.2,13,1,NW,20,1011.0
,2026-01-9,24.1,41.4,0,,,NNW,61,16:21,33.1,22,,N,13,1010.9,40.5,11,,NNW,33,1005.5
,2026-01-10,26.4,33.8,0,,,W,59,14:01,29.4,24,,W,17,1005.9,33.0,16,,W,24,1005.2
,2026-01-11,15.6,31.1,0,,,ENE,57,22:13,20.2,43,5,WSW,9,1012.3,29.6,18,,NNW,11,1010.9
,2026-01-12,16.1,32.3,0,,,ENE,61,23:11,21.1,43,,E,31,1016.2,31.0,25,1,E,15,1011.3
,2026-01-13,18.6,36.3,0,,,E,33,22:34,24.9,49,,E,17,1010.2,34.1,22,1,SW,9,1006.4
,2026-01-14,22.4,38.3,0,,,ENE,46,20:55,26.4,50,,ENE,26,1007.2,36.6,22,1,WNW,20,1002.3
,2026-01-15,21.5,36.5,0,,,W,57,16:39,26.4,56,,ENE,19,1005.2,35.4,19,1,NW,20,999.9
,2026-01-16,15.2,32.5,0,,,ESE,57,16:54,23.9,45,,SE,13,1004.6,31.8,23,8,SE,24,1002.7
,2026-01-17,18.2,26.0,0.2,,,ENE,48,11:26,19.7,60,8,SE,24,1009.7,20.8,70,8,E,20,1010.2
,2026-01-18,16.8,30.2,1.8,,,ENE,56,21:19,22.4,42,2,E,30,1012.2,28.4,32,2,ENE,26,1011.0
,2026-01-19,14.8,31.1,0,,,E,59,22:15,21.8,47,,ENE,30,1013.0,30.4,28,1,NNE,20,1009.1
,2026-01-20,18.2,31.7,0,,,SSW,61,17:56,21.2,52,4,ENE,22,1010.2,30.1,31,,E,7,1006.0
,2026-01-21,13.7,34.2,0,,,WSW,48,17:20,21.7,56,,NE,13,1007.1,32.5,26,3,WNW,17,1002.1
,2026-01-22,14.5,30.8,0,,,SSW,39,12:37,18.4,51,,W,20,1008.2,28.6,18,,WSW,24,1007.2
,2026-01-23,15.5,32.5,0,,,ENE,52,07:09,20.2,34,,ENE,35,1014.7,30.5,20,,NNW,11,1011.6
,2026-01-24,17.8,37.8,0,,,W,37,14:46,22.9,48,,ENE,17,1012.1,35.6,15,,W,22,1007.2
,2026-01-25,17.8,44.3,0,,,WNW,54,15:38,26.5,40,7,ESE,15,1008.1,42.5,9,,W,28,1004.8
,2026-01-26,21.5,42.8,0,,,W,41,14:10,29.4,26,,ENE,15,1008.3,41.4,11,,SSW,13,1005.9
,2026-01-27,19.6,40.4,0,,,ENE,37,00:12,24.0,46,,NE,19,1010.5,38.0,16,,N,13,1006.8
,2026-01-28,22.0,44.8,0,,,E,44,21:50,31.1,27,,NE,13,1010.4,42.5,12,,WNW,13,1007.8
,2026-01-29,27.3,41.6,0,,,ENE,35,09:23,30.1,32,,E,24,1015.4,39.3,15,,N,15,1011.6
,2026-01-30,23.1,43.2,0,,,NW,50,15:27,28.2,49,,ENE,17,1014.6,41.7,16,,NW,20,1008.7
,2026-01-31,24.3,44.0,0,,,WSW,54,14:38,33.2,32,4,E,17,1007.2,42.6,15,3,W,22,1002.3
