"Daily Weather Observations for Bankstown, New South Wales for April 2025"
"Prepared at 13:00 UTC on Sunday 12 April 2026   IDCJDW2008.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,16.6,25.0,0,,,S,37,13:51,19.4,69,4,SW,13,1015.3,22.4,54,7,S,28,1013.1
,2025-04-2,13.7,25.3,0,,,ESE,31,16:30,15.3,78,7,WSW,9,1012.4,24.8,33,,ESE,6,1007.9
,2025-04-3,12.1,27.1,0,,,SW,33,11:59,16.3,87,,WNW,7,1011.4,26.9,30,,SSW,20,1009.3
,2025-04-4,13.3,26.0,0,,,ESE,35,15:01,17.8,80,,W,7,1016.5,24.5,55,8,SE,19,1014.2
,2025-04-5,13.9,26.9,0,,,SE,39,14:30,18.6,47,,SW,11,1015.2,24.4,34,,SE,26,1014.5
,2025-04-6,11.3,26.4,0,,,WNW,28,11:19,18.0,66,,NW,7,1018.9,24.7,28,8,SSW,9,1013.6
,2025-04-7,12.2,27.3,0,,,SE,33,16:31,17.5,56,,NNW,6,1018.4,26.5,27,,SW,9,1015.8
,2025-04-8,14.3,22.5,0,,,SE,31,14:42,17.7,70,8,WSW,6,1025.3,21.3,60,,SE,17,1023.3
,2025-04-9,16.5,25.1,6.2,,,NE,33,16:28,22.0,66,,E,6,1025.3,22.7,62,,ENE,17,1021.4
,2025-04-10,13.5,25.2,0,,,NE,19,16:06,18.1,86,5, ,Calm,1023.2,24.7,59,,ENE,13,1019.8
,2025-04-11,13.9,30.9,0,,,SE,39,15:06,20.6,71,,WNW,9,1023.8,29.2,33,5,SSW,4,1022.3
,2025-04-12,15.7,26.6,0,,,SE,31,12:23,21.6,71,,SW,6,1030.9,24.7,64,,ESE,19,1028.5
,2025-04-13,15.2,27.5,0,,,SE,28,14:33,22.6,70,,SSW,9,1029.7,26.1,47,,ENE,9,1026.1
,2025-04-14,13.9,29.9,0,,,SSE,50,13:55,17.1,96,, ,Calm,1025.7,25.6,52,,SSE,37,1022.6
,2025-04-15,17.1,23.5,2.2,,,SSE,44,11:31,19.5,76,8,SSW,13,1027.7,22.2,44,,SSE,28,1025.5
,2025-04-16,15.5,23.4,0,,,SE,37,15:21,19.0,59,8,SW,15,1022.6,23.0,53,,SSE,20,1018.3
,2025-04-17,15.6,25.2,0,,,SSE,39,15:38,20.6,65,,SW,13,1016.8,24.1,47,,SSE,26,1014.2
,2025-04-18,12.7,25.6,0,,,E,28,14:14,18.9,64,,WSW,13,1015.0,25.1,41,,S,6,1012.0
,2025-04-19,12.5,30.7,0,,,ENE,26,17:05,18.5,72,,WNW,11,1013.5,29.9,25,,N,7,1009.5
,2025-04-20,11.3,30.8,0,,,NNE,31,17:26,20.0,60,,WNW,9,1013.5,28.9,32,,ENE,13,1009.3
,2025-04-21,14.9,27.2,0,,,WSW,33,14:21,16.1,85,, ,Calm,1010.1,26.7,29,,SW,17,1009.2
,2025-04-22,12.1,24.3,0,,,S,48,11:18,21.7,67,,SW,13,1015.0,23.3,70,8,S,26,1013.3
,2025-04-23,17.4,25.1,10.6,,,E,46,03:51,21.0,80,,ESE,15,1022.2,23.8,62,,ESE,30,1021.0
,2025-04-24,13.8,25.6,0.4,,,SE,37,12:58,17.5,92,1, ,Calm,1024.2,23.6,55,1,E,19,1020.3
,2025-04-25,15.1,22.9,0.4,,,WNW,19,11:43,16.9,99,8,WNW,9,1021.0,21.9,73,8, ,Calm,1016.9
,2025-04-26,14.0,24.4,0.4,,,NE,31,22:17,16.2,99,, ,Calm,1017.1,23.3,68,,ENE,15,1013.5
,2025-04-27,17.0,21.2,32.6,,,SSW,35,21:38,18.1,99,7,WSW,7,1011.7,20.2,74,,S,15,1008.9
,2025-04-28,16.6,22.7,10.2,,,SW,43,12:07,19.8,75,8,WSW,9,1014.8,22.1,63,7,S,20,1014.4
,2025-04-29,13.1,24.8,0.6,,,ESE,37,12:46,16.4,89,, ,Calm,1017.6,18.7,92,8,S,13,1016.8
,2025-04-30,15.1,18.6,15.0,,,SSW,44,10:51,16.1,87,,SW,13,1021.4,14.2,90,8,WSW,13,1022.8
