"Daily Weather Observations for Bankstown, New South Wales for June 2025"
"Prepared at 13:00 UTC on Friday 10 April 2026   IDCJDW2008.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,7.1,20.7,0,,,N,19,14:11,12.5,90,,WNW,9,1027.5,20.3,57,,N,11,1023.7
,2025-06-2,7.7,18.0,0.2,,,W,15,10:47,13.4,85,,NW,7,1020.3,17.3,69,, ,Calm,1014.3
,2025-06-3,8.0,19.8,0,,,SSE,30,14:39,12.5,91,,WSW,9,1009.9,19.2,39,,S,19,1008.2
,2025-06-4,9.6,15.5,0.8,,,S,41,13:26,10.1,83,,SW,17,1015.4,15.4,54,8,SSW,24,1016.9
,2025-06-5,4.3,18.3,0.6,,,WSW,31,09:12,11.4,58,,WSW,17,1024.2,18.2,45,5,W,9,1022.5
,2025-06-6,3.7,15.9,0.2,,,NNW,15,08:29,8.6,81,,NW,9,1022.3,14.8,53,,NW,7,1017.2
,2025-06-7,6.5,20.2,0,,,WNW,48,13:46,14.6,60,2,NNW,11,1011.1,19.3,34,1,WNW,22,1006.1
,2025-06-8,8.3,16.5,0,,,WNW,48,11:50,14.8,43,,WNW,22,1006.1,16.1,34,,WNW,24,1002.9
,2025-06-9,5.9,16.1,0,,,WNW,48,13:06,11.0,53,,NW,13,1002.8,14.3,43,,WNW,19,999.6
,2025-06-10,5.6,17.8,1.6,,,W,44,15:34,15.7,53,,W,15,1008.1,17.6,43,,WSW,19,1007.0
,2025-06-11,3.3,17.0,0,,,W,35,11:42,7.6,86,,N,2,1013.5,16.3,41,,WSW,17,1012.2
,2025-06-12,3.8,16.6,0,,,W,26,10:20,11.6,61,,WSW,13,1019.5,15.2,52,1,SSE,13,1017.8
,2025-06-13,6.2,16.8,0,,,SSE,35,15:01,10.3,68,2,WSW,13,1022.5,15.2,57,8,S,19,1021.4
,2025-06-14,6.6,17.6,0,,,SE,31,16:10,11.0,76,3,W,9,1023.8,15.4,66,,SE,15,1021.7
,2025-06-15,5.4,19.2,0.2,,,SW,28,16:49,7.8,99,,NW,6,1023.3,17.7,53,8, ,Calm,1020.0
,2025-06-16,2.9,17.9,0.6,,,WNW,17,10:13,8.0,86,,WNW,9,1025.0,17.5,38,,N,2,1021.5
,2025-06-17,1.4,19.4,0.2,,,WNW,37,12:48,3.5,97,, ,Calm,1023.2,18.4,40,,WNW,7,1018.8
,2025-06-18,2.6,17.7,0,,,WNW,19,11:00,11.9,59,,WSW,9,1026.3,16.1,42,,WNW,9,1025.3
,2025-06-19,2.4,18.5,0,,,W,13,11:50,7.4,83,,WNW,7,1028.7,17.9,46,,NW,7,1024.9
,2025-06-20,3.6,18.8,0,,,ESE,19,16:18,8.6,79,,WNW,9,1030.1,18.1,51,,NE,7,1027.8
,2025-06-21,3.5,19.2,0,,,WNW,13,09:34,4.6,98,,NNW,6,1031.7,17.8,50,,WNW,9,1028.9
,2025-06-22,2.8,19.1,0.2,,,WNW,15,12:31,7.7,83,,NNW,7,1029.8,17.9,51,, ,Calm,1025.1
,2025-06-23,2.3,22.9,0,,,NE,22,14:09,11.5,70,,W,6,1024.1,22.6,49,,N,13,1018.3
,2025-06-24,7.4,22.5,0,,,N,41,12:25,16.8,77,,N,13,1011.2,22.2,38,4,NW,20,1006.6
,2025-06-25,10.4,17.2,2.6,,,WNW,61,13:13,14.4,42,,WNW,26,1008.3,16.2,44,1,WNW,26,1006.4
,2025-06-26,5.5,16.2,0,,,WSW,33,10:27,7.6,61,,WSW,9,1023.7,14.0,44,,S,17,1027.1
,2025-06-27,5.2,15.8,0,,,,,,10.2,62,8,WSW,9,1032.0,15.6,57,8,S,13,1029.4
,2025-06-28,4.5,18.4,0,,,ESE,20,15:18,9.6,81,8,WNW,6,1029.7,17.6,54,8,NNE,6,1026.4
,2025-06-29,3.6,19.8,0,,,NW,15,10:09,11.8,77,,WNW,9,1026.5,19.2,45,,NNE,2,1023.4
,2025-06-30,6.5,18.0,0,,,SSE,28,15:30,7.2,85,, ,Calm,1026.3,16.6,61,,S,17,1023.4
