"Daily Weather Observations for Bankstown, New South Wales for July 2025"
"Prepared at 13:00 UTC on Sunday 10 May 2026   IDCJDW2008.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,10.8,15.3,10.6,,,W,52,13:40,11.8,92,8,WSW,19,1013.2,11.5,88,8,WSW,26,1003.0
,2025-07-2,10.8,18.1,50.2,,,WSW,61,18:03,14.1,90,,WSW,20,1001.4,16.0,71,7,WSW,24,1001.8
,2025-07-3,12.9,18.4,1.0,,,WSW,46,10:47,15.1,61,,SW,17,1009.9,18.1,46,,WSW,22,1009.7
,2025-07-4,6.4,19.0,0.2,,,WSW,24,09:59,9.0,92,, ,Calm,1020.0,18.3,47,,ESE,6,1018.8
,2025-07-5,4.1,18.9,0,,,NE,22,16:05,8.8,95,8,WNW,7,1025.5,17.0,66,,NE,13,1021.4
,2025-07-6,8.8,21.8,0,,,WNW,61,18:02,10.7,96,, ,Calm,1019.4,21.0,53,,N,13,1013.4
,2025-07-7,7.6,16.6,5.6,,,SW,31,12:27,9.4,94,,NNW,4,1016.0,15.4,58,8,W,11,1013.9
,2025-07-8,4.0,16.3,0.2,,,N,22,15:09,10.5,84,,WNW,7,1013.4,14.7,64,,N,9,1008.1
,2025-07-9,3.6,20.0,0,,,N,19,01:41,9.1,83,,WSW,6,1010.4,19.5,40,,N,9,1006.7
,2025-07-10,4.1,15.9,0,,,WNW,70,14:17,15.3,38,,WNW,26,1005.0,14.7,43,,WNW,33,1003.2
,2025-07-11,8.1,18.5,0,,,W,54,14:10,9.1,64,,WNW,15,1016.6,16.9,44,,W,31,1016.7
,2025-07-12,4.2,20.1,0,,,WSW,24,11:15,10.9,75,,S,4,1023.9,16.7,49,1,SE,11,1022.8
,2025-07-13,2.9,17.0,0,,,NW,17,12:20,8.0,81,,NNW,6,1022.0,16.7,45,,WNW,2,1015.8
,2025-07-14,8.0,19.0,0,,,WSW,35,08:47,15.5,37,,WSW,17,1012.9,18.2,27,,WSW,11,1012.1
,2025-07-15,3.6,14.4,0,,,,,,5.7,87,,SW,6,1012.3,13.8,52,8,WSW,9,1010.5
,2025-07-16,2.3,18.1,0,,,WNW,26,11:20,8.5,72,,NW,2,1018.4,17.5,36,,WNW,11,1016.5
,2025-07-17,2.5,17.2,0,,,WNW,17,10:04,5.1,86,, ,Calm,1019.6,16.7,39,,WNW,7,1015.4
,2025-07-18,4.5,16.5,0,,,SSE,37,14:33,10.4,83,,W,9,1019.8,15.7,56,,S,22,1017.9
,2025-07-19,3.2,19.0,0.4,,,W,17,05:40,6.4,91,,NNW,7,1019.9,18.4,32,,WNW,6,1016.8
,2025-07-20,1.6,19.0,0,,,SSE,37,14:37,9.1,68,,NW,7,1023.0,16.7,61,1,SSE,24,1021.5
,2025-07-21,5.9,19.4,0.6,,,ESE,22,15:48,8.1,99,, ,Calm,1025.4,17.7,70,8,E,13,1021.1
,2025-07-22,7.0,19.0,0.2,,,NNE,22,16:22,10.4,99,8, ,Calm,1019.4,18.3,65,,NW,9,1014.5
,2025-07-23,10.4,19.7,2.0,,,WSW,37,15:29,11.9,99,,N,9,1013.1,16.7,38,,WSW,17,1012.9
,2025-07-24,4.5,17.4,0,,,WSW,30,09:43,13.0,52,,W,15,1021.4,17.0,31,,WSW,11,1019.0
,2025-07-25,1.8,18.2,0,,,NE,24,16:04,5.4,89,,WNW,2,1023.8,17.7,33,,ENE,13,1019.8
,2025-07-26,7.6,19.8,2.4,,,NNE,37,12:38,12.0,88,8,NE,13,1011.3,19.0,59,1,N,17,1005.1
,2025-07-27,12.0,19.5,0,,,WNW,41,11:03,14.2,62,,NNW,13,1004.9,16.6,49,8,WNW,19,1002.8
,2025-07-28,8.6,19.8,0,,,WNW,52,13:46,9.1,73,,N,7,1006.2,18.4,37,,W,30,1006.5
,2025-07-29,6.2,16.9,0,,,WNW,39,11:31,14.6,53,,W,20,1015.2,16.0,50,,SW,15,1012.4
,2025-07-30,7.9,11.2,0.6,,,WSW,22,23:11,10.4,88,7,SW,7,1014.6,11.0,97,,SSW,9,1013.5
,2025-07-31,9.3,15.5,17.0,,,S,48,14:06,10.8,93,8,SW,13,1020.2,14.3,61,8,S,20,1020.1
