"Daily Weather Observations for Bankstown, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  8 May 2026   IDCJDW2008.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,5.3,20.5,0,,,ESE,31,16:22,13.0,59,,WSW,13,1024.4,19.4,47,,SE,19,1020.5
,2025-09-2,8.0,20.9,0,,,E,30,15:20,12.3,87,,WNW,7,1024.9,19.7,49,,NE,13,1020.4
,2025-09-3,5.8,22.5,0,,,NW,24,12:38,7.4,93,,NW,2,1021.7,21.9,31,,NW,11,1018.0
,2025-09-4,9.0,24.6,0.2,,,NW,41,13:39,15.9,48,7,N,13,1019.8,24.3,24,,NW,15,1015.4
,2025-09-5,7.3,19.5,0,,,ESE,37,11:33,16.4,62,,SW,11,1027.2,18.2,49,,SE,24,1027.2
,2025-09-6,8.2,21.5,0,,,NE,33,15:49,9.4,88,, ,Calm,1031.9,19.4,54,,NE,20,1026.6
,2025-09-7,7.5,26.6,0,,,NNE,31,13:08,15.7,72,,NW,7,1026.0,25.0,44,,ENE,19,1019.8
,2025-09-8,15.2,29.5,0,,,NNW,37,14:19,23.5,38,,NW,11,1018.2,28.4,33,6,NNW,13,1012.5
,2025-09-9,14.8,26.5,2.0,,,WNW,28,04:05,18.6,78,7,NW,6,1015.6,26.1,42,1,NNW,9,1010.6
,2025-09-10,14.8,18.3,5.6,,,SE,54,17:17,16.4,97,,WNW,7,1009.1,15.8,98,8,S,13,1004.2
,2025-09-11,10.1,18.0,51.6,,,S,52,12:28,11.9,93,8,WSW,13,1009.1,16.7,51,8,S,26,1013.7
,2025-09-12,7.3,20.6,0.8,,,SE,31,15:18,14.6,66,,SW,13,1023.5,20.3,38,1,SSE,7,1020.6
,2025-09-13,7.9,22.3,0.2,,,ESE,33,14:34,12.8,67,,WSW,11,1026.9,20.1,49,2,ESE,20,1023.4
,2025-09-14,7.9,24.8,0,,,N,26,11:52,15.5,74,,NW,7,1025.6,24.5,33,,NW,4,1019.4
,2025-09-15,6.8,27.8,0.2,,,WNW,37,13:25,18.3,57,,WNW,4,1021.1,27.2,26,,WNW,15,1015.3
,2025-09-16,14.8,28.3,0,,,NNW,37,13:09,22.1,43,1,N,17,1015.5,27.8,28,,WNW,20,1010.1
,2025-09-17,17.6,26.3,0,,,W,41,21:37,20.5,53,,W,19,1015.8,24.3,25,,SSW,15,1014.0
,2025-09-18,7.7,21.7,0,,,ESE,31,15:13,15.6,47,,W,11,1025.2,19.8,55,,ESE,22,1020.9
,2025-09-19,7.7,25.5,0,,,WNW,28,15:49,13.1,77,,WNW,9,1020.9,24.3,30,,NNW,9,1013.9
,2025-09-20,16.1,22.6,2.8,,,W,50,12:49,21.2,39,,W,19,1007.4,22.0,27,,W,19,1008.5
,2025-09-21,8.0,22.6,0,,,W,35,19:21,16.4,40,,NW,15,1017.3,22.0,33,,NNW,13,1013.2
,2025-09-22,7.8,22.4,0,,,SSE,43,15:54,18.8,47,,W,15,1018.3,20.6,37,,S,17,1017.1
,2025-09-23,6.7,19.3,0.8,,,SW,30,08:10,11.8,47,,SW,17,1026.4,17.8,42,,SE,13,1022.7
,2025-09-24,6.8,26.0,0,,,SW,46,15:13,17.3,46,,WNW,9,1018.7,25.3,17,,WSW,22,1014.8
,2025-09-25,8.4,26.3,0,,,WSW,54,15:16,15.0,57,,NNW,9,1017.2,25.9,19,,W,22,1011.9
,2025-09-26,11.8,29.7,0,,,WNW,50,14:19,20.4,39,,NNW,11,1014.0,27.9,19,,WNW,24,1010.0
,2025-09-27,14.6,29.4,0,,,N,33,11:59,20.2,45,,SW,4,1014.6,28.7,24,,N,17,1010.0
,2025-09-28,12.7,24.6,0,,,ESE,41,14:42,20.5,66,,ESE,20,1013.6,20.8,62,,SE,30,1013.3
,2025-09-29,15.5,23.9,0,,,SE,31,14:36,18.1,70,8,W,9,1019.6,22.6,57,,SE,20,1015.0
,2025-09-30,11.9,28.4,0.2,,,NNE,33,12:13,21.1,67,1,N,9,1013.8,27.2,56,,ENE,22,1005.8
