"Daily Weather Observations for Bankstown, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2008.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,15.5,23.8,15.2,,,NE,56,03:20,18.9,78,7,E,9,1016.3,22.4,67,8,WNW,13,1013.9
,2025-11-2,14.1,25.4,1.2,,,E,26,14:12,18.7,87,8,SW,4,1015.0,24.7,62,8,ENE,11,1011.2
,2025-11-3,15.8,33.5,0,,,SW,52,22:09,18.0,100,, ,Calm,1006.3,31.5,53,,ENE,19,1000.6
,2025-11-4,17.2,23.8,3.6,,,WNW,57,09:55,21.5,41,,WNW,20,1006.7,20.1,36,8,WNW,26,1006.4
,2025-11-5,11.6,27.0,0,,,E,33,16:33,18.0,41,,WNW,15,1013.8,26.4,25,,NW,15,1011.3
,2025-11-6,9.8,26.9,0,,,ENE,41,16:42,18.3,52,,W,7,1019.2,24.2,44,,NE,28,1013.7
,2025-11-7,16.1,31.0,0,,,ENE,33,16:59,21.2,66,7,N,6,1013.3,29.6,34,,NNE,13,1009.5
,2025-11-8,17.5,35.5,0,,,NNW,48,12:47,23.5,69,5,NNW,4,1004.8,34.8,28,,NNW,20,998.4
,2025-11-9,15.4,22.8,0,,,W,41,07:08,18.4,45,,WSW,19,1010.4,21.3,46,2,SE,28,1010.5
,2025-11-10,13.7,25.0,0,,,NE,41,15:15,19.5,55,,WNW,9,1016.0,23.7,44,,ENE,24,1012.1
,2025-11-11,11.8,29.1,0,,,W,61,16:20,19.6,55,,WNW,11,1012.5,26.3,16,,WNW,33,1007.5
,2025-11-12,7.4,24.1,0,,,ESE,39,13:45,13.6,43,,W,9,1019.8,22.1,17,,S,11,1016.2
,2025-11-13,8.4,29.8,0,,,E,33,14:33,17.5,51,,WNW,9,1014.9,28.5,23,,ESE,9,1007.6
,2025-11-14,14.3,24.6,0,,,SE,43,14:18,22.0,60,,ESE,13,1010.5,23.9,50,,ESE,22,1008.9
,2025-11-15,19.2,29.4,0,,,NNE,48,15:06,21.9,71,5,WNW,9,1011.1,27.2,53,4,ENE,30,1004.1
,2025-11-16,19.0,32.1,7.2,,,WNW,41,12:37,23.2,66,5,S,7,1004.0,31.5,19,,WNW,20,999.2
,2025-11-17,15.4,24.5,0,,,SSW,46,04:18,20.3,30,,W,24,1002.6,22.3,31,7,SW,19,1002.7
,2025-11-18,12.3,29.3,0,,,NE,43,16:56,20.7,42,,WSW,15,1010.0,28.5,22,,NNW,9,1006.4
,2025-11-19,13.2,33.1,0,,,NE,41,14:37,22.6,50,,W,9,1011.2,32.8,18,,WNW,11,1006.3
,2025-11-20,15.8,26.0,0,,,SE,41,15:55,22.3,66,,SE,9,1011.4,22.7,62,8,SE,31,1009.8
,2025-11-21,15.3,21.4,0,,,SSE,39,12:13,16.4,81,8,SSW,15,1020.1,16.6,91,8,S,19,1020.3
,2025-11-22,16.3,21.9,0.2,,,ESE,28,14:56,21.3,70,,ESE,19,1019.0,21.2,76,8,SE,17,1016.0
,2025-11-23,18.3,32.0,9.4,,,SE,37,14:05,24.6,66,,NNW,9,1007.0,27.3,63,1,ESE,24,1003.6
,2025-11-24,15.8,26.2,0,,,SE,43,14:09,23.7,55,,S,11,1007.8,23.8,60,3,SSE,30,1006.3
,2025-11-25,17.1,34.0,0,,,SSE,30,12:54,22.7,62,,N,9,1001.8,29.4,52,6,E,17,997.3
,2025-11-26,17.5,35.6,0,,,W,61,16:48,29.7,43,,NNW,20,999.1,28.1,53,,NNW,13,995.8
,2025-11-27,16.1,32.8,0,,,W,48,12:33,24.7,45,,NNW,7,1002.0,31.9,15,,W,26,1000.6
,2025-11-28,15.8,33.0,0,,,ENE,37,14:34,22.0,64,,WNW,9,1009.5,31.3,35,,NE,20,1003.2
,2025-11-29,18.7,33.4,0,,,WSW,72,14:06,22.5,68,8,SW,7,998.5,31.6,25,,W,33,997.2
,2025-11-30,16.1,29.7,0,,,W,57,14:24,20.0,63,,W,6,1007.2,28.5,21,4,W,28,1002.4
