"Daily Weather Observations for Bankstown, New South Wales for January 2026"
"Prepared at 13:00 UTC on Monday  4 May 2026   IDCJDW2008.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,16.9,21.8,1.8,,,SSE,39,15:02,17.5,92,8,S,15,1015.1,21.0,52,8,SSE,24,1015.8
,2026-01-2,16.4,23.9,0,,,SE,31,12:18,20.6,60,8,S,7,1018.9,21.7,56,8,SE,22,1017.2
,2026-01-3,17.6,28.1,0.6,,,NE,46,15:55,21.5,76,8,NW,6,1017.0,25.6,54,,ENE,24,1013.2
,2026-01-4,18.6,34.2,2.6,,,SSW,56,14:39,23.7,71,,NE,11,1011.6,23.5,60,,S,28,1009.6
,2026-01-5,16.5,28.8,1.0,,,ESE,35,13:12,23.4,70,,S,11,1013.2,26.4,52,,ESE,22,1011.1
,2026-01-6,17.7,30.3,1.0,,,ESE,35,13:17,21.0,82,,WSW,9,1017.3,28.2,52,,ENE,22,1014.1
,2026-01-7,19.5,35.8,0,,,ENE,37,17:08,25.5,69,,WNW,6,1019.3,34.7,40,,E,20,1015.4
,2026-01-8,19.2,40.0,0,,,ENE,37,14:51,26.6,60,,NW,6,1016.3,38.6,26,,ENE,20,1012.4
,2026-01-9,19.4,37.5,0,,,NE,48,17:04,27.6,61,,W,11,1013.3,36.2,34,,ENE,22,1006.6
,2026-01-10,18.8,42.3,0,,,WNW,52,13:25,33.6,26,,NW,20,1005.4,41.1,16,,NW,20,1002.1
,2026-01-11,20.7,22.5,0,,,SSE,41,10:33,21.8,61,8,SSE,24,1014.5,20.5,64,8,SE,20,1016.6
,2026-01-12,16.7,22.9,2.6,,,E,31,14:59,18.6,71,,SSW,7,1019.6,21.0,77,8,E,20,1016.8
,2026-01-13,18.0,30.1,1.8,,,ENE,37,15:38,22.3,80,8,NNW,7,1012.7,29.1,53,1,ENE,20,1009.6
,2026-01-14,19.4,28.9,0,,,ENE,44,18:24,25.3,60,8,NNE,17,1012.1,27.5,51,6,NE,26,1009.6
,2026-01-15,20.7,27.9,17.8,,,NE,50,19:03,24.3,67,8,NNE,20,1009.4,26.5,63,,ENE,24,1003.7
,2026-01-16,19.2,29.1,0.4,,,SSE,56,15:23,22.3,69,3,SSW,13,1004.7,27.1,54,,SSE,30,1003.5
,2026-01-17,19.5,24.6,34.6,,,SE,69,10:46,21.0,89,,SE,35,1009.8,21.3,96,8,SSE,30,1009.6
,2026-01-18,18.6,24.9,108.0,,,SE,56,04:48,20.4,87,,ESE,19,1014.5,23.1,69,,SE,33,1014.2
,2026-01-19,17.3,25.0,8.8,,,ESE,35,13:04,17.6,99,, ,Calm,1015.3,23.9,64,8,ESE,24,1013.3
,2026-01-20,17.6,25.7,5.6,,,SSE,39,11:50,20.5,84,8,W,11,1012.0,23.9,62,8,ESE,19,1009.9
,2026-01-21,15.6,26.1,1.0,,,ESE,37,13:25,25.2,57,,S,7,1007.3,25.2,55,,ESE,24,1004.8
,2026-01-22,16.3,26.2,0,,,SSE,57,12:05,22.3,64,,SSW,7,1006.8,23.0,61,8,SSE,39,1009.6
,2026-01-23,17.2,24.2,0,,,ESE,33,14:10,19.5,66,8,WSW,9,1018.9,23.1,54,8,ESE,15,1016.8
,2026-01-24,16.3,30.1,0,,,E,37,13:39,21.5,65,,NNW,7,1015.3,27.4,59,,E,20,1008.2
,2026-01-25,18.5,41.5,0,,,SE,39,20:57,21.2,94,,W,7,1009.4,39.2,27,,NNW,13,1004.3
,2026-01-26,21.0,26.4,0,,,SE,43,12:58,22.2,72,,SW,9,1012.7,23.5,61,,SSE,22,1013.0
,2026-01-27,18.2,27.9,0,,,E,37,13:32,22.6,65,7,SSW,4,1015.3,27.0,54,1,ENE,19,1012.5
,2026-01-28,15.6,30.6,0,,,E,33,13:58,24.2,61,,N,11,1013.0,30.1,49,,E,22,1010.9
,2026-01-29,20.0,29.7,0,,,ESE,39,15:41,23.2,84,,SE,6,1019.1,28.0,55,,ESE,13,1017.2
,2026-01-30,19.3,31.9,0,,,ENE,33,16:19,24.8,65,1,NE,6,1017.8,30.8,55,,ENE,19,1012.4
,2026-01-31,21.1,33.9,0,,,E,35,14:22,25.4,77,,N,7,1009.2,31.2,56,,ESE,24,1005.3
