"Daily Weather Observations for Bankstown, New South Wales for February 2026"
"Prepared at 13:00 UTC on Sunday  3 May 2026   IDCJDW2008.202602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-02-1,23.1,29.4,0,,,S,44,12:39,26.2,81,8, ,Calm,1004.3,26.8,72,8,SE,20,1005.3
,2026-02-2,16.6,22.8,12.2,,,S,52,11:00,17.2,54,8,SSW,13,1021.0,21.4,52,3,SSE,31,1022.9
,2026-02-3,15.4,24.8,1.8,,,ESE,28,15:01,18.5,78,8,W,4,1025.6,23.7,59,7,ENE,11,1023.6
,2026-02-4,15.9,29.7,0.2,,,E,39,17:10,21.8,67,,N,7,1021.3,29.2,48,,ENE,17,1016.5
,2026-02-5,18.5,38.3,0,,,ESE,39,14:17,24.3,71,,NW,9,1016.6,37.1,27,3,E,22,1013.1
,2026-02-6,19.2,32.5,0,,,SSE,46,14:37,22.8,75,8,WSW,9,1020.5,30.7,50,8,NE,6,1015.8
,2026-02-7,20.3,34.8,0,,,ENE,31,13:59,26.1,78,,SSW,4,1018.0,33.4,47,,ENE,19,1014.3
,2026-02-8,21.7,24.4,1.0,,,ENE,28,13:49,21.7,92,8,WSW,13,1017.2,23.6,87,7,ENE,20,1015.4
,2026-02-9,20.6,29.6,8.6,,,SSE,37,17:39,21.3,100,8,N,11,1012.6,25.6,83,8,W,6,1011.3
,2026-02-10,19.6,30.3,2.4,,,E,28,13:11,24.0,83,2,SW,9,1016.9,29.6,61,,E,17,1013.2
,2026-02-11,20.5,37.1,0.8,,,SE,31,16:44,24.1,91,7,NW,11,1013.0,35.5,39,,NW,13,1005.8
,2026-02-12,22.2,25.4,0,,,SSE,63,13:41,25.0,77,3,S,13,1002.8,21.3,77,7,SSE,31,1006.2
,2026-02-13,18.0,22.5,2.2,,,SE,33,12:54,19.3,69,8,WSW,9,1016.8,21.7,58,8,SE,20,1017.1
,2026-02-14,17.5,25.1,2.2,,,E,35,14:43,18.4,99,8,WSW,6,1021.7,23.9,57,8,ESE,22,1020.1
,2026-02-15,17.7,25.4,0,,,ESE,39,16:53,18.4,96,8,SSE,6,1020.5,23.1,68,8,SE,24,1018.1
,2026-02-16,16.7,27.0,2.2,,,ESE,39,13:41,21.1,87,,SW,7,1017.9,25.4,57,3,SE,28,1015.4
,2026-02-17,16.0,30.0,0,,,ENE,39,14:29,21.3,81,,WSW,4,1014.2,29.3,54,,ENE,20,1008.5
,2026-02-18,18.0,36.5,0,,,WNW,50,10:48,24.3,72,,N,6,1006.6,25.2,86,7,ESE,28,1005.6
,2026-02-19,20.6,29.9,4.0,,,ESE,35,13:05,21.5,92,8,NW,6,1014.9,28.5,72,8,E,19,1013.4
,2026-02-20,21.5,26.9,0.2,,,ENE,31,16:04,24.4,71,8,NE,15,1018.2,25.9,70,8,ENE,17,1015.2
,2026-02-21,20.8,34.3,0,,,ESE,39,13:29,26.3,84,, ,Calm,1011.6,30.0,58,1,ESE,30,1008.8
,2026-02-22,21.2,36.1,0,,,SSE,39,16:35,24.9,89,8,N,11,1011.0,35.5,44,,WNW,15,1006.0
,2026-02-23,23.0,28.6,7.2,,,SSE,35,15:17,25.8,80,6, ,Calm,1010.9,27.3,78,8,SE,24,1013.1
,2026-02-24,20.9,32.4,0,,,NE,39,16:32,23.0,93,8,S,7,1018.1,31.5,58,,NE,19,1014.4
,2026-02-25,20.3,30.4,0,,,SE,39,14:45,24.1,85,,NNW,6,1014.6,26.6,78,7,SE,30,1013.8
,2026-02-26,19.7,26.6,1.2,,,ESE,54,18:02,20.2,,8,WSW,9,1018.8,25.8,,8,SE,15,1016.8
,2026-02-27,20.2,25.4,95.2,,,SE,37,09:24,21.7,,7,ESE,20,1018.4,25.4,,8,ESE,26,1018.0
,2026-02-28,20.1,26.9,1.6,,,SE,33,15:07,21.7,,7, ,Calm,1019.8,26.3,,8,E,20,1017.6
