"Daily Weather Observations for Bankstown, New South Wales for March 2026"
"Prepared at 16:00 UTC on Saturday  2 May 2026   IDCJDW2008.202603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-03-1,19.6,26.6,1.8,,,SE,28,14:09,20.6,,8,WSW,6,1017.5,26.1,,8,E,13,1015.2
,2026-03-2,20.6,29.3,0,,,ENE,30,15:17,22.9,,8, ,Calm,1014.0,28.9,,8,N,13,1010.1
,2026-03-3,20.7,27.2,3.8,,,NE,22,01:05,22.1,,8,NNE,11,1012.2,26.7,,8,N,13,1010.6
,2026-03-4,21.8,32.1,0,,,SW,44,17:50,23.5,,8, ,Calm,1013.2,31.3,,,N,13,1010.3
,2026-03-5,21.9,30.7,29.4,,,E,30,13:00,23.3,,7,W,6,1013.8,29.1,,1,E,13,1011.0
,2026-03-6,21.0,30.5,0,,,SSE,39,15:23,25.5,,1,SSE,13,1013.9,29.8,,1,ESE,24,1012.4
,2026-03-7,23.5,29.9,0,,,WSW,35,14:37,24.8,,8,NE,7,1012.5,29.4,,,W,9,1010.0
,2026-03-8,20.2,25.2,1.0,,,SSE,52,12:33,22.1,,8,SSW,20,1014.1,23.9,,,S,28,1013.6
,2026-03-9,18.8,24.1,11.4,,,SSE,37,13:48,21.1,,,S,17,1014.1,21.5,,,SSE,20,1011.7
,2026-03-10,19.2,27.8,2.6,,,ENE,30,15:01,21.1,,8, ,Calm,1013.4,26.0,,8,ESE,13,1011.8
,2026-03-11,17.7,33.3,0,,,NE,33,15:41,19.4,,, ,Calm,1011.9,32.7,,,WNW,11,1005.6
,2026-03-12,19.2,26.7,0,,,SE,41,16:11,22.0,,,SSE,15,1007.0,24.4,,,SE,24,1008.4
,2026-03-13,18.6,23.6,0,,,SSE,50,15:32,20.1,,8,S,13,1018.7,22.5,,,SSE,28,1021.6
,2026-03-14,15.3,25.7,0,,,ESE,37,16:14,23.6,,,E,7,1029.1,25.1,,4,E,20,1026.0
,2026-03-15,13.6,29.2,0,,,E,33,16:22,18.1,,,W,4,1025.4,28.2,,,ENE,19,1019.5
,2026-03-16,16.2,31.3,0,,,E,33,14:49,26.2,59,,N,6,1019.4,30.1,43,,ENE,19,1015.6
,2026-03-17,19.0,31.0,0.2,,,S,35,15:05,23.0,73,,N,9,1016.5,29.5,46,,S,19,1015.5
,2026-03-18,20.4,25.2,0.8,,,E,31,17:41,22.2,79,,S,7,1022.5,24.4,70,,SE,17,1020.6
,2026-03-19,20.4,25.4,0.8,,,S,26,11:24,21.4,88,8,WSW,6,1018.4,23.3,78,8, ,Calm,1016.1
,2026-03-20,18.3,27.2,54.4,,,ESE,33,15:58,25.5,68,,SSE,13,1019.1,26.2,62,8,SE,17,1017.6
,2026-03-21,18.4,28.4,0,,,ESE,37,13:24,19.7,95,, ,Calm,1019.7,25.5,65,8,ESE,24,1018.4
,2026-03-22,17.2,27.5,1.0,,,ESE,39,15:06,20.4,89,5,W,7,1022.4,26.9,52,1,SE,24,1020.4
,2026-03-23,18.2,27.2,5.0,,,ESE,35,16:27,20.9,90,1,WSW,6,1022.1,24.9,61,,E,15,1020.5
,2026-03-24,18.5,28.0,8.8,,,ENE,30,16:06,20.5,94,4,W,4,1020.9,27.2,46,1,NE,13,1017.3
,2026-03-25,16.7,30.1,0,,,ENE,30,16:26,20.6,84,,WNW,7,1016.5,28.5,43,,ESE,6,1012.7
,2026-03-26,17.6,30.8,0,,,SSW,41,16:53,21.3,82,7,WNW,9,1011.4,28.8,45,,NNW,9,1005.8
,2026-03-27,13.0,18.1,11.2,,,W,54,13:28,13.5,67,8,WNW,13,1003.9,13.4,88,,W,19,1003.8
,2026-03-28,13.3,22.8,5.0,,,SSW,35,09:18,16.4,54,,WSW,15,1015.6,21.7,41,,S,17,1015.7
,2026-03-29,13.1,24.0,0,,,SE,33,15:40,16.5,68,,WSW,9,1022.3,23.7,49,1,ESE,17,1020.4
,2026-03-30,13.7,25.5,0,,,ENE,31,14:27,15.1,88,, ,Calm,1024.9,24.5,52,,ENE,15,1022.9
,2026-03-31,13.2,25.4,0,,,ENE,30,16:53,16.5,84,, ,Calm,1026.3,24.8,52,,ENE,17,1021.8
